id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1398760526189150208,1398760526189150208,2021-05-29 17:57:51 Eastern Daylight Time,2021-05-29,17:57:51,-0400,157140968,kendalljenner,Kendall,,A special treat from me to you! Shop 20% off my @MoonOralCare favorites:  https://t.co/0TFJi9dd6A  https://t.co/W3qdk0gzpv,en,"[{'screen_name': 'moonoralcare', 'name': 'moon', 'id': '966165036950470656'}]",['https://bit.ly/3oRHn2w'],[],49,61,1358,[],[],https://twitter.com/KendallJenner/status/1398760526189150208,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1398760487756746753/pu/img/axmEGe0UPGixIv6g.jpg,,,,,,,[],,,,
1397587912858865677,1394530682181865475,2021-05-26 12:18:19 Eastern Daylight Time,2021-05-26,12:18:19,-0400,157140968,kendalljenner,Kendall,,@ciertalovesken i love my people so so much 🥰🥰🥰,en,[],[],[],20,13,122,[],[],https://twitter.com/KendallJenner/status/1397587912858865677,False,,0,,,,,,,,"[{'screen_name': 'ciertalovesken', 'name': 'cierta ♡', 'id': '1320886507494801409'}]",,,,
1397587677843578881,1397587677843578881,2021-05-26 12:17:22 Eastern Daylight Time,2021-05-26,12:17:22,-0400,157140968,kendalljenner,Kendall,,this was so fun! ☺️,en,[],[],[],104,161,5637,[],[],https://twitter.com/KendallJenner/status/1397587677843578881,False,https://twitter.com/propertybrother/status/1396843995813326849,0,,,,,,,,[],,,,
1397585965590278150,1397585965590278150,2021-05-26 12:10:34 Eastern Daylight Time,2021-05-26,12:10:34,-0400,157140968,kendalljenner,Kendall,,"Sorry, wrong event. Mindy has tons of other clients and these were not our gift bags.",en,[],[],[],131,175,6415,[],[],https://twitter.com/KendallJenner/status/1397585965590278150,False,https://twitter.com/julissaarce/status/1397069200066170881,0,,,,,,,,[],,,,
1396991970904461312,1396991970904461312,2021-05-24 20:50:15 Eastern Daylight Time,2021-05-24,20:50:15,-0400,157140968,kendalljenner,Kendall,,All of my @MoonOralCare oral beauty favorites in one place. 🖤 ( https://t.co/z1M3hneexJ ) #moon_partner  https://t.co/FAgyHZ6rqc,en,"[{'screen_name': 'moonoralcare', 'name': 'moon', 'id': '966165036950470656'}]",['https://bit.ly/3ygP8Dl'],['https://pbs.twimg.com/media/E2McywiVUAIJHb6.jpg'],204,440,14707,['moon_partner'],[],https://twitter.com/KendallJenner/status/1396991970904461312,False,,1,https://pbs.twimg.com/media/E2McywiVUAIJHb6.jpg,,,,,,,[],,,,
1395465541632946177,1395465541632946177,2021-05-20 15:44:46 Eastern Daylight Time,2021-05-20,15:44:46,-0400,157140968,kendalljenner,Kendall,,The 3rd episode from my series with @voguemagazine on mental health out now!   https://t.co/Uxnd0MFVUq,en,"[{'screen_name': 'voguemagazine', 'name': 'vogue magazine', 'id': '136361303'}]",['https://www.youtube.com/watch?v=3oeB4goJaM8'],[],185,244,5121,[],[],https://twitter.com/KendallJenner/status/1395465541632946177,False,,0,,,,,,,,[],,,,
1394485609347964932,1394485609347964932,2021-05-17 22:50:52 Eastern Daylight Time,2021-05-17,22:50:52,-0400,157140968,kendalljenner,Kendall,,😮,und,[],[],[],479,271,10986,[],[],https://twitter.com/KendallJenner/status/1394485609347964932,False,https://twitter.com/jquijada89/status/1394483115653931008,0,,,,,,,,[],,,,
1394484226179801090,1394484226179801090,2021-05-17 22:45:22 Eastern Daylight Time,2021-05-17,22:45:22,-0400,157140968,kendalljenner,Kendall,,so glad you enjoyed 🤍,en,[],[],[],286,254,10111,[],[],https://twitter.com/KendallJenner/status/1394484226179801090,False,https://twitter.com/NattyJo43/status/1394467597660266499,0,,,,,,,,[],,,,
1394403289991548931,1394403289991548931,2021-05-17 17:23:45 Eastern Daylight Time,2021-05-17,17:23:45,-0400,157140968,kendalljenner,Kendall,,on my way! see you in 10 ;),en,[],[],[],207,157,5821,[],[],https://twitter.com/KendallJenner/status/1394403289991548931,False,https://twitter.com/Mel_and_Rose/status/1394402458953129985,0,,,,,,,,[],,,,
1393271004093313025,1393271004093313025,2021-05-14 14:24:27 Eastern Daylight Time,2021-05-14,14:24:27,-0400,157140968,kendalljenner,Kendall,,added new items to my kloset! check it out :)  https://t.co/VrP8bwNtrK,en,[],['https://kardashiankloset.com/collections/kendall-jenner-featured-collection'],[],528,383,10901,[],[],https://twitter.com/KendallJenner/status/1393271004093313025,False,,0,,,,,,,,[],,,,
