id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1398366914502533123,1398366914502533123,2021-05-28 15:53:47 Eastern Daylight Time,2021-05-28,15:53:47,-0400,23083404,kingjames,LeBron James,,🗣🗣🗣🗣 CONGRATULATIONS to my guy guy Bryce Maximus on graduating middle 🏫 . HS up next! Proud of you kid! Keep going to the🔝. #JamesGang👑  https://t.co/gK1oawN1Ye,en,[],[],['https://pbs.twimg.com/media/E2f_S_CVgAApomI.jpg'],525,2177,48470,['jamesgang'],[],https://twitter.com/KingJames/status/1398366914502533123,False,,1,https://pbs.twimg.com/media/E2f_S_CVgAApomI.jpg,,,,,,,[],,,,
1398331698044051459,1398331698044051459,2021-05-28 13:33:51 Eastern Daylight Time,2021-05-28,13:33:51,-0400,23083404,kingjames,LeBron James,,Congrats Jamil!! So proud of you kid! Keep going 🆙. Love you kid! 🙏🏾✊🏾👏🏾❤️👑,en,[],[],[],175,475,8901,[],[],https://twitter.com/KingJames/status/1398331698044051459,False,https://twitter.com/ljfamfoundation/status/1398263899716194305,0,,,,,,,,[],,,,
1398331470037454848,1398331470037454848,2021-05-28 13:32:56 Eastern Daylight Time,2021-05-28,13:32:56,-0400,23083404,kingjames,LeBron James,,Yessir!! The Shop is open for business tonight 💈,en,[],[],[],193,318,5076,[],[],https://twitter.com/KingJames/status/1398331470037454848,False,https://twitter.com/pr_RWTW/status/1398326967934623745,0,,,,,,,,[],,,,
1398331324394475523,1398331324394475523,2021-05-28 13:32:22 Eastern Daylight Time,2021-05-28,13:32:22,-0400,23083404,kingjames,LeBron James,,Future Hendrix,en,[],[],[],3761,26099,121113,[],[],https://twitter.com/KingJames/status/1398331324394475523,False,https://twitter.com/rapcaviar/status/1397962385210724355,0,,,,,,,,[],,,,
1398027932619010049,1398027932619010049,2021-05-27 17:26:47 Eastern Daylight Time,2021-05-27,17:26:47,-0400,23083404,kingjames,LeBron James,,🔥🔥🔥🔥🔥🔥🔥🔥,und,[],[],[],377,755,18410,[],[],https://twitter.com/KingJames/status/1398027932619010049,False,https://twitter.com/Wale/status/1397999844149530624,0,,,,,,,,[],,,,
1397736607780728836,1397736607780728836,2021-05-26 22:09:10 Eastern Daylight Time,2021-05-26,22:09:10,-0400,23083404,kingjames,LeBron James,,"FACTS!!!! Super Smart, knows the game and his cadence throughout the game is always on point.",en,[],[],[],377,633,12143,[],[],https://twitter.com/KingJames/status/1397736607780728836,False,https://twitter.com/CuffsTheLegend/status/1397735220179316736,0,,,,,,,,[],,,,
1397736247079038980,1397736247079038980,2021-05-26 22:07:44 Eastern Daylight Time,2021-05-26,22:07:44,-0400,23083404,kingjames,LeBron James,,By the way WE AS THE PLAYERS wanna see who threw that popcorn on Russ while he was leaving the game tonight with a injury!! There’s cameras all over arenas so there’s no excuse! Cause if the 👟 was on the other 🦶🏾.🎥  #ProtectOurPlayers,en,[],[],[],4889,14264,115839,['protectourplayers'],[],https://twitter.com/KingJames/status/1397736247079038980,False,,0,,,,,,,,[],,,,
1397733807948636161,1397727834622205955,2021-05-26 21:58:03 Eastern Daylight Time,2021-05-26,21:58:03,-0400,23083404,kingjames,LeBron James,,*AS.,und,[],[],[],342,374,13327,[],[],https://twitter.com/KingJames/status/1397733807948636161,False,,0,,,,,,,,[],,,,
1397727834622205955,1397727834622205955,2021-05-26 21:34:18 Eastern Daylight Time,2021-05-26,21:34:18,-0400,23083404,kingjames,LeBron James,,Man it’s LOUD A** HE🏒🏒 in MSG! That joint ROCKIN,en,[],[],[],1785,6443,81420,[],[],https://twitter.com/KingJames/status/1397727834622205955,False,,0,,,,,,,,[],,,,
1397236336189399050,1397236336189399050,2021-05-25 13:01:16 Eastern Daylight Time,2021-05-25,13:01:16,-0400,23083404,kingjames,LeBron James,,JOIN!!,en,[],[],[],902,794,7824,[],[],https://twitter.com/KingJames/status/1397236336189399050,False,https://twitter.com/morethanavote/status/1397221928323190807,0,,,,,,,,[],,,,
1395978400959922182,1395978400959922182,2021-05-22 01:42:41 Eastern Daylight Time,2021-05-22,01:42:41,-0400,23083404,kingjames,LeBron James,,🤣🤣🤣🕺🏾👑🤦🏾‍♂️🤷🏾‍♂️,und,[],[],[],1725,7352,70961,[],[],https://twitter.com/KingJames/status/1395978400959922182,False,https://twitter.com/MountainDewRise/status/1395937877360447490,0,,,,,,,,[],,,,
1395950846655954950,1395950846655954950,2021-05-21 23:53:12 Eastern Daylight Time,2021-05-21,23:53:12,-0400,23083404,kingjames,LeBron James,,JA!,und,[],[],[],2093,12932,136333,[],[],https://twitter.com/KingJames/status/1395950846655954950,False,,0,,,,,,,,[],,,,
1395874962892722176,1395874962892722176,2021-05-21 18:51:39 Eastern Daylight Time,2021-05-21,18:51:39,-0400,23083404,kingjames,LeBron James,,MY GOODNESS @Simone_Biles!! 🔥🔥🔥🔥🔥🔥🔥🔥,en,"[{'screen_name': 'simone_biles', 'name': 'simone biles', 'id': '173677727'}]",[],[],507,2702,36484,[],[],https://twitter.com/KingJames/status/1395874962892722176,False,https://twitter.com/sportscenter/status/1395814131136139264,0,,,,,,,,[],,,,
1394782773815091202,1394782773815091202,2021-05-18 18:31:41 Eastern Daylight Time,2021-05-18,18:31:41,-0400,23083404,kingjames,LeBron James,,😤😤😤😤😤💪🏾💪🏾,und,[],[],[],1132,3961,56317,[],[],https://twitter.com/KingJames/status/1394782773815091202,False,https://twitter.com/Lakers/status/1394706327901925380,0,,,,,,,,[],,,,
