id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1398709026989301760,1398709026989301760,2021-05-29 14:33:13 Eastern Daylight Time,2021-05-29,14:33:13,-0400,145125358,srbachchan,Amitabh Bachchan,,"T 3920 -' ये व्यक्तित्व की गरिमा है कि, फूल कुछ नहीं कहते.. वरना, कभी कांटों को मसलकर दिखाईये...' ~ Ef B",hi,[],[],[],304,312,3036,[],[],https://twitter.com/SrBachchan/status/1398709026989301760,False,,0,,,,,,,,[],,,,
1398529411050180612,1398529411050180612,2021-05-29 02:39:29 Eastern Daylight Time,2021-05-29,02:39:29,-0400,145125358,srbachchan,Amitabh Bachchan,,"T 3919 - श्री कष्टभंजन देव हनुमान जी,🚩🙏🌹 सालंगपुर, गुजरात, दि.29.05.2021, शनिवार, वैशाख सुद तृतीया, विक्रम संवत 2078,  प्रांत: क़ालीन श्रृंगार दर्शन  जय श्री राम 🙏🙏🙏 जय श्री हनुमान  🙏🙏🙏  https://t.co/9Lt4gMRcyQ",hi,[],[],['https://pbs.twimg.com/media/E2iTA15VcAI9JKe.jpg'],536,820,17431,[],[],https://twitter.com/SrBachchan/status/1398529411050180612,False,,1,https://pbs.twimg.com/media/E2iTA15VcAI9JKe.jpg,,,,,,,[],,,,
1398527654521835524,1398520953441636354,2021-05-29 02:32:30 Eastern Daylight Time,2021-05-29,02:32:30,-0400,145125358,srbachchan,Amitabh Bachchan,,@VikasbansalEF 🙏❤️,und,[],[],[],15,16,42,[],[],https://twitter.com/SrBachchan/status/1398527654521835524,False,,0,,,,,,,,"[{'screen_name': 'VikasbansalEF', 'name': 'कवि महाशय विकास', 'id': '141539641'}]",,,,
1398360280686424064,1398360280686424064,2021-05-28 15:27:25 Eastern Daylight Time,2021-05-28,15:27:25,-0400,145125358,srbachchan,Amitabh Bachchan,,"T 3918 - .. and I repeat .. Babuji , always said “ give and forget .. do not give and wait for receive .. know that it shall never come back .. if it does , good ; if it does not , even better .. because then it was not meant for you in the first place .. “🙏",en,[],[],[],485,760,11183,[],[],https://twitter.com/SrBachchan/status/1398360280686424064,False,,0,,,,,,,,[],,,,
1398012571186176006,1398012571186176006,2021-05-27 16:25:45 Eastern Daylight Time,2021-05-27,16:25:45,-0400,145125358,srbachchan,Amitabh Bachchan,,T 3917 - give to never expect return,en,[],[],[],523,588,11222,[],[],https://twitter.com/SrBachchan/status/1398012571186176006,False,,0,,,,,,,,[],,,,
1397498046972260353,1397498046972260353,2021-05-26 06:21:13 Eastern Daylight Time,2021-05-26,06:21:13,-0400,145125358,srbachchan,Amitabh Bachchan,,"T 3916 - ' in peace there's nothing so becomes a man as modest stillness and humility ..' शांति , मनुष्य में, विनय स्थिरता और विनम्रता प्रदान करती है  ! 🙏",und,[],[],[],390,439,7129,[],[],https://twitter.com/SrBachchan/status/1397498046972260353,False,,0,,,,,,,,[],,,,
1397420898861293571,1397420898861293571,2021-05-26 01:14:39 Eastern Daylight Time,2021-05-26,01:14:39,-0400,145125358,srbachchan,Amitabh Bachchan,,T 3915 - Buddha Poornima greetings .. Vesak .. बुद्धा जयंती की अनेक अनेक शुभकामनाएँ  🙏  https://t.co/GaDK4jeiMg,und,[],[],['https://pbs.twimg.com/media/E2Si4-xVcAEzBeT.jpg'],431,765,14958,[],[],https://twitter.com/SrBachchan/status/1397420898861293571,False,,1,https://pbs.twimg.com/media/E2Si4-xVcAEzBeT.jpg,,,,,,,[],,,,
1397055589314826240,1397055589314826240,2021-05-25 01:03:03 Eastern Daylight Time,2021-05-25,01:03:03,-0400,145125358,srbachchan,Amitabh Bachchan,,T 3914 - प्रार्थनाओं से बढ़कर कोई आशाएँ नहीं  ! 🙏🙏🙏,hi,[],[],[],933,950,21979,[],[],https://twitter.com/SrBachchan/status/1397055589314826240,False,,0,,,,,,,,[],,,,
1396537353502564353,1396524411188957185,2021-05-23 14:43:46 Eastern Daylight Time,2021-05-23,14:43:46,-0400,145125358,srbachchan,Amitabh Bachchan,,@prashantkawadia ❤️❤️,und,[],[],[],14,26,66,[],[],https://twitter.com/SrBachchan/status/1396537353502564353,False,,0,,,,,,,,"[{'screen_name': 'prashantkawadia', 'name': 'THUGS OF 𝐀𝐦𝐢𝐭𝐚𝐛𝐡 𝐁𝐚𝐜𝐡𝐜𝐡𝐚𝐧 🇮🇳 🆎', 'id': '363188892'}]",,,,
1396536507427557381,1396494643475271680,2021-05-23 14:40:24 Eastern Daylight Time,2021-05-23,14:40:24,-0400,145125358,srbachchan,Amitabh Bachchan,,@BanerjeeRb nice and well sung ❤️🙏,en,[],[],[],11,24,54,[],[],https://twitter.com/SrBachchan/status/1396536507427557381,False,,0,,,,,,,,"[{'screen_name': 'BanerjeeRb', 'name': 'Rajib Banerjee', 'id': '989105336'}]",,,,
