id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1391883876360929281,1391883876360929281,2021-05-10 18:32:30 Eastern Daylight Time,2021-05-10,18:32:30,-0400,16409683,britneyspears,Britney Spears,,Bringing it back to the 2000s when everything was simpler before social media !!!! Should I bring these outfits back 😜💁🏼‍♀️👗📸 ???? PS I copied Reese Witherspoon 😉🤷🏼‍♀️🙊 !!!!  https://t.co/PUOTFJmfcg,en,[],[],[],1731,3457,32030,[],[],https://twitter.com/britneyspears/status/1391883876360929281,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1391883802855751687/pu/img/KKSEuw5ZDk3CGuPy.jpg,,,,,,,[],,,,
1387200154982256642,1387200152054624257,2021-04-27 20:21:04 Eastern Daylight Time,2021-04-27,20:21:04,-0400,16409683,britneyspears,Britney Spears,,We all have our own ways to work on our bodies and I respect that cause we all should ... I just hope I don't see an In-N-Out Burger any time soon 🍔🍔🍔😂😂😂 !!!!,en,[],[],[],228,325,6115,[],[],https://twitter.com/britneyspears/status/1387200154982256642,False,,0,,,,,,,,[],,,,
1387200154034266116,1387200152054624257,2021-04-27 20:21:04 Eastern Daylight Time,2021-04-27,20:21:04,-0400,16409683,britneyspears,Britney Spears,,like last night when I ate a container of peanuts 🥜🥜🥜🏃🏼‍♀️🏃🏼‍♀️🏃🏼‍♀️ !!!! And then it hit me ... I might look better but I felt too vulnerable in my skin being this small !!!! I didn't like it so I started boxing so now I feel stronger too 🥊🥊🥊 !!!!,en,[],[],[],218,293,5592,[],[],https://twitter.com/britneyspears/status/1387200154034266116,False,,0,,,,,,,,[],,,,
1387200152054624257,1387200152054624257,2021-04-27 20:21:03 Eastern Daylight Time,2021-04-27,20:21:03,-0400,16409683,britneyspears,Britney Spears,,In the past two weeks I've said that's it ... I have got to get in shape considering my boyfriend's body is hotter than hot 🔥🔥🔥 !!!! I was like SHIT where the hell am I supposed to start 😂🤣🤭 ... so I run a lot and try to eat clean and be mindful with my food unless I cheat  https://t.co/c1paXPpEuO,en,[],[],[],1210,1776,20629,[],[],https://twitter.com/britneyspears/status/1387200152054624257,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1387200049310957569/pu/img/gKfDfQ-TH-9wu9qe.jpg,,,,,,,[],,,,
1384313005706399744,1384313005706399744,2021-04-19 21:08:34 Eastern Daylight Time,2021-04-19,21:08:34,-0400,16409683,britneyspears,Britney Spears,,I found my lace and leather catsuit this time .... I’ve never worn it out anywhere cause well …. where could I wear it but it’s fun to hang out in 😂🤭🤷🏼‍♀️ ???? Like I said before …. I’m bored !!!! Here’s to fashion 👗👙✨ !!!!  https://t.co/HY2HALLYlq,en,[],[],[],2879,11082,63783,[],[],https://twitter.com/britneyspears/status/1384313005706399744,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1384312980922269697/pu/img/E9x6NdNIAAf3pws7.jpg,,,,,,,[],,,,
1382380950839980036,1382380950839980036,2021-04-14 13:11:16 Eastern Daylight Time,2021-04-14,13:11:16,-0400,16409683,britneyspears,Britney Spears,,I’ve missed going to the movies a lot this past year … so I’m SO excited to finally see @HitmanBodyguard on June 16th 🎥🍿🤩!!!! Hit it one more time @VancityReynolds  @salmahayek @SamuelLJackson 🙊😜🥊 !!!!  https://t.co/TtolloiRQO  https://t.co/OEuSlCTSMd,en,"[{'screen_name': 'hitmanbodyguard', 'name': ""the hitman's wife's bodyguard"", 'id': '796080987314585600'}, {'screen_name': 'vancityreynolds', 'name': 'ryan reynolds', 'id': '2893511188'}, {'screen_name': 'salmahayek', 'name': 'salma hayek', 'id': '3099613624'}, {'screen_name': 'samuelljackson', 'name': 'samuel l. jackson', 'id': '75974281'}]",['https://youtu.be/cPBGtKnNFuU'],[],529,1396,12449,[],[],https://twitter.com/britneyspears/status/1382380950839980036,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1382380715363344388/pu/img/TWWAbqdHjSg6yX3g.jpg,,,,,,,[],,,,
1380653919152525313,1380653910722019333,2021-04-09 18:48:40 Eastern Daylight Time,2021-04-09,18:48:40,-0400,16409683,britneyspears,Britney Spears,,Maybe we should have a rematch 🙊💪🏼🥊 ... I mean things have changed since 6 years ago 💋 💋💋!!!!! PS I wish I was as strong as you and happy birthday 🎊 !!!!,en,[],[],[],71,138,2909,[],[],https://twitter.com/britneyspears/status/1380653919152525313,False,,0,,,,,,,,[],,,,
1380653917944619008,1380653910722019333,2021-04-09 18:48:40 Eastern Daylight Time,2021-04-09,18:48:40,-0400,16409683,britneyspears,Britney Spears,,I was extremely taken back and still am to this very day !!! We play wrestled at home (such classy Southern chicks) 🐣🙄😹🤷🏼‍♀️🤷🏼‍♀️ and you put me to the floor in literally two seconds after I gave all my might 😜😜😜😹😹😹 … I’ll never forget it !!!,en,[],[],[],66,138,2907,[],[],https://twitter.com/britneyspears/status/1380653917944619008,False,,0,,,,,,,,[],,,,
1380653912336830469,1380653910722019333,2021-04-09 18:48:38 Eastern Daylight Time,2021-04-09,18:48:38,-0400,16409683,britneyspears,Britney Spears,,I’m truly and genuinely inspired by your path and the life you have created for your beautiful children and I'm so fucking proud to call someone as beautiful inside as you my sister !!!! And not only are you a beautiful soul you're so DAMN STRONG ...,en,[],[],[],28,81,1416,[],[],https://twitter.com/britneyspears/status/1380653912336830469,False,,0,,,,,,,,[],,,,
1380653910722019333,1380653910722019333,2021-04-09 18:48:38 Eastern Daylight Time,2021-04-09,18:48:38,-0400,16409683,britneyspears,Britney Spears,,Happy belated birthday to this beautiful soul 🎂🎂🎂 !!! I love you so much and damn it I wish I was as smart as you at 30 !!!! It's weird to say that I was basically your momma when you were younger and yes I'm still older but your soul is and always has been wise !!!!  https://t.co/8qnr6l1TjD,en,[],[],['https://pbs.twimg.com/media/EykRKwqWYAAypYM.jpg'],634,613,14773,[],[],https://twitter.com/britneyspears/status/1380653910722019333,False,,1,https://pbs.twimg.com/media/EykRKwqWYAAypYM.jpg,,,,,,,[],,,,
