id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1387880513147269124,1387880513147269124,2021-04-29 17:24:34 Eastern Daylight Time,2021-04-29,17:24:34,-0400,119509520,chrisbrown,Chris Brown,,"Honored to be a finalist at the 2021 @BBMAs! Don’t miss the Billboard Music Awards LIVE Sunday, May 23rd at 8pm ET/5pm PT on @NBC. #BBMAs  https://t.co/KiQmMb6dEl",en,"[{'screen_name': 'bbmas', 'name': 'billboard music awards', 'id': '278662460'}, {'screen_name': 'nbc', 'name': 'nbc entertainment', 'id': '26585095'}]",[],[],2740,1213,6942,['bbmas'],[],https://twitter.com/chrisbrown/status/1387880513147269124,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1387880452833247234/pu/img/UiadoV548-696XUl.jpg,,,,,,,[],,,,
1382727787606204417,1382727787606204417,2021-04-15 12:09:29 Eastern Daylight Time,2021-04-15,12:09:29,-0400,119509520,chrisbrown,Chris Brown,,#GoGrazyRemix VIDEO WORLD PREMIERE!!!!  https://t.co/yeWe7SI5l8,en,[],['https://smarturl.it/xGoCrazyRemix/youtube'],[],1512,1030,4612,['gograzyremix'],[],https://twitter.com/chrisbrown/status/1382727787606204417,False,,0,,,,,,,,[],,,,
1382710356879937538,1382710356879937538,2021-04-15 11:00:13 Eastern Daylight Time,2021-04-15,11:00:13,-0400,119509520,chrisbrown,Chris Brown,,#TeamBreezy! Go Crazy Remix video premiere in 60 minutes! Join the waiting party here:  https://t.co/yeWe7SI5l8,en,[],['https://smarturl.it/xGoCrazyRemix/youtube'],[],1154,698,4037,['teambreezy'],[],https://twitter.com/chrisbrown/status/1382710356879937538,False,,0,,,,,,,,[],,,,
1363192572642959364,1363192572642959364,2021-02-20 13:23:30 Eastern Standard Time,2021-02-20,13:23:30,-0400,119509520,chrisbrown,Chris Brown,,#TeamBreezy! Check out the Go Crazy Remix featured on the Rap Bars &amp; Melodies playlist on @TIDAL!  https://t.co/20YldQ2KCc  https://t.co/GSWnY1vWHH,en,"[{'screen_name': 'tidal', 'name': 'tidal', 'id': '2679055230'}]",['https://tidal.com/browse/playlist/90bb6aed-d267-4766-952e-1360c1e5c6ed'],['https://pbs.twimg.com/media/EusHovDVEAAjYO2.jpg'],624,714,7052,['teambreezy'],[],https://twitter.com/chrisbrown/status/1363192572642959364,False,,1,https://pbs.twimg.com/media/EusHovDVEAAjYO2.jpg,,,,,,,[],,,,
1362916570444406784,1362916570444406784,2021-02-19 19:06:46 Eastern Standard Time,2021-02-19,19:06:46,-0400,119509520,chrisbrown,Chris Brown,,Go Crazy Remix is on the @spotify @RapCaviar playlist! Listen here:  https://t.co/CgaQTJJuhZ  https://t.co/Jnl24pydvV,en,"[{'screen_name': 'spotify', 'name': 'spotify', 'id': '17230018'}, {'screen_name': 'rapcaviar', 'name': 'rapcaviar', 'id': '1058453417654251520'}]",['https://open.spotify.com/track/1Jz1yhcPm1Yt6aoed3zact?context=spotify%3Aplaylist%3A37i9dQZF1DX0XUsuxWHRQd?context=spotify%3Auser%3Aspotify%3Aplaylist%3A37i9dQZF1DX0XUsuxWHRQd&si='],['https://pbs.twimg.com/media/EuoNY2FUYAYDsyw.jpg'],204,610,4542,[],[],https://twitter.com/chrisbrown/status/1362916570444406784,False,,1,https://pbs.twimg.com/media/EuoNY2FUYAYDsyw.jpg,,,,,,,[],,,,
1362851734784069633,1362851734784069633,2021-02-19 14:49:08 Eastern Standard Time,2021-02-19,14:49:08,-0400,119509520,chrisbrown,Chris Brown,,Check out the Go Crazy Remix on the @AmazonMusic @Rotation playlist now!  https://t.co/eG64iarjHo,en,"[{'screen_name': 'amazonmusic', 'name': 'amazon music', 'id': '14740219'}, {'screen_name': 'rotation', 'name': 'rochelle valere', 'id': '1041588137300877313'}]",['https://music.amazon.com/playlists/B08WZDYKCR'],[],107,369,2530,[],[],https://twitter.com/chrisbrown/status/1362851734784069633,False,,0,,,,,,,,[],,,,
1362628276301176832,1362628276301176832,2021-02-19 00:01:12 Eastern Standard Time,2021-02-19,00:01:12,-0400,119509520,chrisbrown,Chris Brown,,Go Crazy Remix available everywhere now!!! @youngthug @1future @lildurk @mulatto  https://t.co/LHONfYkV8a  https://t.co/gFRd6vWaPD,en,"[{'screen_name': 'youngthug', 'name': 'young thug  ひ', 'id': '238763290'}, {'screen_name': '1future', 'name': 'future/freebandz', 'id': '51742969'}, {'screen_name': 'lildurk', 'name': 'the voice', 'id': '64571585'}, {'screen_name': 'mulatto', 'name': 'big latto 🎰', 'id': '184970791'}]",['https://smarturl.it/xGoCrazyRemix'],[],255,2359,9710,[],[],https://twitter.com/chrisbrown/status/1362628276301176832,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1362625963259912194/pu/img/HjZof6aCIfWaHpp_.jpg,,,,,,,[],,,,
1362483999059320835,1362483999059320835,2021-02-18 14:27:53 Eastern Standard Time,2021-02-18,14:27:53,-0400,119509520,chrisbrown,Chris Brown,,PRESAVE the Go Grazy Remix now!  https://t.co/LHONfYkV8a  https://t.co/jPEWZNa8om,en,[],['https://smarturl.it/xGoCrazyRemix'],['https://pbs.twimg.com/media/EuiD9p8VgAQCTcm.jpg'],141,753,4984,[],[],https://twitter.com/chrisbrown/status/1362483999059320835,False,,1,https://pbs.twimg.com/media/EuiD9p8VgAQCTcm.jpg,,,,,,,[],,,,
1361743823710298115,1361743823710298115,2021-02-16 13:26:42 Eastern Standard Time,2021-02-16,13:26:42,-0400,119509520,chrisbrown,Chris Brown,,Let me show u how to bring the summer back 👀🔥  https://t.co/FimneHcDIK,en,[],[],['https://pbs.twimg.com/media/EuXixyPVkAcV75W.jpg'],481,3930,23063,[],[],https://twitter.com/chrisbrown/status/1361743823710298115,False,,1,https://pbs.twimg.com/media/EuXixyPVkAcV75W.jpg,,,,,,,[],,,,
1357743046306062337,1357743046306062337,2021-02-05 12:29:02 Eastern Standard Time,2021-02-05,12:29:02,-0400,119509520,chrisbrown,Chris Brown,,PROVIDE VIDEO OUT NOW! @G_Eazy  https://t.co/85xMezBRpf,en,"[{'screen_name': 'g_eazy', 'name': 'g-eazy', 'id': '17936793'}]",['https://smarturl.it/providevideo'],[],257,857,4319,[],[],https://twitter.com/chrisbrown/status/1357743046306062337,False,,0,,,,,,,,[],,,,
