id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1398076383151095812,1398076383151095812,2021-05-27 20:39:19 Eastern Daylight Time,2021-05-27,20:39:19,-0400,32959253,khloekardashian,Khloé,,Facts,en,[],[],[],58,62,1428,[],[],https://twitter.com/khloekardashian/status/1398076383151095812,False,https://twitter.com/narcicismo/status/1398076081777827844,0,,,,,,,,[],,,,
1398076160521605121,1398076160521605121,2021-05-27 20:38:26 Eastern Daylight Time,2021-05-27,20:38:26,-0400,32959253,khloekardashian,Khloé,,Kanye gives The sweetest most thoughtful gifts!,en,[],[],[],417,1052,30476,[],[],https://twitter.com/khloekardashian/status/1398076160521605121,False,,0,,,,,,,,[],,,,
1398072915413716992,1398072915413716992,2021-05-27 20:25:32 Eastern Daylight Time,2021-05-27,20:25:32,-0400,32959253,khloekardashian,Khloé,,I did not go on that fuckI got boat,en,[],[],[],40,27,683,[],[],https://twitter.com/khloekardashian/status/1398072915413716992,False,https://twitter.com/kenzkardash/status/1398072804860481544,0,,,,,,,,[],,,,
1398072823969550336,1398072823969550336,2021-05-27 20:25:10 Eastern Daylight Time,2021-05-27,20:25:10,-0400,32959253,khloekardashian,Khloé,,Now you guys know I did not go whale watching #KUWTK,en,[],[],[],45,42,1159,['kuwtk'],[],https://twitter.com/khloekardashian/status/1398072823969550336,False,,0,,,,,,,,[],,,,
1398072773453385729,1398072773453385729,2021-05-27 20:24:58 Eastern Daylight Time,2021-05-27,20:24:58,-0400,32959253,khloekardashian,Khloé,,This was the most amazing vacation I’ve ever been on in my life! I cannot believe this happened #KUWTK,en,[],[],[],33,41,1060,['kuwtk'],[],https://twitter.com/khloekardashian/status/1398072773453385729,False,,0,,,,,,,,[],,,,
1398071794095906816,1398069019119288324,2021-05-27 20:21:05 Eastern Daylight Time,2021-05-27,20:21:05,-0400,32959253,khloekardashian,Khloé,,@njkardashian @Khlocaine_ Oh my god you’re right! I miss forgot! Where is our photo,en,[],[],[],3,1,17,[],[],https://twitter.com/khloekardashian/status/1398071794095906816,False,,0,,,,,,,,"[{'screen_name': 'njkardashian', 'name': 'Nathan Kardashian', 'id': '3010785397'}, {'screen_name': 'Khlocaine_', 'name': 'Lex', 'id': '3273322681'}]",,,,
1398071719231852549,1398071265928298496,2021-05-27 20:20:47 Eastern Daylight Time,2021-05-27,20:20:47,-0400,32959253,khloekardashian,Khloé,,@khloeroses @KrisJenner @KimKardashian Awww Thank you for even saying thank you! You’re so sweet! I love you,en,[],[],[],1,2,98,[],[],https://twitter.com/khloekardashian/status/1398071719231852549,False,,0,,,,,,,,"[{'screen_name': 'khloeroses', 'name': 'nanda', 'id': '1117862796'}, {'screen_name': 'KrisJenner', 'name': 'Kris Jenner', 'id': '23613479'}, {'screen_name': 'KimKardashian', 'name': 'Kim Kardashian West', 'id': '25365536'}]",,,,
1398070659171815430,1398069019119288324,2021-05-27 20:16:34 Eastern Daylight Time,2021-05-27,20:16:34,-0400,32959253,khloekardashian,Khloé,,@Khlocaine_ Hahaha do you have to admit that this hair color is pretty. My current color. Come on... say it,en,[],[],[],10,1,210,[],[],https://twitter.com/khloekardashian/status/1398070659171815430,False,,0,,,,,,,,"[{'screen_name': 'Khlocaine_', 'name': 'Lex', 'id': '3273322681'}]",,,,
1398070538895958016,1398070538895958016,2021-05-27 20:16:06 Eastern Daylight Time,2021-05-27,20:16:06,-0400,32959253,khloekardashian,Khloé,,I know no one will probably notice this but watching these old episodes I can tell I was on all those hormones freezing my eggs especially with how round I got #KUWTK we are our own worst critics,en,[],[],[],133,55,1800,['kuwtk'],[],https://twitter.com/khloekardashian/status/1398070538895958016,False,,0,,,,,,,,[],,,,
1398070253775572994,1398069736676761605,2021-05-27 20:14:58 Eastern Daylight Time,2021-05-27,20:14:58,-0400,32959253,khloekardashian,Khloé,,@msbrixonbaby @KimKardashian @KrisJenner Happy early birthday queen!!!!!!! You truly are the best!!!! I love you,en,[],[],[],1,2,11,[],[],https://twitter.com/khloekardashian/status/1398070253775572994,False,,0,,,,,,,,"[{'screen_name': 'msbrixonbaby', 'name': 'Brianna', 'id': '51256722'}, {'screen_name': 'KimKardashian', 'name': 'Kim Kardashian West', 'id': '25365536'}, {'screen_name': 'KrisJenner', 'name': 'Kris Jenner', 'id': '23613479'}]",,,,
