id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1398769229374005248,1398769229374005248,2021-05-29 18:32:26 Eastern Daylight Time,2021-05-29,18:32:26,-0400,23375688,selenagomez,Selena Gomez,,♥️,und,[],[],[],673,729,4056,[],[],https://twitter.com/selenagomez/status/1398769229374005248,False,https://twitter.com/marshmellomusic/status/1398750145811001344,0,,,,,,,,[],,,,
1398765327782006785,1398765327782006785,2021-05-29 18:16:56 Eastern Daylight Time,2021-05-29,18:16:56,-0400,23375688,selenagomez,Selena Gomez,,🐺 @marshmellomusic @ChampionsLeague  https://t.co/91g6lRGzEk  https://t.co/CENRcGRUbK,und,"[{'screen_name': 'marshmellomusic', 'name': 'marshmello', 'id': '2987922767'}, {'screen_name': 'championsleague', 'name': 'uefa champions league', 'id': '627673190'}]",['https://www.youtube.com/watch?v=HiFMBLFzk_U'],[],2034,3661,12534,[],[],https://twitter.com/selenagomez/status/1398765327782006785,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1398764927251144706/pu/img/NKiKTBnkRkt8X9ku.jpg,,,,,,,[],,,,
1396865957969096709,1396865957969096709,2021-05-24 12:29:31 Eastern Daylight Time,2021-05-24,12:29:31,-0400,23375688,selenagomez,Selena Gomez,,🐺,und,[],[],[],4276,9074,63299,[],[],https://twitter.com/selenagomez/status/1396865957969096709,False,https://twitter.com/marshmellomusic/status/1396844045515862018,0,,,,,,,,[],,,,
1394661769948418049,1394661769948418049,2021-05-18 10:30:52 Eastern Daylight Time,2021-05-18,10:30:52,-0400,23375688,selenagomez,Selena Gomez,,Everybody is a suspect. 👀 Only Murders in the Building arrives 8/31!  #OnlyMurdersOnHulu @hulu @SteveMartinToGo  https://t.co/XFnTdv5ABb,en,"[{'screen_name': 'hulu', 'name': 'hulu', 'id': '15033883'}, {'screen_name': 'stevemartintogo', 'name': 'steve martin', 'id': '14824849'}]",[],[],3328,11399,51121,['onlymurdersonhulu'],[],https://twitter.com/selenagomez/status/1394661769948418049,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1394661662989459458/pu/img/QY-yVGh0IX4a51As.jpg,,,,,,,[],,,,
1388217286117396482,1388217286117396482,2021-04-30 15:42:47 Eastern Daylight Time,2021-04-30,15:42:47,-0400,23375688,selenagomez,Selena Gomez,,"This is unbelievable! I don’t understand why @facebook, @instagram, and @twitter are allowing the spread of this disinformation. It’s so important that everyone gets vaccinated or this pandemic will never come to an end. They need to do their part and not allow this.",en,"[{'screen_name': 'facebook', 'name': 'facebook', 'id': '2425151'}, {'screen_name': 'instagram', 'name': 'instagram', 'id': '180505807'}, {'screen_name': 'twitter', 'name': 'twitter', 'id': '783214'}]",[],[],1344,2565,17859,[],[],https://twitter.com/selenagomez/status/1388217286117396482,False,https://twitter.com/Imi_Ahmed/status/1388196847391543302,0,,,,,,,,[],,,,
1388137412795113472,1388137412795113472,2021-04-30 10:25:24 Eastern Daylight Time,2021-04-30,10:25:24,-0400,23375688,selenagomez,Selena Gomez,,Pleased @POTUS &amp; @VP are joining me for #VaxLive and that America will share 60M vaccines with countries in need. @BorisJohnson time for the UK to also join and announce the UK will start sharing some of its 113M excess doses! No one is safe until everyone is safe.,en,"[{'screen_name': 'potus', 'name': 'president biden', 'id': '1349149096909668363'}, {'screen_name': 'vp', 'name': 'vice president kamala harris', 'id': '803694179079458816'}, {'screen_name': 'borisjohnson', 'name': 'boris johnson', 'id': '3131144855'}]",[],[],886,2935,22735,['vaxlive'],[],https://twitter.com/selenagomez/status/1388137412795113472,False,,0,,,,,,,,[],,,,
1387928994603929605,1387928994603929605,2021-04-29 20:37:13 Eastern Daylight Time,2021-04-29,20:37:13,-0400,23375688,selenagomez,Selena Gomez,,"Thank you @ProcterGamble for joining us at #VaxLive. Your donation will help ensure COVID-19 vaccines reach everyone, everywhere. We would love more companies to join us!",en,"[{'screen_name': 'proctergamble', 'name': 'procter & gamble', 'id': '27025414'}]",[],[],631,2108,20815,['vaxlive'],[],https://twitter.com/selenagomez/status/1387928994603929605,False,,0,,,,,,,,[],,,,
1386441833870331906,1386441833870331906,2021-04-25 18:07:46 Eastern Daylight Time,2021-04-25,18:07:46,-0400,23375688,selenagomez,Selena Gomez,,Thank you! We need all #G7 leaders to stand with those who have less. I’m really hoping the US also hears this and takes a stand... @POTUS @SecBlinken @WHCOS? With US leadership #WeCanDoThis and end the pandemic for everyone. #VaxLive,en,"[{'screen_name': 'potus', 'name': 'president biden', 'id': '1349149096909668363'}, {'screen_name': 'secblinken', 'name': 'secretary antony blinken', 'id': '1350150750966603777'}, {'screen_name': 'whcos', 'name': 'ronald klain', 'id': '1351284403801108481'}]",[],[],742,2792,22979,"['g7', 'wecandothis', 'vaxlive']",[],https://twitter.com/selenagomez/status/1386441833870331906,False,https://twitter.com/EmmanuelMacron/status/1386355283841200131,0,,,,,,,,[],,,,
1386331810993373189,1386331810993373189,2021-04-25 10:50:35 Eastern Daylight Time,2021-04-25,10:50:35,-0400,23375688,selenagomez,Selena Gomez,,Thank you! Your commitment will save lives around the world. @JacindaArdern can we count on your support too? You’ve helped New Zealand fight COVID-19 domestically. Now we need your help globally to ensure everyone can access the vaccine. #VaxLive,en,"[{'screen_name': 'jacindaardern', 'name': 'jacinda ardern', 'id': '22959763'}]",[],[],934,2831,24645,['vaxlive'],[],https://twitter.com/selenagomez/status/1386331810993373189,False,https://twitter.com/sanchezcastejon/status/1386290626384338945,0,,,,,,,,[],,,,
1386056590738952194,1386056590738952194,2021-04-24 16:36:57 Eastern Daylight Time,2021-04-24,16:36:57,-0400,23375688,selenagomez,Selena Gomez,,".@moderna_tx &amp; @NoubarAfeyan, thanks for developing a vaccine for COVID-19 but we need your help to get it to everyone, everywhere. Will you follow others in providing it not-for-profit for the countries most in need? #vaxlive",en,"[{'screen_name': 'moderna_tx', 'name': 'moderna', 'id': '2227355222'}, {'screen_name': 'noubarafeyan', 'name': 'noubar', 'id': '1972018172'}]",[],[],445,2407,17726,['vaxlive'],[],https://twitter.com/selenagomez/status/1386056590738952194,False,,0,,,,,,,,[],,,,
