id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1385288589529911299,1385288588577755145,2021-04-22 13:45:11 Eastern Daylight Time,2021-04-22,13:45:11,-0400,37710752,billnye,Bill Nye,,"So here’s what everyone could do... TALK about climate change! And vote. Please vote. Take the environment into account in everything you do. We want clean water. Renewably produced electricity, and, access to the Internet for everyone on Earth. Let’s Go! #EarthDay2021",en,[],[],[],52,403,2395,['earthday2021'],[],https://twitter.com/BillNye/status/1385288589529911299,False,,0,,,,,,,,[],,,,
1385288588577755145,1385288588577755145,2021-04-22 13:45:11 Eastern Daylight Time,2021-04-22,13:45:11,-0400,37710752,billnye,Bill Nye,,"Happy #EarthDay, people(s). Often, I am asked “Bill - what can I do about climate change?” Well, recycling plastic bottles is good. Driving an efficient car is good. Taking public transportation is good. But now, we need big ideas. Huge ideas. We need huge changes.",en,[],[],[],126,804,4621,['earthday'],[],https://twitter.com/BillNye/status/1385288588577755145,False,,0,,,,,,,,[],,,,
1384603238062649345,1384603238062649345,2021-04-20 16:21:51 Eastern Daylight Time,2021-04-20,16:21:51,-0400,37710752,billnye,Bill Nye,,"On #420day, Consider the Following: + As a Schedule 1 drug, weed is harder for researchers to study than cocaine or fentanyl. + Because of this, very little of what we think we know about weed is grounded in actual science.  #ScienceRules!  https://t.co/K4NjD3rzvo  https://t.co/NSN5jEnyT1",en,[],['https://link.chtbl.com/sciencerules'],[],53,326,1436,"['420day', 'sciencerules']",[],https://twitter.com/BillNye/status/1384603238062649345,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1384603202276847622/pu/img/TDH47Ai0AQAjaLRK.jpg,,,,,,,[],,,,
1384157546403958800,1384157546403958800,2021-04-19 10:50:50 Eastern Daylight Time,2021-04-19,10:50:50,-0400,37710752,billnye,Bill Nye,,"Ingenuity Flies!   Fellow Earthlings, flying on Mars may look easy, but it is some serious science. To the skies!",en,[],[],[],35,261,2751,[],[],https://twitter.com/BillNye/status/1384157546403958800,False,https://twitter.com/NASAPersevere/status/1384104815567855626,0,,,,,,,,[],,,,
1383900398243618822,1383900398243618822,2021-04-18 17:49:01 Eastern Daylight Time,2021-04-18,17:49:01,-0400,37710752,billnye,Bill Nye,,"If your of a mind... check out my Guest DJ session at Willie’s Roadhouse tonight, 4/18 - 9pm ET. Listen exclusively on @SiriusXM here:  https://t.co/7cJNRHlKhE  https://t.co/ZafkArvrlS",en,"[{'screen_name': 'siriusxm', 'name': 'siriusxm', 'id': '189258194'}]",['http://siriusxm.us/BillNyeDJ'],['https://pbs.twimg.com/media/EzSaEKKVgAAG_d3.jpg'],22,40,475,[],[],https://twitter.com/BillNye/status/1383900398243618822,False,,1,https://pbs.twimg.com/media/EzSaEKKVgAAG_d3.jpg,,,,,,,[],,,,
1375610946647846914,1375610946647846914,2021-03-26 20:49:41 Eastern Daylight Time,2021-03-26,20:49:41,-0400,37710752,billnye,Bill Nye,,"Watch my conversation with basketball legend and California STEM Ambassador Kareem Abdul-Jabbar during LA’s City of STEM online science festival this Saturday, 3/27 @ 10am Pacific. Don't miss it if you can!  https://t.co/diln1pkbGu  https://t.co/TuDGIeqW9T",en,[],['http://www.cityofstem.org/march27'],['https://pbs.twimg.com/media/Excmn46VIAE8eK7.jpg'],25,67,497,[],[],https://twitter.com/BillNye/status/1375610946647846914,False,,1,https://pbs.twimg.com/media/Excmn46VIAE8eK7.jpg,,,,,,,[],,,,
1372273855343960065,1372273855343960065,2021-03-17 15:49:17 Eastern Daylight Time,2021-03-17,15:49:17,-0400,37710752,billnye,Bill Nye,,"In the past month, the #ScienceRules! podcast has looked at how Neanderthals really lived, how to outrun a horse, and how the @WhiteHouse is tackling climate change. Catch up, if you're of a mind..  https://t.co/K4NjD3rzvo  https://t.co/qhn758wWKb",en,"[{'screen_name': 'whitehouse', 'name': 'the white house', 'id': '1323730225067339784'}]",['https://link.chtbl.com/sciencerules'],['https://pbs.twimg.com/media/EwtLsHwVoAAz2md.jpg'],36,87,693,['sciencerules'],[],https://twitter.com/BillNye/status/1372273855343960065,False,,1,https://pbs.twimg.com/media/EwtLsHwVoAAz2md.jpg,,,,,,,[],,,,
1371195608338415619,1371195608338415619,2021-03-14 16:24:43 Eastern Daylight Time,2021-03-14,16:24:43,-0400,37710752,billnye,Bill Nye,,"Happy 3.14159265 day, people(s). #PiDay2021 π",en,[],[],[],99,910,8321,['piday2021'],[],https://twitter.com/BillNye/status/1371195608338415619,False,,0,,,,,,,,[],,,,
1370451649110568962,1370451649110568962,2021-03-12 14:08:29 Eastern Standard Time,2021-03-12,14:08:29,-0400,37710752,billnye,Bill Nye,,Nothing to worry about here - just a little climate change is all...,en,[],[],[],54,262,1674,[],[],https://twitter.com/BillNye/status/1370451649110568962,False,https://twitter.com/MichaelEMann/status/1370425047492476931,0,,,,,,,,[],,,,
1367490021775667200,1367490021775667200,2021-03-04 10:00:02 Eastern Standard Time,2021-03-04,10:00:02,-0400,37710752,billnye,Bill Nye,,"Does your mask really work? I encourage you to check out my new collection of (washable, 3-ply, nano fiber masks) at  https://t.co/qcI2eJZwxS and breathe easier.... with science!  All of my profits from @AIRBANDMASK are donated to the Institute of Health Metrics and Evaluation.  https://t.co/nnjqUkZlHQ",en,"[{'screen_name': 'airbandmask', 'name': 'airband®', 'id': '1314659265273950208'}]",['http://airbandmask.com'],[],58,186,1217,[],[],https://twitter.com/BillNye/status/1367490021775667200,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1367289375285911552/pu/img/dJCje7nBLizgZqyx.jpg,,,,,,,[],,,,
1366907141819224067,1366907141819224067,2021-03-02 19:23:53 Eastern Standard Time,2021-03-02,19:23:53,-0400,37710752,billnye,Bill Nye,,"Grab your safety goggles, people(s) #TheEndIsNye is coming soon to @PeacockTV",en,"[{'screen_name': 'peacocktv', 'name': 'peacock', 'id': '1171155332917321730'}]",[],[],48,159,1500,['theendisnye'],[],https://twitter.com/BillNye/status/1366907141819224067,False,https://twitter.com/Variety/status/1366810872484671488,0,,,,,,,,[],,,,
1363996755398782978,1363996755398782978,2021-02-22 18:39:02 Eastern Standard Time,2021-02-22,18:39:02,-0400,37710752,billnye,Bill Nye,,Fellow Earthlings: This video fantastic— it’s from Mars! Watch it. Think about how hard this is. Space brings out the best in us humans. Congratulations to all of our Mars explorers! @exploreplanets  https://t.co/uIwJFJfrQQ,en,"[{'screen_name': 'exploreplanets', 'name': 'planetary society', 'id': '194347664'}]",['https://m.youtube.com/watch?v=4czjS9h4Fpg'],[],43,288,1742,[],[],https://twitter.com/BillNye/status/1363996755398782978,False,,0,,,,,,,,[],,,,
