index,created_at,id,full_text,user_name,screen_name,followers_count,verified,retweet_count,favorite_count
0,Thu Mar 19 19:09:28 +0000 2020,1240717039377022977,fun fact: its tradition for europeans to spread a potentially fatal disease to every other country not fully inhabited by white people &amp; not take accountability for the subsequent devastation &amp; lives lost https://t.co/7tRAnkBaHQ,Coochie Seasoning🐝🔥🍬,bbychakra,13251,False,12203,47044
1,Mon Mar 23 16:24:33 +0000 2020,1242125087886761987,My mum has a PhD on Corona Virus from WhatsApp University,b,brownandboujiee,3437,False,107073,401952
2,Thu Mar 19 22:33:57 +0000 2020,1240768501452697600,He told wealthy friends. Then cashed out a cool $1.4m in stock. Then voted AGAINST the covid-19 relief bill. He needs to go https://t.co/kYolBg3ycv,President Kamala’s Hand (STILL),DearDean22,6560,False,7734,12816
3,Mon Mar 23 01:38:05 +0000 2020,1241902001539203073,This Corona virus will pass by mid April !! Speaking it into existence,‎مهذار ✨,Gvbby_23,3865,False,66818,217083
4,Sun Mar 22 00:54:07 +0000 2020,1241528549183385601,no..\none...\n\ncleans like Gaston\nquarantines like Gaston\nno one stops spreading COVID-19 like Gaston,Kyle 🚄,KyleTrainEmoji,11303,False,60980,245134
5,Thu Mar 19 15:50:27 +0000 2020,1240666954958069768,"Corona Virus isn't real, the government just wants everyone inside for two weeks so they can change the batteries in the birds.",Uncle G 👽🛸,Gordough_,2954,False,65580,376602
6,Mon Mar 23 16:51:05 +0000 2020,1242131768662282243,CDC just announced that corona can be spread via Instagram story challenges :-/,Omer Gorashi,omer___go,2312,False,59435,271463
7,Thu Mar 19 12:36:51 +0000 2020,1240618235499819008,"There was a nasty flu that went round in December / early Jan. I’m telling you, that was corona. Bare ppl were sick (including me) complaining of what we now know as the symptoms for corona.",iO,ioproducer,3350,False,49370,302708
8,Mon Mar 23 17:11:09 +0000 2020,1242136816469389316,my flintstones gummies from 15 years ago fighting corona \n https://t.co/wHeBEN1Mos,michael💞,MikeyLLC,14619,False,35373,147136
9,Fri Mar 20 22:52:48 +0000 2020,1241135631406977031,Dominican Republic found the cure for Covid-19 😭 https://t.co/1CfA162Lq3,Vanessa '⁷',AyeVanezita,5853,False,33928,77181
10,Thu Mar 19 19:29:31 +0000 2020,1240722087381262337,ICE pretended to be doctors. There are no fucking words. Please donate if you can https://t.co/lE2fQHA2sB,malcriada 🇳🇮 🇸🇻,virgoferreum,1544,False,9334,11436
11,Thu Mar 19 14:32:19 +0000 2020,1240647292543262721,Y’all dirty mfs brought corona home from Miami &amp; now it’s increased by 88% in 48HRS ....,8:04,TheLifeOfNayy,2585,False,27888,156943
12,Mon Mar 23 01:48:50 +0000 2020,1241904709583155206,"Mitch abandoned bipartisan work on the COVID-19 bill, then tried to pass a no-strings attached corporate bailout that didn't sufficiently help health care workers, first responders, and working class families. Focus on the PEOPLE, @senatemajldr, not Wall Street.",Amy McGrath,AmyMcGrathKY,402392,True,20618,63644
13,Sat Mar 21 17:49:09 +0000 2020,1241421603575119874,FRIENDS. The stuff about nature healing and wildlife returning because of COVID-19 is fake. https://t.co/IlVdiSdlun,Rabbit Cohen,BathysphereHat,9749,False,6734,16866
14,Sun Mar 22 17:41:40 +0000 2020,1241782106646249474,3/16: ron paul publishes article calling corona a hoax\n3/22: ron paul's son tests positive for corona https://t.co/KkzdgrsigP,Current Affairs,curaffairs,118269,True,2564,7509
15,Sun Mar 22 16:56:16 +0000 2020,1241770683090206721,".@realDonaldTrump, dear Lord—please step up and be a leader. While you have been yammering about hoaxes and fake news, the COVID-19 pandemic has hit all over America. @GovPritzker and others have filled this country’s leadership gap. Lead or get out of their way. https://t.co/36yxpiPS5s",Mayor Lightfoot #StayHomeSaveLives,chicagosmayor,139685,True,28311,120023
16,Sun Mar 22 21:41:05 +0000 2020,1241842361472294915,This photo circulating about a case of #COVID19 in Kano allegedly reported by @BBCWorld is FALSE\n\nThis image has been doctored to spread fear and panic\n\nDetails on confirmed cases can be found via https://t.co/bynbDWi0gm\n\n#FactsNotFear\n#COVID19Nigeria https://t.co/HQ9DdL9N9s,NCDC,NCDCgov,791849,True,1656,1860
17,Mon Mar 23 17:37:36 +0000 2020,1242143473710448640,"Never Forget..\n\nWhen India was fighting Corona, pigs like @vinodkapri were sharing Fake News to Create Panic for Congress Propaganda. There's no shortage of PPEs. \n\nAssam Medical college students were testing PPEs as what can be used if shortage occurs. https://t.co/GhmJbBoTxk",Ankur Singh,iAnkurSingh,81696,False,1682,2808
18,Wed Mar 25 01:35:00 +0000 2020,1242626001479372806,The Chinese Communist Party suppressed information about the #COVID19 outbreak from the world for political purposes. Rather than take accountability they are actively pushing a conspiracy theory propaganda campaign against the United States.\n📽️: @axios / @HBO https://t.co/mbodTqfhj8,Senator Ted Cruz,SenTedCruz,1517000,True,1415,3211
19,Sun Mar 22 06:45:26 +0000 2020,1241616962045636608,[Tweeting again with detail in single tweet so no alarm]\n\nJUST IN: 38-yr-old #Covid19 positive  man dies in Patna. Had serious kidney problems that let to renal failure shortly after returning from Qatar. Makes this 1st ‘virus-linked’ death of someone who isn’t a senior citizen.,Shiv Aroor,ShivAroor,913269,True,958,3162
20,Mon Mar 23 01:29:34 +0000 2020,1241899861403983880,"Fearmongering #PharmaFauci - who  built his entire career on the BOGUS HIV-AID$ causality by pushing a #FakeScience of the immune system &amp; imperial control of servile academics, NOW thinks he’ll get away with this current scam upon a petrified #coronavirus American public. \n\nNOT!","Dr.SHIVA Ayyadurai, MIT PhD. Inventor of Email",va_shiva,247396,True,1215,2662
21,Tue Mar 24 17:34:16 +0000 2020,1242505023600447491,Trump's timeline of handling the corona crisis:\n\nOne month ago: it's a hoax. Way overblown. \n\nTwo weeks ago: this is serious. We must take action to prevent its spread. \n\nThis week: ehhhh on second thought maybe a million or so Americans dying isn't *that* bad,Aye throw that Boyz II Men on,DragonflyJonez,178502,False,1323,3875
22,Sat Mar 21 07:56:27 +0000 2020,1241272447187419137,Hungarian Justice Min. @JuditVarga_EU sends bill to Parliament:\n- State of emergency til end of 2020\n- Rule by decree\n- Parliament suspended\n- No snap elections/referendums\n- Spreading fake news and rumors punishable with up to 5 years in prison #COVID19 \nhttps://t.co/1QJaLaKp6J,Balazs Csekö,balazscseko,6948,False,986,1098
23,Tue Mar 24 05:20:56 +0000 2020,1242320472718692352,"Shameful that a person of your repute spreads fake news/rumours in blind hate for India and its traditions. India as a mark of respect came out in balconies on call of PM @narendramodi to applaud doctors, health as well as emergency workers. There was no other reason. Fact check? https://t.co/MBm5jCglUc",Aditya Raj Kaul,AdityaRajKaul,258790,True,2075,4744
24,Fri Mar 20 21:30:10 +0000 2020,1241114836433584130,"To-date, Uganda has NO confirmed case of #COVID19.\nThere is an article alleging that “Uganda confirms 1st case of Coronavirus”-this is NOT true and absolutely FAKE.\nPeople, please stop spreading rumors. Our teams are working around the clock to protect you &amp; keep COVID out of 🇺🇬 https://t.co/c9NMsQucq6",Dr. Jane Ruth Aceng,JaneRuth_Aceng,94857,True,820,2246
25,Sat Mar 21 14:24:56 +0000 2020,1241370210575069184,"My fraud warning published this morning, please read and share - Frank Figliuzzi : Coronavirus scam alert: From fake Starbucks coupons to taxpayer fraud, cons are going viral ⁦@NBCNewsTHINK⁩ @MSNBC⁩ #coronavirus  https://t.co/Xgk8MDFJQ3",Frank Figliuzzi,FrankFigliuzzi1,297711,True,1184,1697
26,Mon Mar 23 04:48:41 +0000 2020,1241949968174387200,"“China and the WHO's chief: Hold them both accountable for pandemic”: An indictment of how ⁦@WHO⁩ chief ⁦@DrTedros⁩ allegedly helped Chinese president #XiJinping conceal full extent of #COVID19 for weeks in Jan, causing a global disaster. Read! https://t.co/7RjJgmyW9L",Minhaz Merchant,MinhazMerchant,248758,True,891,1257
27,Sun Mar 22 08:56:00 +0000 2020,1241649820273709056,So far I know 2 ppl close to me that have tested positive for Corona. Both are recovering from pneumonia in hospital. It’s not a game or a conspiracy. Ppl don’t need well wishes etc... they need you to stay home,A Muse 🇪🇷🇯🇲,Jada__london,648,False,1017,2569
28,Mon Mar 23 15:14:14 +0000 2020,1242107392713584642,"Namaskaram, this message is not from Sadhguru. This is a fake message that is being circulated on WhatsApp. We request you to delete these tweets. 🙏🏻 https://t.co/cWz2th7d1R",Isha Foundation,ishafoundation,322861,True,43,141
29,Sun Mar 22 04:47:35 +0000 2020,1241587305644724225,Maddow - the woman who has peddled lies and wild conspiracy theories for 4 years - is calling on Trump to stop his COVID-19 pressers 🤦🏿‍♂️\n\nZero self-awareness. \n\nhttps://t.co/7uQy3k3IfF,✭ Wayne Dupree 😷,WayneDupreeShow,435758,True,608,1473
30,Fri Mar 20 02:41:20 +0000 2020,1240830754646523905,"Flu Season is winding down and warm weather is returning.\n\nExperts predicted 70% of Americans would be infected with #COVID19.\n\nTurns out .005% were.\n\nMissed it by THAT much.\n\n#FearPorn, it's the new #FakeNews.",Bill Mitchell,mitchellvii,571009,True,641,1415
31,Mon Mar 23 20:12:33 +0000 2020,1242182466892435461,"After failing to correct @AOC's lie that President Trump called the #coronavirus a \""hoax,\"" @CNN's Jake Tapper admitted he knew \""the president did not call the virus a hoax.\""\n\nToday @tomfriedman repeated the same lie. Tapper did not correct him. https://t.co/o31FI8osb5 #FactsFirst https://t.co/MmQzG1JSTD",Trump War Room - Text TRUMP to 88022,TrumpWarRoom,610731,True,598,1141
32,Tue Mar 24 15:40:13 +0000 2020,1242476319608201216,"This man is spreading lies and fake news.\n\nDear responsible Malaysians, kindly report him to https://t.co/i1B2suHGIN. Thank you. https://t.co/GVtH1oG4EF",The #FinancialGory,azraeimuhamad,19666,False,78,101
33,Sun Mar 22 07:43:34 +0000 2020,1241631591647997952,Senior propagandist for the Chinese communist regime spreading more conspiracy theories. Same dickhead who said virus originated in US. \n\nTwitter allows Chinese govt officials on their platform even though Twitter is banned in China. https://t.co/qEkCGIPTWc,Rita Panahi,RitaPanahi,199461,True,2144,9131
34,Fri Mar 20 23:23:28 +0000 2020,1241143349047853056,"#Qatar refused to prepare a hospital for the thousands #CoronaVirus infected migrant workers on its soil, instead, it has locked them inside animal shelters without any medical care! Migrants workers are not slaves, they have rights! Shame on #HumanRights orgs for being silent! https://t.co/A9ShpKBHaP",بن هباس 🇸🇦,5a1di,171454,False,1328,1352
35,Fri Mar 20 23:19:10 +0000 2020,1241142266586173446,Amnesty says Qatar refused to prepare hospital for workers infected with #coronavirus working on projects like @FIFAWorldCup. Amnesty confirmed many cases inside “labour camps” where workers in Qatar live. I warned about this days ago. #coronavirus @FIFAcom has blood on its hands https://t.co/F4LEkXkdDC,Ghanem Nuseibeh,gnuseibeh,23345,True,1328,1352
36,Thu Mar 05 04:14:47 +0000 2020,1235418456641531906,The meth you mistook for molly in 2014 was the Corona virus vaccine,spaghetto,grooovybee,3267,False,13820,96533
37,Wed Mar 04 19:33:56 +0000 2020,1235287380292235264,There's not a single confirmed case of an Asian infected in NYC. Stop discriminating cause the virus definitely doesn't. #racist #coronavirus https://t.co/Wt1NPOuQdy,Celia Au,ItsCeliaAu,3312,True,16722,37755
38,Fri Mar 06 20:41:45 +0000 2020,1236029221706895360,"BREAKING: Trump could still own stock in a company that, according to the CDC, will play a major role in providing coronavirus test kits to the federal government, which means that Trump could profit from coronavirus testing. #COVIDー19 #coronavirus  https://t.co/Kwl3ylMZRk",Amee Vanderpool,girlsreallyrule,290646,False,6018,6030
39,Thu Mar 05 17:31:11 +0000 2020,1235618874621558791,What works in stopping the spread of Coronavirus:\n1. Wash your hands for at least 20 seconds\n2. Cough and sneeze into your elbow\n3. Stay home if you're sick\n\nWhat doesn't work:\n1. Racism https://t.co/wBrkkBe7yP,MTA,MTA,1319392,True,16722,37755
40,Fri Mar 06 04:58:30 +0000 2020,1235791843926761475,Vietnam was the first country to fully contain SARS and COVID-19 (with no deaths) and developed a quick-test kit in one month that the WHO says should have taken four years. WHO is now consulting with Vietnam to get help for the global crisis. Of course this isn't in our news.,Emerican Johnson - Cornpop Ambassador to Vietnam,EmericanJohnson,20563,False,75461,284929
41,Tue Mar 03 07:46:49 +0000 2020,1234747040669716482,MORE PEOPLE DIE FROM THE REGULAR FUCKING FLU EVERY YEAR THAN THE NUMBER OF PEOPLE WHO HAVE DIED FROM THE CORONA VIRUS JUST WASH YOUR HANDS COVER YOUR MOUTH WHEN COUGHING TAKE YOUR FUCKING VITAMINS AND STOP BEING RACIST TO EVERY ASIAN PERSON YOU SEE YOU FUCK HEADS,lauren,adazzlinhaze,2118,False,118800,438115
42,Thu Mar 05 23:49:32 +0000 2020,1235714090057830402,Translation - A 60 year old women caught a cold and is fine. https://t.co/5JzHazRbkD,Dave Portnoy,stoolpresidente,1303592,False,149,531
43,Thu Mar 05 20:19:46 +0000 2020,1235661301835235328,#HongKongers decided not to listen to their own government for good reasons and decided to wear masks to protect themselves. #HongKong had the first case of #coronavirus way earlier than most of the countries on this list and had seen nearly little to no increase in cases since. https://t.co/W1ijX3WhXJ,Fight For Freedom. Stand With Hong Kong.,Stand_with_HK,118088,False,1587,2658
