id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1396805711083016194,1396805711083016194,2021-05-24 12:30:07 UTC,2021-05-24,12:30:07,+0000,59769395,niaidnews,NIAID News,,Interested in volunteering for a #COVID19 clinical study? Check out the COVID-19 Clinical Trials webpage to find a volunteer opportunity that is appropriate for you!  https://t.co/G3cClTkTAC  https://t.co/wwZwpURtnP,en,[],['https://bit.ly/3n8xhZB'],['https://pbs.twimg.com/media/E2JzY_QXIAQtqCb.jpg'],0,1,3,['covid19'],[],https://twitter.com/NIAIDNews/status/1396805711083016194,False,,1,https://pbs.twimg.com/media/E2JzY_QXIAQtqCb.jpg,,,,,,,[],,,,
1395741402852732929,1395741402852732929,2021-05-21 14:00:56 UTC,2021-05-21,14:00:56,+0000,59769395,niaidnews,NIAID News,,More than 60% of American adults have received their first #COVID19 vaccine. Do your part to help defeat this virus so we can get back to spending time with the ones we love. #WeCanDoThis 🔍 Search  https://t.co/8w7venotut 💬 Text your ZIP code to 438829 📞 Call 1-800-232-0233  https://t.co/VQ0Tl7zVnC,en,[],['http://vaccines.gov'],[],1,1,4,"['covid19', 'wecandothis']",[],https://twitter.com/NIAIDNews/status/1395741402852732929,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1395741377485496326/pu/img/q9M6wiwmYkFvJPBo.jpg,,,,,,,[],,,,
1395038054541402115,1395038054541402115,2021-05-19 15:26:05 UTC,2021-05-19,15:26:05,+0000,59769395,niaidnews,NIAID News,,"Healthy adults 18 to 50 years old are needed to participate in the study of an investigational influenza (flu vaccine). To volunteer, call 1-866-833-5433 (TTY 1-866-411-1010), email vaccines@nih.gov, or visit  https://t.co/l8dV93ZWK4. Financial compensation is provided.  https://t.co/c1CNP2WrHK",en,[],['http://niaid.nih.gov/about/vrc'],['https://pbs.twimg.com/media/E1wrtKaWYAIAdH0.jpg'],2,1,7,[],[],https://twitter.com/NIAIDNews/status/1395038054541402115,False,,1,https://pbs.twimg.com/media/E1wrtKaWYAIAdH0.jpg,,,,,,,[],,,,
1392500823419199489,1392500823419199489,2021-05-12 15:24:02 UTC,2021-05-12,15:24:02,+0000,59769395,niaidnews,NIAID News,,"NIAID has updated the strategic plan for #COVID19 research which outlines research priorities critical to better understanding, treating and preventing SARS-CoV-2 &amp; COVID19. Read more:  https://t.co/zmsJk3wP0R  https://t.co/OylX0fZhRK",en,[],['https://bit.ly/3y5X5uY'],['https://pbs.twimg.com/media/E1MoHm7XMAQHKTD.png'],9,8,14,['covid19'],[],https://twitter.com/NIAIDNews/status/1392500823419199489,False,,1,https://pbs.twimg.com/media/E1MoHm7XMAQHKTD.png,,,,,,,[],,,,
1392113364206194688,1392113364206194688,2021-05-11 13:44:24 UTC,2021-05-11,13:44:24,+0000,59769395,niaidnews,NIAID News,,"NEWS: An investigational #GeneTherapy can safely restore #immune function in infants &amp; children who have the life-threatening #RareDisease #ADASCID, according to research supported in part by @NIH &amp; published today in @NEJM.  https://t.co/0UNqhw8Zlc  https://t.co/2XSalWCIyk",en,"[{'screen_name': 'nih', 'name': 'nih', 'id': '15134240'}, {'screen_name': 'nejm', 'name': 'nejm', 'id': '25950355'}]",['http://bit.ly/ADA-SCID'],['https://pbs.twimg.com/media/E1HHtB2VUAAWpJ9.jpg'],4,2,15,"['genetherapy', 'immune', 'raredisease', 'adascid']",[],https://twitter.com/NIAIDNews/status/1392113364206194688,False,,1,https://pbs.twimg.com/media/E1HHtB2VUAAWpJ9.jpg,,,,,,,[],,,,
1391857084128497668,1391857084128497668,2021-05-10 20:46:02 UTC,2021-05-10,20:46:02,+0000,59769395,niaidnews,NIAID News,,"On May 12 at 5:30 p.m. ET, join NIAID Director Anthony S. Fauci, M.D., at the #5thAnnualVPS for a Fireside Chat with the first full-time @NIH_ORWH Director, Dr. Vivian Pinn. Register at  https://t.co/PiQ0XSJfRi.  https://t.co/YzM5e0mNCQ",en,"[{'screen_name': 'nih_orwh', 'name': ""nih women's health"", 'id': '562188508'}]",['https://bit.ly/2SmnNyX'],['https://pbs.twimg.com/media/E1Deo3RXsAI9skP.jpg'],6,3,16,['5thannualvps'],[],https://twitter.com/NIAIDNews/status/1391857084128497668,False,,1,https://pbs.twimg.com/media/E1Deo3RXsAI9skP.jpg,,,,,,,[],,,,
1390699483965497349,1386722498801188864,2021-05-07 16:06:09 UTC,2021-05-07,16:06:09,+0000,59769395,niaidnews,NIAID News,,Learn more at  https://t.co/kHoOhVmWzp,en,[],['https://www.niaid.nih.gov/clinical-trials/drug-treatment-mild-covid-19-speselpis'],[],1,1,5,[],[],https://twitter.com/NIAIDNews/status/1390699483965497349,False,,0,,,,,,,,[],,,,
1390385475601403905,1390385475601403905,2021-05-06 19:18:24 UTC,2021-05-06,19:18:24,+0000,59769395,niaidnews,NIAID News,,"FLU NEWS: Tiny nanoparticles could make a huge impact in future, long-lasting #flu #vax. New research by #NIAID scientists and @UW colleagues  https://t.co/JkcgKKrB22",en,"[{'screen_name': 'uw', 'name': 'university of washington', 'id': '27103822'}]",['https://bit.ly/3vLYDbt'],[],6,15,44,"['flu', 'vax', 'niaid']",[],https://twitter.com/NIAIDNews/status/1390385475601403905,False,,0,,,,,,,,[],,,,
1390052146385616897,1390052068421894148,2021-05-05 21:13:52 UTC,2021-05-05,21:13:52,+0000,59769395,niaidnews,NIAID News,,"Results from the trial, led by @CDCgov w/ support from @NIAIDNews-funded @ACTGNetwork and first reported in Oct. 2020 at #UnionConf, will help inform future TB treatment.  https://t.co/98oNeJwJ3P",en,"[{'screen_name': 'cdcgov', 'name': 'cdc', 'id': '146569971'}, {'screen_name': 'niaidnews', 'name': 'niaid news', 'id': '59769395'}, {'screen_name': 'actgnetwork', 'name': 'actg network', 'id': '361405892'}]",['http://bit.ly/ShortTB'],[],0,1,8,['unionconf'],[],https://twitter.com/NIAIDNews/status/1390052146385616897,False,,0,,,,,,,,[],,,,
1390052068421894148,1390052068421894148,2021-05-05 21:13:33 UTC,2021-05-05,21:13:33,+0000,59769395,niaidnews,NIAID News,,"#TB NEWS: A new 4-month daily treatment regimen is as safe &amp; effective as the standard 6-month regimen at curing drug-susceptible #tuberculosis disease, researchers report today in @NEJM.  https://t.co/e1baG9chzM  https://t.co/zf1ZB3k5f7",en,"[{'screen_name': 'nejm', 'name': 'nejm', 'id': '25950355'}]",['http://bit.ly/S31A5349'],['https://pbs.twimg.com/media/E0p00ynVIAAhxYl.jpg'],1,6,16,"['tb', 'tuberculosis']",[],https://twitter.com/NIAIDNews/status/1390052068421894148,False,,1,https://pbs.twimg.com/media/E0p00ynVIAAhxYl.jpg,,,,,,,[],,,,
1389946915400294407,1389946915400294407,2021-05-05 14:15:43 UTC,2021-05-05,14:15:43,+0000,59769395,niaidnews,NIAID News,,"#ASTHMA NEWS: Today on #WorldAsthmaDay, @NIAIDNews, @nih_nhlbi, and @NIEHS reaffirm their commitment to research to improve the lives of people with this chronic #lung disease.  https://t.co/rnXavjLjDw  https://t.co/3bvtWFiR7E",en,"[{'screen_name': 'niaidnews', 'name': 'niaid news', 'id': '59769395'}, {'screen_name': 'nih_nhlbi', 'name': 'nih nhlbi', 'id': '68987936'}, {'screen_name': 'niehs', 'name': 'niehs', 'id': '97464922'}]",['http://bit.ly/NIHWAD2021'],['https://pbs.twimg.com/media/E0oVCRSVoAQ8p4e.jpg'],1,10,18,"['asthma', 'worldasthmaday', 'lung']",[],https://twitter.com/NIAIDNews/status/1389946915400294407,False,,1,https://pbs.twimg.com/media/E0oVCRSVoAQ8p4e.jpg,,,,,,,[],,,,
1389927860740165633,1389927860740165633,2021-05-05 13:00:00 UTC,2021-05-05,13:00:00,+0000,59769395,niaidnews,NIAID News,,NEWS: NIAID-led research in @NatureComms reveals that #ExtracellularVesicles shed by #MastCells contribute to #bone disease and #osteoporosis in people with mast cell disorders.  https://t.co/coXkbbZrBe   📸: NIAID  https://t.co/Nk4hOAB2zR,en,"[{'screen_name': 'naturecomms', 'name': 'nature communications', 'id': '206255645'}]",['https://go.nature.com/3ul9okP'],['https://pbs.twimg.com/media/E0n1fnYXsAUTQ_7.jpg'],0,0,2,"['extracellularvesicles', 'mastcells', 'bone', 'osteoporosis']",[],https://twitter.com/NIAIDNews/status/1389927860740165633,False,,1,https://pbs.twimg.com/media/E0n1fnYXsAUTQ_7.jpg,,,,,,,[],,,,
1387146594324074496,1387146594324074496,2021-04-27 20:48:14 UTC,2021-04-27,20:48:14,+0000,59769395,niaidnews,NIAID News,,ANTIBIOTICS NEWS: A new trial will test the existing #antibiotic dalbavancin for safety and efficacy in treating complicated Staphylococcus aureus #bacteremia. Learn more:  https://t.co/HqO444Catz  https://t.co/JOHfcIj3WI,en,[],['http://bit.ly/SAureusBacteremia'],['https://pbs.twimg.com/media/E0AibuUVgAUqsoq.jpg'],1,6,16,"['antibiotic', 'bacteremia']",[],https://twitter.com/NIAIDNews/status/1387146594324074496,False,,1,https://pbs.twimg.com/media/E0AibuUVgAUqsoq.jpg,,,,,,,[],,,,
1387087079142658050,1387087079142658050,2021-04-27 16:51:45 UTC,2021-04-27,16:51:45,+0000,59769395,niaidnews,NIAID News,,"NEWS: To help #vaccine developers identify suitable adjuvants, @NIAIDNews has established a Vaccine #Adjuvant Compendium to share characteristics and metadata on adjuvants studied by NIAID-supported researchers and other research programs.  https://t.co/UorTMPZvs1",en,"[{'screen_name': 'niaidnews', 'name': 'niaid news', 'id': '59769395'}]",['https://vac.niaid.nih.gov/'],[],0,6,13,"['vaccine', 'adjuvant']",[],https://twitter.com/NIAIDNews/status/1387087079142658050,False,,0,,,,,,,,[],,,,
1387082403500363778,1387082403500363778,2021-04-27 16:33:10 UTC,2021-04-27,16:33:10,+0000,59769395,niaidnews,NIAID News,,Liver Disease News: NIAID scientists and colleagues identify key #LiverFibrosis gene and how it can make aging livers more prone to #cirrhosis and #HepatocellularCarcinoma. Study also could inform new therapies to reduce or prevent #HepaticFibrosis.  https://t.co/PQoeHl7Qfx,en,[],['https://bit.ly/3npspjy'],[],0,7,9,"['liverfibrosis', 'cirrhosis', 'hepatocellularcarcinoma', 'hepaticfibrosis']",[],https://twitter.com/NIAIDNews/status/1387082403500363778,False,,0,,,,,,,,[],,,,
