id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1396950066867359745,1396950066867359745,2021-05-24 22:03:44 UTC,2021-05-24,22:03:44,+0000,22203756,mike_pence,Mike Pence,,Top Republicans flock to Reagan Library to speak out on GOP's future | Fox News  https://t.co/qpwESWnmS1,en,[],['https://www.foxnews.com/politics/republicans-pence-ryan-haley-scott-cotton-reagan-library-speeches-gop-future.amp'],[],407,117,1155,[],[],https://twitter.com/Mike_Pence/status/1396950066867359745,False,,0,,,,,,,,[],,,,
1396820941997477888,1396820941997477888,2021-05-24 13:30:38 UTC,2021-05-24,13:30:38,+0000,22203756,mike_pence,Mike Pence,,So Good to be Back Home Again in Indiana! 🏠🇺🇸  https://t.co/d8WKTlQYnc,en,[],['https://www.usatoday.com/story/news/politics/2021/05/22/former-vice-president-mike-pence-and-his-wife-karen-move-back-indiana/5207465001/'],[],590,180,3652,[],[],https://twitter.com/Mike_Pence/status/1396820941997477888,False,,0,,,,,,,,[],,,,
1394682700339027968,1394682700339027968,2021-05-18 15:54:02 UTC,2021-05-18,15:54:02,+0000,22203756,mike_pence,Mike Pence,, https://t.co/fbIh5fBH9Y,und,[],['https://www.foxnews.com/politics/pence-biden-admin-israel-hamas-false-equivalency'],[],342,166,1106,[],[],https://twitter.com/Mike_Pence/status/1394682700339027968,False,,0,,,,,,,,[],,,,
1394680207173373955,1394680207173373955,2021-05-18 15:44:07 UTC,2021-05-18,15:44:07,+0000,22203756,mike_pence,Mike Pence,,"The Trump-Pence Administration set the table for lasting peace. President Biden has replaced strength with weakness, moral clarity with confusion, and loyalty with betrayal.  If the world knows nothing else, let the world know this: America Stands with Israel. 🇺🇸🇮🇱  https://t.co/QxDP5iZBs1",en,[],[],[],2647,1243,7742,[],[],https://twitter.com/Mike_Pence/status/1394680207173373955,False,,1,https://pbs.twimg.com/amplify_video_thumb/1394670396729970696/img/QmAwcsWBMJCA1U3P.jpg,,,,,,,[],,,,
1394434430639480832,1394434430639480832,2021-05-17 23:27:30 UTC,2021-05-17,23:27:30,+0000,22203756,mike_pence,Mike Pence,, https://t.co/xe7KbExpPr,und,[],['https://www.nationalreview.com/2021/05/violence-in-israel-is-the-price-of-bidens-weakness/'],[],1592,927,7446,[],[],https://twitter.com/Mike_Pence/status/1394434430639480832,False,,0,,,,,,,,[],,,,
1394288939209474051,1394288939209474051,2021-05-17 13:49:22 UTC,2021-05-17,13:49:22,+0000,22203756,mike_pence,Mike Pence,,Mike Pence: Biden's China-first tax plan – Americans come last in president's jobs plan | Fox News  https://t.co/Y3oDO6lpfz,en,[],['https://www.foxnews.com/opinion/biden-china-first-tax-plan-hurt-americans-mike-pence'],[],462,248,1945,[],[],https://twitter.com/Mike_Pence/status/1394288939209474051,False,,0,,,,,,,,[],,,,
1393588554404671490,1393588554404671490,2021-05-15 15:26:17 UTC,2021-05-15,15:26:17,+0000,22203756,mike_pence,Mike Pence,,"On this Peace Officers Memorial Day, we pay tribute to the brave men &amp; women on the Thin Blue Line who lost their lives in the line of duty. Our prayers are with their families &amp; we will never forget or fail to honor these heroes who sacrificed their own safety to protect us. 🇺🇸  https://t.co/XHYUhqNCxi",en,[],[],"['https://pbs.twimg.com/media/E1cFZRdX0AIwly4.jpg', 'https://pbs.twimg.com/media/E1cFZRdWUAEzJza.jpg', 'https://pbs.twimg.com/media/E1cFZRfXMA8tM36.jpg', 'https://pbs.twimg.com/media/E1cFZRhX0AMvoL7.jpg']",514,505,5665,[],[],https://twitter.com/Mike_Pence/status/1393588554404671490,False,,1,https://pbs.twimg.com/media/E1cFZRdX0AIwly4.jpg,,,,,,,[],,,,
1393221172997890050,1393221172997890050,2021-05-14 15:06:27 UTC,2021-05-14,15:06:27,+0000,22203756,mike_pence,Mike Pence,,"Three years ago today, our Administration followed through on the promise of many before and moved our US Embassy to Jerusalem, the rightful capital of Israel! Israel is America’s most cherished ally &amp; @usembassyjlm represents unbreakable bond between our two Nations. 🇺🇸🇮🇱  https://t.co/EIakPLAp2i",en,"[{'screen_name': 'usembassyjlm', 'name': 'u.s. embassy jerusalem', 'id': '44309594'}]",[],['https://pbs.twimg.com/media/E1W3RdXXsAYdEg-.jpg'],1750,838,7925,[],[],https://twitter.com/Mike_Pence/status/1393221172997890050,False,,1,https://pbs.twimg.com/media/E1W3RdXXsAYdEg-.jpg,,,,,,,[],,,,
1392225507308183555,1392225507308183555,2021-05-11 21:10:01 UTC,2021-05-11,21:10:01,+0000,22203756,mike_pence,Mike Pence,,America Stands with Israel. 🇺🇸 🇮🇱,en,[],[],[],66970,7908,53055,[],[],https://twitter.com/Mike_Pence/status/1392225507308183555,False,,0,,,,,,,,[],,,,
1392206086342651905,1392206086342651905,2021-05-11 19:52:51 UTC,2021-05-11,19:52:51,+0000,22203756,mike_pence,Mike Pence,,".@FedSoc is a great organization of over 60,000 lawyers, law students &amp; scholars who believe in the Conservative principles of Limited Government &amp; Individual Freedom. With the help of @FedSoc, the legacy of the Trump-Pence Admin is a Conservative majority in the Supreme Court!🇺🇸",en,"[{'screen_name': 'fedsoc', 'name': 'federalist society', 'id': '19926983'}, {'screen_name': 'fedsoc', 'name': 'federalist society', 'id': '19926983'}]",[],[],351,131,1074,[],[],https://twitter.com/Mike_Pence/status/1392206086342651905,False,,0,,,,,,,,[],,,,
1391937473031311365,1391937473031311365,2021-05-11 02:05:29 UTC,2021-05-11,02:05:29,+0000,22203756,mike_pence,Mike Pence,,If the World Knows Nothing else Let the World Know this-  America Stands With Israel 🇺🇸  https://t.co/i0waMKe2al,en,[],['https://www.foxnews.com/politics/israel-hamas-rocket-attack-congress-condemn'],[],3092,1690,11739,[],[],https://twitter.com/Mike_Pence/status/1391937473031311365,False,,0,,,,,,,,[],,,,
1391424788082610177,1391424788082610177,2021-05-09 16:08:15 UTC,2021-05-09,16:08:15,+0000,22203756,mike_pence,Mike Pence,,"Happy Mother’s Day to My Mom Nancy, My Kids Wonderful Mom @KarenPence, our family’s newest Mommy &amp; All of America’s Incredible Moms #HappyMothersDay !  https://t.co/Crlz7rW6u5",en,"[{'screen_name': 'karenpence', 'name': 'karen pence', 'id': '1161645520009486337'}]",[],"['https://pbs.twimg.com/media/E09Vc1TXIAcvHQC.jpg', 'https://pbs.twimg.com/media/E09Vc1yX0AEMvYn.jpg', 'https://pbs.twimg.com/media/E09Vc1zXoAYf_xI.jpg']",338,298,7137,['happymothersday'],[],https://twitter.com/Mike_Pence/status/1391424788082610177,False,,1,https://pbs.twimg.com/media/E09Vc1TXIAcvHQC.jpg,,,,,,,[],,,,
1390388263672815623,1390388263672815623,2021-05-06 19:29:28 UTC,2021-05-06,19:29:28,+0000,22203756,mike_pence,Mike Pence,, https://t.co/Gcbt93dKyS,und,[],['https://www.washingtontimes.com/news/2021/may/5/toward-an-agenda-that-will-win-back-america/'],[],272,96,741,[],[],https://twitter.com/Mike_Pence/status/1390388263672815623,False,,0,,,,,,,,[],,,,
1390291370447937541,1390291176343883778,2021-05-06 13:04:27 UTC,2021-05-06,13:04:27,+0000,22203756,mike_pence,Mike Pence,,"“Do not be anxious about anything, but in every situation, by prayer and petition, with thanksgiving, present your requests to God. And the peace of God, which transcends all understanding, will guard your hearts and your minds in Christ Jesus.”  Philippians 4:6-7",en,[],[],[],212,205,2665,[],[],https://twitter.com/Mike_Pence/status/1390291370447937541,False,,0,,,,,,,,[],,,,
1390291176343883778,1390291176343883778,2021-05-06 13:03:41 UTC,2021-05-06,13:03:41,+0000,22203756,mike_pence,Mike Pence,,"On this #NationalDayofPrayer, let’s pray for America, for the courageous Americans in uniform who keep us safe at home and abroad, for the dedicated healthcare professionals who have cared for our families, and for every American in this one Nation under God. 🇺🇸  https://t.co/dwnJX3VPJN",en,[],[],[],806,611,6434,['nationaldayofprayer'],[],https://twitter.com/Mike_Pence/status/1390291176343883778,False,,1,https://pbs.twimg.com/amplify_video_thumb/1390287917281591298/img/Ej9_Cbasux_UKAMj.jpg,,,,,,,[],,,,
1389681820229423104,1389681820229423104,2021-05-04 20:42:19 UTC,2021-05-04,20:42:19,+0000,22203756,mike_pence,Mike Pence,,Excited to headline @yaf’s 43rd Annual National Conservative Student Conference!   RSVP now to be there:  https://t.co/VDHKwXESIN,en,"[{'screen_name': 'yaf', 'name': 'yaf', 'id': '16148677'}]",['https://www.yaf.org/events/ncsc-2021/'],[],254,100,1023,[],[],https://twitter.com/Mike_Pence/status/1389681820229423104,False,,0,,,,,,,,[],,,,
1388654387661262852,1388654387661262852,2021-05-02 00:39:40 UTC,2021-05-02,00:39:40,+0000,22203756,mike_pence,Mike Pence,, https://t.co/HW6M3Itgiu,und,[],['https://www.nbcnews.com/politics/politics-news/pence-makes-foray-back-political-debate-speech-s-c-conservatives-n1265850'],[],331,91,966,[],[],https://twitter.com/Mike_Pence/status/1388654387661262852,False,,0,,,,,,,,[],,,,
1388654367897755650,1388654367897755650,2021-05-02 00:39:35 UTC,2021-05-02,00:39:35,+0000,22203756,mike_pence,Mike Pence,,"In just 100 days the Biden-Harris administration has launched an avalanche of liberal policies that will derail all the progress we made on security, prosperity and values!",en,[],[],[],4544,1587,17512,[],[],https://twitter.com/Mike_Pence/status/1388654367897755650,False,,0,,,,,,,,[],,,,
1388217653848838144,1388217653848838144,2021-04-30 19:44:15 UTC,2021-04-30,19:44:15,+0000,22203756,mike_pence,Mike Pence,, https://t.co/rqLY5FSGP0,und,[],['https://www.cbsnews.com/news/pence-speech-south-carolina-2021-04-29/'],[],491,99,861,[],[],https://twitter.com/Mike_Pence/status/1388217653848838144,False,,0,,,,,,,,[],,,,
1388200308770316292,1388200308770316292,2021-04-30 18:35:19 UTC,2021-04-30,18:35:19,+0000,22203756,mike_pence,Mike Pence,,"With our agenda, and with our movement, we will ALWAYS stand with men and women on the Thin Blue Line of Law Enforcement!  https://t.co/2U6r6EJdgr",en,[],[],['https://pbs.twimg.com/media/E0Pg0ahXsAsrF3_.jpg'],655,248,3283,[],[],https://twitter.com/Mike_Pence/status/1388200308770316292,False,,1,https://pbs.twimg.com/media/E0Pg0ahXsAsrF3_.jpg,,,,,,,[],,,,
1388171814283714563,1388171814283714563,2021-04-30 16:42:06 UTC,2021-04-30,16:42:06,+0000,22203756,mike_pence,Mike Pence,, https://t.co/z6P41DQNq7,und,[],['https://www.nationalreview.com/news/pence-criticizes-bidens-open-borders-runaway-spending-in-his-first-speech-since-leaving-office/'],[],447,175,1721,[],[],https://twitter.com/Mike_Pence/status/1388171814283714563,False,,0,,,,,,,,[],,,,
