id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1398291974042574850,1398291974042574850,2021-05-28 10:56:00 Eastern Daylight Time,2021-05-28,10:56:00,-0400,216776631,berniesanders,Bernie Sanders,,"The American people want action, not never-ending ""negotiations"" and obstructionism, and they will not come out and vote for a party that does not deliver.   If not now, when?",en,[],[],[],637,2552,17802,[],[],https://twitter.com/BernieSanders/status/1398291974042574850,False,,0,,,,,,,,[],,,,
1397973877821775872,1397973877821775872,2021-05-27 13:52:00 Eastern Daylight Time,2021-05-27,13:52:00,-0400,216776631,berniesanders,Bernie Sanders,,"Democracy in America means one person, one vote. It does not mean billionaires buying elections. It does not mean suppressing the vote. It does not mean rigging the next election because you lost the last one. People fought and died for our democracy — it is our job to defend it.",en,[],[],[],607,2389,13712,[],[],https://twitter.com/BernieSanders/status/1397973877821775872,False,,0,,,,,,,,[],,,,
1397940407443415041,1397940407443415041,2021-05-27 11:39:00 Eastern Daylight Time,2021-05-27,11:39:00,-0400,216776631,berniesanders,Bernie Sanders,,"Nearly half of all seniors over the age of 75 have hearing loss. Yet in America today, 75% of seniors who need hearing aids don't have one. Why is that? Because of the price tag. It's time we expand Medicare to cover hearing aids, dental care, and eyeglasses.",en,[],[],[],487,2377,18897,[],[],https://twitter.com/BernieSanders/status/1397940407443415041,False,,0,,,,,,,,[],,,,
1397539013020438532,1397539013020438532,2021-05-26 09:04:00 Eastern Daylight Time,2021-05-26,09:04:00,-0400,216776631,berniesanders,Bernie Sanders,,Jeff Bezos is the richest guy on the planet. He's gotten $86 billion richer since the start of the COVID pandemic. Does he really need $10 billion from Congress for space exploration?,en,[],[],[],5996,23236,158920,[],[],https://twitter.com/BernieSanders/status/1397539013020438532,False,,0,,,,,,,,[],,,,
1397194493649203219,1397194493649203219,2021-05-25 10:15:00 Eastern Daylight Time,2021-05-25,10:15:00,-0400,216776631,berniesanders,Bernie Sanders,,"I think most working class Americans understand that for the last 40 years, what the government has done is cater to the needs of the wealthy and of large corporations. What we have got to do now is start paying attention to a struggling working class.  https://t.co/WVCk8uJwWf",en,[],[],[],292,846,4324,[],[],https://twitter.com/BernieSanders/status/1397194493649203219,False,,1,https://pbs.twimg.com/media/E2PUYcxXMA0toQm.jpg,,,,,,,[],,,,
1396487379440087045,1396487379440087045,2021-05-23 11:25:11 Eastern Daylight Time,2021-05-23,11:25:11,-0400,216776631,berniesanders,Bernie Sanders,,"When Mitch McConnell, the Senate Republican Leader, tells us his job is to oppose 100% of President Biden's agenda, we should believe him. Time is running out. We must act quickly to improve the lives of working families with 51 votes. We cannot afford to wait. Let's get it done.",en,[],[],[],1165,7228,43670,[],[],https://twitter.com/BernieSanders/status/1396487379440087045,False,,0,,,,,,,,[],,,,
1395908895479054339,1395908895479054339,2021-05-21 21:06:30 Eastern Daylight Time,2021-05-21,21:06:30,-0400,216776631,berniesanders,Bernie Sanders,,"We’ve recently seen disturbing antisemitic attacks and a troubling rise in Islamophobia. If you are committed to a future of equality and peaceful coexistence, please stand united against anyone who promotes hatred of any kind.",en,[],[],[],2054,10074,67000,[],[],https://twitter.com/BernieSanders/status/1395908895479054339,False,,0,,,,,,,,[],,,,
1395779418283520007,1395779418283520007,2021-05-21 12:32:00 Eastern Daylight Time,2021-05-21,12:32:00,-0400,216776631,berniesanders,Bernie Sanders,,"I hear my Republican colleagues going on about a 'labor shortage' in this country. Well, in Pennsylvania and elsewhere, some employers have raised wages — you know what? People came back to work in a hurry.  https://t.co/9stlZIMWx6",en,[],[],[],226,877,3914,[],[],https://twitter.com/BernieSanders/status/1395779418283520007,False,,1,https://pbs.twimg.com/media/E169D3RXsAYszHC.jpg,,,,,,,[],,,,
1395429109925302272,1395429109925302272,2021-05-20 13:20:00 Eastern Daylight Time,2021-05-20,13:20:00,-0400,216776631,berniesanders,Bernie Sanders,,Congratulations to the workers who fought courageously for this HUGE victory. Congress must follow Rhode Island’s lead and move NOW to end starvation wages in the richest country on earth.,en,[],[],[],233,1709,13323,[],[],https://twitter.com/BernieSanders/status/1395429109925302272,False,https://twitter.com/fightfor15/status/1395395528389652483,0,,,,,,,,[],,,,
1395420050010501126,1395420050010501126,2021-05-20 12:44:00 Eastern Daylight Time,2021-05-20,12:44:00,-0400,216776631,berniesanders,Bernie Sanders,,"On issue after issue, Republicans are seeing that the American people overwhelmingly support a progressive agenda. As it turns out, an agenda of enormous tax breaks for billionaires, and billions in welfare for enormous corporations isn't all that popular. Imagine that!",en,[],[],[],465,1726,12636,[],[],https://twitter.com/BernieSanders/status/1395420050010501126,False,,0,,,,,,,,[],,,,
1395030986665209858,1395030986665209858,2021-05-19 10:58:00 Eastern Daylight Time,2021-05-19,10:58:00,-0400,216776631,berniesanders,Bernie Sanders,,"If McDonald's can afford to pay its CEO over $10 million in compensation and spend billions on stock buybacks to award its wealthy shareholders and executives, you know what? It can afford to pay all of its workers at least $15 an hour. I'm proud to support the workers on strike.  https://t.co/XodhxFksbc",en,[],[],[],425,1925,9978,[],[],https://twitter.com/BernieSanders/status/1395030986665209858,False,,1,https://pbs.twimg.com/media/E1wkubkWYAEoPqj.jpg,,,,,,,[],,,,
1394748374461698048,1394748374461698048,2021-05-18 16:15:00 Eastern Daylight Time,2021-05-18,16:15:00,-0400,216776631,berniesanders,Bernie Sanders,,"Over the course of the pandemic, the average corporate CEO has seen their pay explode by some 29%. The median worker has seen their pay decline by 2%. That is totally unacceptable.  https://t.co/Mw6ytSjfQZ",en,[],[],[],249,829,3459,[],[],https://twitter.com/BernieSanders/status/1394748374461698048,False,,1,https://pbs.twimg.com/media/E1sh4ogXIAEEiK9.jpg,,,,,,,[],,,,
1394692506269503498,1394692506269503498,2021-05-18 12:33:00 Eastern Daylight Time,2021-05-18,12:33:00,-0400,216776631,berniesanders,Bernie Sanders,,"Republicans in state after state are attempting to starve people back to work by trying to do away with supplemental unemployment payments. Unacceptable.   My view is simple: pay people a living wage and provide better benefits, they will work.",en,[],[],[],941,3587,22473,[],[],https://twitter.com/BernieSanders/status/1394692506269503498,False,,0,,,,,,,,[],,,,
1394083996653563907,1394083996653563907,2021-05-16 20:15:00 Eastern Daylight Time,2021-05-16,20:15:00,-0400,216776631,berniesanders,Bernie Sanders,,"The problem is not a labor shortage in this country. The problem is that in state after state, workers are being asked to work for starvation wages and no benefits.  https://t.co/y9QbLkjbP9",en,[],[],[],577,1549,7547,[],[],https://twitter.com/BernieSanders/status/1394083996653563907,False,,1,https://pbs.twimg.com/media/E1jHWm7WUAMdBoN.jpg,,,,,,,[],,,,
1393972598237696007,1393972598237696007,2021-05-16 12:52:20 Eastern Daylight Time,2021-05-16,12:52:20,-0400,216776631,berniesanders,Bernie Sanders,,The devastation in Gaza is unconscionable. We must urge an immediate ceasefire. The killing of Palestinians and Israelis must end. We must also take a hard look at nearly $4 billion a year in military aid to Israel. It is illegal for U.S. aid to support human rights violations.,en,[],[],[],12534,39980,170145,[],[],https://twitter.com/BernieSanders/status/1393972598237696007,False,,0,,,,,,,,[],,,,
1393733361643008000,1393733361643008000,2021-05-15 21:01:42 Eastern Daylight Time,2021-05-15,21:01:42,-0400,216776631,berniesanders,Bernie Sanders,,Tax breaks Republicans want to provide by repealing the estate tax:  –$88 billion to the Walton family  –$71 billion to the Jeff Bezos family  –$65 billion to the Elon Musk family  –$50 billion to the Bill Gates family  –$40 billion to the Mark Zuckerberg family  –$0 to the 99.9%,en,[],[],[],1588,9578,37921,[],[],https://twitter.com/BernieSanders/status/1393733361643008000,False,,0,,,,,,,,[],,,,
1393650800027652097,1393650800027652097,2021-05-15 15:33:38 Eastern Daylight Time,2021-05-15,15:33:38,-0400,216776631,berniesanders,Bernie Sanders,,"Healthcare is a human right, not a job benefit.  A major step forward toward Medicare for All is to negotiate prescription drug prices, and use the $500 billion in savings to expand Medicare to cover dental, hearing and vision - and lower the eligibility age to 55.",en,[],[],[],487,2264,15128,[],[],https://twitter.com/BernieSanders/status/1393650800027652097,False,,0,,,,,,,,[],,,,
1393620051673165829,1393620051673165829,2021-05-15 13:31:27 Eastern Daylight Time,2021-05-15,13:31:27,-0400,216776631,berniesanders,Bernie Sanders,,"The Republicans know they can't win fair elections. That's why, in dozens of states, they're suppressing the vote, making it easier for ""dark money"" to buy elections and creating outrageous gerrymandered districts. We must pass the For The People Act to save American democracy.",en,[],[],[],857,3052,16148,[],[],https://twitter.com/BernieSanders/status/1393620051673165829,False,,0,,,,,,,,[],,,,
1393217537387728899,1393217537387728899,2021-05-14 10:52:00 Eastern Daylight Time,2021-05-14,10:52:00,-0400,216776631,berniesanders,Bernie Sanders,,"Do you know of anyone who can live on $7.25 an hour? No, you don't, because it is a starvation wage. We've got to end that absurdity and finally raise the federal minimum wage to at least $15 an hour.",en,[],[],[],2046,7385,64734,[],[],https://twitter.com/BernieSanders/status/1393217537387728899,False,,0,,,,,,,,[],,,,
1392967517912567811,1392967517912567811,2021-05-13 18:18:31 Eastern Daylight Time,2021-05-13,18:18:31,-0400,216776631,berniesanders,Bernie Sanders,,"Unfettered capitalism is Jeff Bezos buying a $500 million, 416-foot super yacht with a helipad after working overtime to deny workers at Amazon the right to negotiate for better wages, benefits and working conditions by forming a union. That is corporate greed at its ugliest.",en,[],[],[],1032,6423,35375,[],[],https://twitter.com/BernieSanders/status/1392967517912567811,False,,0,,,,,,,,[],,,,
1392912527252606976,1392912527252606976,2021-05-13 14:40:00 Eastern Daylight Time,2021-05-13,14:40:00,-0400,216776631,berniesanders,Bernie Sanders,,Eid Mubarak to all our Muslim neighbors across the country and all over the world.,en,[],[],[],892,5389,61062,[],[],https://twitter.com/BernieSanders/status/1392912527252606976,False,,0,,,,,,,,[],,,,
1392870752093827074,1392870752093827074,2021-05-13 11:54:00 Eastern Daylight Time,2021-05-13,11:54:00,-0400,216776631,berniesanders,Bernie Sanders,,How are we going to pay to rebuild our nation's crumbling infrastructure? Republicans want to raise taxes on working families. I happen to think it's time we made sure enormous corporations and the wealthiest Americans paid their fair share of taxes.  https://t.co/cOg3OIGdFb,en,[],[],[],192,493,2636,[],[],https://twitter.com/BernieSanders/status/1392870752093827074,False,,1,https://pbs.twimg.com/media/E1R2EtyX0AoQi9P.jpg,,,,,,,[],,,,
