id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1398684865680359428,1398684862563995649,2021-05-29 12:57:12 Eastern Daylight Time,2021-05-29,12:57:12,-0400,2314087860,cpho_canada,Dr. Theresa Tam,,"4/4 As soon as you’re able, plan to get fully vaccinated! The more people who are fully vaccinated helps build optimal protection across our communities, which can support safe easing of restrictions and individual precautions.  https://t.co/fWWqijz2gY",en,[],['https://www.canada.ca/en/public-health/services/diseases/coronavirus-disease-covid-19/vaccines/how-vaccinated.html'],[],16,12,74,[],[],https://twitter.com/CPHO_Canada/status/1398684865680359428,False,,0,,,,,,,,[],,,,
1398684864644358148,1398684862563995649,2021-05-29 12:57:12 Eastern Daylight Time,2021-05-29,12:57:12,-0400,2314087860,cpho_canada,Dr. Theresa Tam,,"3/4 When a 2-dose series is recommended, the 1st “immune priming” dose of #COVID19Vaccines provides good protection, but a 2nd “immunity boosting” dose is needed to get your best shot at achieving strong protection against #COVID19.",en,[],[],[],5,6,63,"['covid19vaccines', 'covid19']",[],https://twitter.com/CPHO_Canada/status/1398684864644358148,False,,0,,,,,,,,[],,,,
1398684863654469641,1398684862563995649,2021-05-29 12:57:12 Eastern Daylight Time,2021-05-29,12:57:12,-0400,2314087860,cpho_canada,Dr. Theresa Tam,,"2/4 1st dose #COVID19Vaccines coverage is now &gt;85% for adults aged 60+. As well, &gt;90% of adults aged 80 or older have received at least one dose. This incredible accomplishment speaks to the high levels of vaccine confidence among Canadians.  https://t.co/8Uw8R9t5Sz",en,[],['https://health-infobase.canada.ca/covid-19/vaccination-coverage/'],[],1,3,32,['covid19vaccines'],[],https://twitter.com/CPHO_Canada/status/1398684863654469641,False,,0,,,,,,,,[],,,,
1398684862563995649,1398684862563995649,2021-05-29 12:57:12 Eastern Daylight Time,2021-05-29,12:57:12,-0400,2314087860,cpho_canada,Dr. Theresa Tam,,"1/4 #COVID19 key concerns in Canada: With over 22 million #COVID19Vaccine doses given to date and Canadians continuing to roll up sleeves as vaccination clinics expand across the country, vaccination coverage is increasing rapidly!   https://t.co/Fh7jNzDT1a",en,[],['https://www.canada.ca/en/public-health/news/2021/05/statement-from-the-chief-public-health-officer-of-canada-on-may292021.html'],[],13,19,81,"['covid19', 'covid19vaccine']",[],https://twitter.com/CPHO_Canada/status/1398684862563995649,False,,0,,,,,,,,[],,,,
1398625479146491905,1398625479146491905,2021-05-29 09:01:14 Eastern Daylight Time,2021-05-29,09:01:14,-0400,2314087860,cpho_canada,Dr. Theresa Tam,,Today’s #COVID19 in Canada info and updates:  ➡️#GOC website on #coronavirus disease:  https://t.co/IZt05ChWwV ➡️Canada COVID-19 Daily Epidemiology Update:  https://t.co/oNd61txl1o,en,[],"['http://ow.ly/phv950BI9D0', 'http://ow.ly/D8Uk50BI9D1']",[],8,7,25,"['covid19', 'goc', 'coronavirus']",[],https://twitter.com/CPHO_Canada/status/1398625479146491905,False,,0,,,,,,,,[],,,,
1398406242834472964,1398406242834472964,2021-05-28 18:30:04 Eastern Daylight Time,2021-05-28,18:30:04,-0400,2314087860,cpho_canada,Dr. Theresa Tam,,"NEW – For the latest detailed #epidemiology of #COVID19 in Canada with highlights, trends and analysis see #PHAC’s COVID-19 WEEKLY EPIDEMIOLOGY REPORT for May 16-22, 2021.  https://t.co/QvmftTIbhR  https://t.co/dTmtggTGNl",en,[],['https://www.canada.ca/content/dam/phac-aspc/documents/services/diseases/2019-novel-coronavirus-infection/surv-covid19-weekly-epi-update-20210528-eng.pdf'],['https://pbs.twimg.com/media/E2gjEUZXwAIPOA5.jpg'],11,9,33,"['epidemiology', 'covid19', 'phac']",[],https://twitter.com/CPHO_Canada/status/1398406242834472964,False,,1,https://pbs.twimg.com/media/E2gjEUZXwAIPOA5.jpg,,,,,,,[],,,,
1398372267629895681,1398372267629895681,2021-05-28 16:15:03 Eastern Daylight Time,2021-05-28,16:15:03,-0400,2314087860,cpho_canada,Dr. Theresa Tam,,"To date, more than 22 million doses of COVID-19 vaccines have been given in Canada and &gt; 2.3 million people in Canada have received a dose in the past week.  https://t.co/RwMV9joiuV #COVID19vaccines  https://t.co/MikRlMF8OF",en,[],['https://health-infobase.canada.ca/covid-19/vaccine-administration/'],['https://pbs.twimg.com/media/E2gEKsWWYAIXqlp.jpg'],25,19,88,['covid19vaccines'],[],https://twitter.com/CPHO_Canada/status/1398372267629895681,False,,1,https://pbs.twimg.com/media/E2gEKsWWYAIXqlp.jpg,,,,,,,[],,,,
1398364718411268099,1398364718411268099,2021-05-28 15:45:03 Eastern Daylight Time,2021-05-28,15:45:03,-0400,2314087860,cpho_canada,Dr. Theresa Tam,,"As of May 22, almost 62%  of adults in Canada age 18 or older, and more than 91% aged 70 or older have received at least one dose of #COVID19vaccines.  https://t.co/8Uw8R9t5Sz  https://t.co/lwGRfpFEIc",en,[],['https://health-infobase.canada.ca/covid-19/vaccination-coverage/'],['https://pbs.twimg.com/media/E2f9TRaWYAIAPXX.jpg'],33,44,222,['covid19vaccines'],[],https://twitter.com/CPHO_Canada/status/1398364718411268099,False,,1,https://pbs.twimg.com/media/E2f9TRaWYAIAPXX.jpg,,,,,,,[],,,,
1398356541003243520,1398356538348216323,2021-05-28 15:12:34 Eastern Daylight Time,2021-05-28,15:12:34,-0400,2314087860,cpho_canada,Dr. Theresa Tam,,"3/3 Working together, we can get back to more interactions and activities outdoors this summer, and get things right for a safer fall so we can get back to even more in-person connections, including spending time together indoors.",en,[],[],[],21,13,76,[],[],https://twitter.com/CPHO_Canada/status/1398356541003243520,False,,0,,,,,,,,[],,,,
1398356539757543428,1398356538348216323,2021-05-28 15:12:33 Eastern Daylight Time,2021-05-28,15:12:33,-0400,2314087860,cpho_canada,Dr. Theresa Tam,,"2/3 But half way is not okay! The more people that get fully vaccinated, the safer it will be to ease restrictive measures, followed by cautious easing of individual precautions, when/where conditions are in place (↓disease ↑Vax; local context 👍).",en,[],[],[],34,21,103,[],[],https://twitter.com/CPHO_Canada/status/1398356539757543428,False,,0,,,,,,,,[],,,,
