id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1398309957800448004,1398309957800448004,2021-05-28 12:07:27 Eastern Daylight Time,2021-05-28,12:07:27,-0400,409486555,michelleobama,Michelle Obama,,"William “Buddy” Carter is retiring after 47 years as a butler at the White House and the Blair House. Barack and I are so grateful to have had his warmth, charm, and dignity by our side for eight of those years. Congratulations, Buddy!  https://t.co/MZPox5F1a1",en,[],[],['https://pbs.twimg.com/media/E2fLfrLWUAMaCNc.jpg'],468,2132,42640,[],[],https://twitter.com/MichelleObama/status/1398309957800448004,False,,1,https://pbs.twimg.com/media/E2fLfrLWUAMaCNc.jpg,,,,,,,[],,,,
1397887087706267648,1397887087706267648,2021-05-27 08:07:07 Eastern Daylight Time,2021-05-27,08:07:07,-0400,409486555,michelleobama,Michelle Obama,,"His work has been read (and re-read, and re-read) tens of millions of times over the years, one generation’s gift to the next. Thank you @EricCarle for filling our lives with so much wonder and joy. 💕🐛",en,"[{'screen_name': 'ericcarle', 'name': 'eric carle', 'id': '38017759'}]",[],[],166,1236,13783,[],[],https://twitter.com/MichelleObama/status/1397887087706267648,False,https://twitter.com/ericcarle/status/1397686293954506759,0,,,,,,,,[],,,,
1397213694514315272,1397213691578306571,2021-05-25 11:31:18 Eastern Daylight Time,2021-05-25,11:31:18,-0400,409486555,michelleobama,Michelle Obama,,"I’m sending all my love to Gianna and to the rest of the Floyd family today. Her dad did change the world, and now it’s up to the rest of us to continue changing it for the better. 💕",en,[],[],[],206,895,8293,[],[],https://twitter.com/MichelleObama/status/1397213694514315272,False,,0,,,,,,,,[],,,,
1397213693583183878,1397213691578306571,2021-05-25 11:31:18 Eastern Daylight Time,2021-05-25,11:31:18,-0400,409486555,michelleobama,Michelle Obama,,"All of us have a role to play to hold our leaders accountable and speak out about injustice. Let’s make sure that “Daddy changed the world” isn’t a fleeting moment online, but a lasting change across the country.",en,[],[],[],108,558,6418,[],[],https://twitter.com/MichelleObama/status/1397213693583183878,False,,0,,,,,,,,[],,,,
1397213691578306571,1397213691578306571,2021-05-25 11:31:17 Eastern Daylight Time,2021-05-25,11:31:17,-0400,409486555,michelleobama,Michelle Obama,,"It’s been a year since those horrifying 8 minutes and 46 seconds stole George Floyd’s life. Today, I am thinking of this clip of his daughter Gianna, and all the young people out there who have seen so much, but refuse to give up hope.  https://t.co/VclaQksyso",en,[],[],[],598,5147,31078,[],[],https://twitter.com/MichelleObama/status/1397213691578306571,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1397213678588596240/pu/img/bzSiK-klouJPWwKV.jpg,,,,,,,[],,,,
1396922791480467464,1396922786925457421,2021-05-24 16:15:21 Eastern Daylight Time,2021-05-24,16:15:21,-0400,409486555,michelleobama,Michelle Obama,,"You can join the fun, too! And for every badge you earn at the link below, @Walmart will donate to our Pass the Love campaign!  https://t.co/OKJFZS8ftO",en,"[{'screen_name': 'walmart', 'name': 'walmart', 'id': '17137891'}]",['http://www.Walmart.com/WafflesAndMochi'],[],57,122,1036,[],[],https://twitter.com/MichelleObama/status/1396922791480467464,False,,0,,,,,,,,[],,,,
1396922786925457421,1396922786925457421,2021-05-24 16:15:20 Eastern Daylight Time,2021-05-24,16:15:20,-0400,409486555,michelleobama,Michelle Obama,,"One of my favorite things about Waffles + Mochi is that when families watch the show together, they’ll not only laugh and explore together, but they’ll also learn about all sorts of new recipes and meals.",en,[],[],[],93,307,2568,[],[],https://twitter.com/MichelleObama/status/1396922786925457421,False,https://twitter.com/PHAnews/status/1396903945566576643,0,,,,,,,,[],,,,
1396566873043574786,1396566873043574786,2021-05-23 16:41:04 Eastern Daylight Time,2021-05-23,16:41:04,-0400,409486555,michelleobama,Michelle Obama,,"Always amazed by you, @Simone_Biles! Keep shining — we’re rooting for you! 😍✨    https://t.co/Z5bbYIu95a",en,"[{'screen_name': 'simone_biles', 'name': 'simone biles', 'id': '173677727'}]",[],[],516,4443,54643,[],[],https://twitter.com/MichelleObama/status/1396566873043574786,False,,1,https://pbs.twimg.com/media/E2CA9VvXIAM7XfX.jpg,,,,,,,[],,,,
1392572631904395267,1392572631904395267,2021-05-12 16:09:22 Eastern Daylight Time,2021-05-12,16:09:22,-0400,409486555,michelleobama,Michelle Obama,,This was fun! Had some laughs with @StephenAtHome and even raised $9k for our Pass the Love campaign with @PHAnews. I hope you'll support our Pass the Love campaign by donating at  https://t.co/s0WCBvE8HK.    https://t.co/CZfq0tkUXq,en,"[{'screen_name': 'stephenathome', 'name': 'stephen colbert', 'id': '16303106'}, {'screen_name': 'phanews', 'name': 'partnership for a healthier america', 'id': '304003172'}]",['http://WafflesAndMochi.org'],[],658,557,3955,[],[],https://twitter.com/MichelleObama/status/1392572631904395267,False,,1,https://pbs.twimg.com/media/E1JpmLMXsAEMhdi.jpg,,,,,,,[],,,,
1392518816723316737,1392518768505544704,2021-05-12 12:35:32 Eastern Daylight Time,2021-05-12,12:35:32,-0400,409486555,michelleobama,Michelle Obama,,"We have a long way to go to address food equity in America, but I am glad to see the private sector’s commitment to our Pass the Love campaign. I hope you'll join us, too. Register and tune-in today at 1pm ET to hear more at @PHAnews's Virtual Summit:  https://t.co/QYyp99Q5UC",en,"[{'screen_name': 'phanews', 'name': 'partnership for a healthier america', 'id': '304003172'}]",['http://www.ahealthieramerica.org'],[],111,151,1198,[],[],https://twitter.com/MichelleObama/status/1392518816723316737,False,,0,,,,,,,,[],,,,
