id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1397574833576230919,1397574833576230919,2021-05-26 11:26:20 Eastern Daylight Time,2021-05-26,11:26:20,-0400,104237736,bloomberg,Bloomberg LP,,Asset managers may see demand for climate-change funds accelerate as the EU sustainable-activity catalog (the taxonomy) unfolds.  https://t.co/LRpeFaJNHu,en,[],['https://bloom.bg/3yyIfNI'],[],0,0,4,[],[],https://twitter.com/Bloomberg/status/1397574833576230919,False,,0,,,,,,,,[],,,,
1396856589689229323,1396856589689229323,2021-05-24 11:52:17 Eastern Daylight Time,2021-05-24,11:52:17,-0400,104237736,bloomberg,Bloomberg LP,,"Diversity and inclusion. More than two words, they are the principles that guide who we are &amp; how we work. But diversity doesn’t guarantee inclusion; it takes action. It's up to each of us to to build a more inclusive workplace together. #InclusionInAction #AAPIHM",en,[],[],[],3,2,3,"['inclusioninaction', 'aapihm']",[],https://twitter.com/Bloomberg/status/1396856589689229323,False,,0,,,,,,,,[],,,,
1395430461292392460,1395430461292392460,2021-05-20 13:25:22 Eastern Daylight Time,2021-05-20,13:25:22,-0400,104237736,bloomberg,Bloomberg LP,,"It is critical to support the transition to a more sustainable global economy. That's why we take an active role in developing best practices for #ESG data reporting &amp; efficient sustainability reporting processes, notably through @wef's FCLT initiative.",en,"[{'screen_name': 'wef', 'name': 'world economic forum', 'id': '5120691'}]",[],[],2,4,15,['esg'],[],https://twitter.com/Bloomberg/status/1395430461292392460,False,,0,,,,,,,,[],,,,
1395033708739104768,1395033708739104768,2021-05-19 11:08:49 Eastern Daylight Time,2021-05-19,11:08:49,-0400,104237736,bloomberg,Bloomberg LP,,"It's critical that the next generation of STEM leaders are more diverse. That’s why we devote our profits to @BloombergDotOrg, which is helping create pathways for more HBCU &amp; MSI students to pursue PhDs in STEM fields. Learn about our #InclusionInAction:  https://t.co/4UkHtlvaEa",en,"[{'screen_name': 'bloombergdotorg', 'name': 'bloomberg philanthropies', 'id': '370808273'}]",['https://bloom.bg/3bzEuNm'],[],0,0,1,['inclusioninaction'],[],https://twitter.com/Bloomberg/status/1395033708739104768,False,https://twitter.com/BloombergDotOrg/status/1392179862283034624,0,,,,,,,,[],,,,
1394658192865603587,1394658192865603587,2021-05-18 10:16:39 Eastern Daylight Time,2021-05-18,10:16:39,-0400,104237736,bloomberg,Bloomberg LP,,240+ young people from conflict-affected regions of the Middle East have gained career advice and technical training through our partnership with @recodedofficial.   Learn more the work we're doing together to develop future leaders. #ImpactInAction,en,"[{'screen_name': 'recodedofficial', 'name': 're:coded', 'id': '3014752469'}]",[],[],0,2,4,['impactinaction'],[],https://twitter.com/Bloomberg/status/1394658192865603587,False,,0,,,,,,,,[],,,,
1394291474116882434,1394291474116882434,2021-05-17 09:59:26 Eastern Daylight Time,2021-05-17,09:59:26,-0400,104237736,bloomberg,Bloomberg LP,,"Participants will learn to demonstrate that the story of the economy, business and markets is best achieved when the focus is on the greatest diversity of participants. #InclusionInAction",en,[],[],[],0,1,5,['inclusioninaction'],[],https://twitter.com/Bloomberg/status/1394291474116882434,False,,0,,,,,,,,[],,,,
1392118676300632072,1392118676300632072,2021-05-11 10:05:31 Eastern Daylight Time,2021-05-11,10:05:31,-0400,104237736,bloomberg,Bloomberg LP,,"Enforcing #ESG guidelines on ETFs has been a challenge for Europe, long the global leader. But that’s changed as US-focused ESG assets under management surged to $71.86 billion over the last two years vs. the rise to $19.65 billion for Europe.   https://t.co/hr5QmG98y6",en,[],['https://bloom.bg/3ez6OlM'],[],1,3,7,['esg'],[],https://twitter.com/Bloomberg/status/1392118676300632072,False,,0,,,,,,,,[],,,,
1390287524782874628,1390287524782874628,2021-05-06 08:49:10 Eastern Daylight Time,2021-05-06,08:49:10,-0400,104237736,bloomberg,Bloomberg LP,,The industry is facing pressure to pare back lending to oil companies. The sector is ‘critical’ to achieving net-zero carbon future.  https://t.co/u1vFGY9dc4,en,[],['https://bloom.bg/3ek4wGZ'],[],0,0,5,[],[],https://twitter.com/Bloomberg/status/1390287524782874628,False,,0,,,,,,,,[],,,,
1389565846780104706,1389565846780104706,2021-05-04 09:01:29 Eastern Daylight Time,2021-05-04,09:01:29,-0400,104237736,bloomberg,Bloomberg LP,,Angle the deflector shields and stay sharp. @TheTerminal is ready to go! #MayThe4th be with you. #StarWarsDay  https://t.co/TewwF0bjI1,en,"[{'screen_name': 'theterminal', 'name': 'bloomberg terminal', 'id': '3236381990'}]",[],[],1,6,13,"['maythe4th', 'starwarsday']",[],https://twitter.com/Bloomberg/status/1389565846780104706,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1389565792052817921/pu/img/kyqaj_EZWHEcsJ1R.jpg,,,,,,,[],,,,
1387380565272371204,1387380565272371204,2021-04-28 08:17:57 Eastern Daylight Time,2021-04-28,08:17:57,-0400,104237736,bloomberg,Bloomberg LP,,"When it comes to #climateaction, the year ahead can set the stage for a decade of transformational change—but only if we act boldly and urgently. Here's how we're helping lead the way. #ImpactInAction",en,[],[],[],6,39,63,"['climateaction', 'impactinaction']",[],https://twitter.com/Bloomberg/status/1387380565272371204,False,,0,,,,,,,,[],,,,
1385218520074670086,1385218520074670086,2021-04-22 09:06:45 Eastern Daylight Time,2021-04-22,09:06:45,-0400,104237736,bloomberg,Bloomberg LP,,Every action we take to fight climate change starts with you: our employees and our clients. #ImpactInAction #EarthDay    Learn more:  https://t.co/PY7MDR7Lrr  https://t.co/3HTDMcp6GP,en,[],['https://bloom.bg/2PbytiK'],[],0,8,14,"['impactinaction', 'earthday']",[],https://twitter.com/Bloomberg/status/1385218520074670086,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1385218450545684489/pu/img/BPItWs5DKARR1WAZ.jpg,,,,,,,[],,,,
1384858587319701505,1384858587319701505,2021-04-21 09:16:31 Eastern Daylight Time,2021-04-21,09:16:31,-0400,104237736,bloomberg,Bloomberg LP,,"In 2020, corporations committed to net-zero targets at a rapid rate. Almost 40% of the 400 biggest companies have now set an emissions goal and the trend is expected to continue into 2021 and beyond.  https://t.co/1G6fMfTjxy",en,[],['https://bloom.bg/3xb1oEJ'],[],0,2,8,[],[],https://twitter.com/Bloomberg/status/1384858587319701505,False,,0,,,,,,,,[],,,,
1383091242565787651,1383091242565787651,2021-04-16 12:13:43 Eastern Daylight Time,2021-04-16,12:13:43,-0400,104237736,bloomberg,Bloomberg LP,,"From vaccine development to working from home, industries have been tested like never before. Hear from four remarkable women that have been at the forefront in this conversation co-hosted by #BloombergNewVoices and the @smithsonian #BecauseOfHerStory.  https://t.co/Y2rHIhJglt",en,"[{'screen_name': 'smithsonian', 'name': 'smithsonian', 'id': '14199378'}]",['https://bloom.bg/3gnVcmK'],[],3,4,4,"['bloombergnewvoices', 'becauseofherstory']",[],https://twitter.com/Bloomberg/status/1383091242565787651,False,,0,,,,,,,,[],,,,
1382665261938049032,1382665261938049032,2021-04-15 08:01:01 Eastern Daylight Time,2021-04-15,08:01:01,-0400,104237736,bloomberg,Bloomberg LP,,Grant making and charitable contributions to donor-advised funds are rapidly accelerating. This reflects donors’ desires to create solutions to problems in their local and global communities.  https://t.co/ntgP0lQSQM,en,[],['https://bloom.bg/3e333n3'],[],0,2,2,[],[],https://twitter.com/Bloomberg/status/1382665261938049032,False,,0,,,,,,,,[],,,,
1381940265888403460,1381940265888403460,2021-04-13 08:00:09 Eastern Daylight Time,2021-04-13,08:00:09,-0400,104237736,bloomberg,Bloomberg LP,,Covid-19 has undoubtedly accelerated the adoption of #ESG in Asia; but will the changes of the last year accelerate the adoption of higher sustainability standards in Malaysia and the rest of ASEAN?  https://t.co/sWn4GLJHYR,en,[],['https://bloom.bg/3scxNHl'],[],1,3,7,['esg'],[],https://twitter.com/Bloomberg/status/1381940265888403460,False,,0,,,,,,,,[],,,,
1381652163043205120,1381652163043205120,2021-04-12 12:55:20 Eastern Daylight Time,2021-04-12,12:55:20,-0400,104237736,bloomberg,Bloomberg LP,,"This analysis shows that assets managers in the U.K. likely need to accelerate diversity efforts, with slow progress made so far.   https://t.co/4mqFxHgWbr",en,[],['https://bloom.bg/3g2D8yD'],[],1,5,5,[],[],https://twitter.com/Bloomberg/status/1381652163043205120,False,,0,,,,,,,,[],,,,
1380150863268868097,1380150863268868097,2021-04-08 09:29:42 Eastern Daylight Time,2021-04-08,09:29:42,-0400,104237736,bloomberg,Bloomberg LP,,This new report from #CFLI highlights the opportunity for policymakers to accelerate private climate finance ahead of #COP26.   https://t.co/79M8D6s0lZ,en,[],['https://bloom.bg/3sX0JUW'],[],5,2,9,"['cfli', 'cop26']",[],https://twitter.com/Bloomberg/status/1380150863268868097,False,,0,,,,,,,,[],,,,
1379859084170657797,1379859084170657797,2021-04-07 14:10:16 Eastern Daylight Time,2021-04-07,14:10:16,-0400,104237736,bloomberg,Bloomberg LP,,"Diversity and inclusion. More than two words, they are the principles that guide who we are &amp; how we work. But diversity doesn’t guarantee inclusion; it takes action. It's up to each of us to to build a more inclusive workplace together. #InclusionInAction",en,[],[],[],1,9,9,['inclusioninaction'],[],https://twitter.com/Bloomberg/status/1379859084170657797,False,,0,,,,,,,,[],,,,
1379074202083467270,1379074202083467270,2021-04-05 10:11:26 Eastern Daylight Time,2021-04-05,10:11:26,-0400,104237736,bloomberg,Bloomberg LP,,"The early stages of a new green-digital supercycle are upon us, but unlike the prior outcome in China, this analysis suggests it will pay to be selective. There’s unlikely to be a broad-based demand-driven uplift across all commodity classes.   https://t.co/4Fj5U4oIyM",en,[],['https://bloom.bg/2PtbekA'],[],1,2,5,[],[],https://twitter.com/Bloomberg/status/1379074202083467270,False,,0,,,,,,,,[],,,,
1377269770983194629,1377269770983194629,2021-03-31 10:41:16 Eastern Daylight Time,2021-03-31,10:41:16,-0400,104237736,bloomberg,Bloomberg LP,,"#BloombergNewVoices launched for the first time in Johannesburg, South Africa with a keynote by @SAReserveBank Deputy Governor Fundi Tshazibana and a discussion about the challenges for female representation.  https://t.co/D7T9TIbEmd",en,"[{'screen_name': 'sareservebank', 'name': 'sa reserve bank', 'id': '365956087'}]",['https://bloom.bg/3dqo6j6'],[],0,4,4,['bloombergnewvoices'],[],https://twitter.com/Bloomberg/status/1377269770983194629,False,,0,,,,,,,,[],,,,
1374786454040248330,1374786454040248330,2021-03-24 14:13:27 Eastern Daylight Time,2021-03-24,14:13:27,-0400,104237736,bloomberg,Bloomberg LP,,"The Climate Transition Scores are a new offering that give insight into a company’s climate preparedness. Available to all @TheTerminal users, the scores illustrate the challenges companies face in positioning themselves for a net-zero world. #ImpactInAction",en,"[{'screen_name': 'theterminal', 'name': 'bloomberg terminal', 'id': '3236381990'}]",[],[],2,1,4,['impactinaction'],[],https://twitter.com/Bloomberg/status/1374786454040248330,False,https://twitter.com/TheTerminal/status/1374718564276563970,0,,,,,,,,[],,,,
1373986823425429505,1373986823425429505,2021-03-22 09:16:00 Eastern Daylight Time,2021-03-22,09:16:00,-0400,104237736,bloomberg,Bloomberg LP,,How do investors find companies with diverse boards — and which hedge funds invest in them? @TheTerminal has the functionality to make the search easier. #InclusionInAction #WomensHistoryMonth  https://t.co/HszkVk0sEb,en,"[{'screen_name': 'theterminal', 'name': 'bloomberg terminal', 'id': '3236381990'}]",['https://bloom.bg/3f2MVEh'],[],1,3,8,"['inclusioninaction', 'womenshistorymonth']",[],https://twitter.com/Bloomberg/status/1373986823425429505,False,,0,,,,,,,,[],,,,
1372599438372450304,1372599438372450304,2021-03-18 13:23:02 Eastern Daylight Time,2021-03-18,13:23:02,-0400,104237736,bloomberg,Bloomberg LP,,"Green hydrogen has a great potential for decarbonizing domestic heating. But is it economical enough to help homebuilders comply with the U.K.'s new, stricter energy-efficiency standards from 2025?  https://t.co/LzNmz2MTHA",en,[],['https://bloom.bg/3lBsYpu'],[],1,4,5,[],[],https://twitter.com/Bloomberg/status/1372599438372450304,False,,0,,,,,,,,[],,,,
1372203527943155712,1372203527943155712,2021-03-17 11:09:50 Eastern Daylight Time,2021-03-17,11:09:50,-0400,104237736,bloomberg,Bloomberg LP,,"As a member of the @HRC's Business Coalition for the Equality Act, we stand with other leading US employers in support of legislation to provide full civil rights protections to #LGBTQ people. #EqualityAct",en,"[{'screen_name': 'hrc', 'name': 'human rights campaign', 'id': '19608297'}]",[],[],5,2,6,"['lgbtq', 'equalityact']",[],https://twitter.com/Bloomberg/status/1372203527943155712,False,https://twitter.com/HRC/status/1372178451889803268,0,,,,,,,,[],,,,
1370107102459535361,1370107102459535361,2021-03-11 15:19:23 Eastern Standard Time,2021-03-11,15:19:23,-0400,104237736,bloomberg,Bloomberg LP,,"Diversity and inclusion. More than two words, they are the principles that guide who we are &amp; how we work. But diversity doesn’t guarantee inclusion; it takes action. It's up to each of us to to build a more inclusive workplace together.  #InclusionInAction #WomensHistoryMonth",en,[],[],[],1,4,6,"['inclusioninaction', 'womenshistorymonth']",[],https://twitter.com/Bloomberg/status/1370107102459535361,False,,0,,,,,,,,[],,,,
1369388404786552838,1369388404786552838,2021-03-09 15:43:32 Eastern Standard Time,2021-03-09,15:43:32,-0400,104237736,bloomberg,Bloomberg LP,,This is our latest initiative to make the world of finance more accessible to women and other under-represented groups. #ImpactInAction  https://t.co/7fQhV3lowu,en,[],['https://bloom.bg/3kZ9BWS'],[],1,3,5,['impactinaction'],[],https://twitter.com/Bloomberg/status/1369388404786552838,False,,0,,,,,,,,[],,,,
1368987872490053633,1368987872490053633,2021-03-08 13:11:58 Eastern Standard Time,2021-03-08,13:11:58,-0400,104237736,bloomberg,Bloomberg LP,,"Gender equality isn’t just about fairness - it’s also about strength. By fully valuing the knowledge, experience, insight, and ideas that women bring to the table, we’re not just building a more equal business. We’re building a more successful one.  #IWD2021 #InclusionInAction",en,[],[],[],3,24,72,"['iwd2021', 'inclusioninaction']",[],https://twitter.com/Bloomberg/status/1368987872490053633,False,,0,,,,,,,,[],,,,
1367886600600977415,1367886600600977415,2021-03-05 12:15:54 Eastern Standard Time,2021-03-05,12:15:54,-0400,104237736,bloomberg,Bloomberg LP,,"Diversity and inclusion: more than two words, they are the principles that guide who we are and how we work. That's why we're so honored to be designated a “Best Place to Work for LGBTQ Equality” by @HRC for the fifth consecutive year. #CEI2021 #InclusionInAction",en,"[{'screen_name': 'hrc', 'name': 'human rights campaign', 'id': '19608297'}]",[],[],3,5,12,"['cei2021', 'inclusioninaction']",[],https://twitter.com/Bloomberg/status/1367886600600977415,False,,0,,,,,,,,[],,,,
1367549506791878659,1367549506791878659,2021-03-04 13:56:24 Eastern Standard Time,2021-03-04,13:56:24,-0400,104237736,bloomberg,Bloomberg LP,,The next five years will be a boom time for #renewable generation in the U.S.  https://t.co/c6prMqAtlm,en,[],['https://bloom.bg/38aFt5A'],[],9,7,11,['renewable'],[],https://twitter.com/Bloomberg/status/1367549506791878659,False,,0,,,,,,,,[],,,,
1367113824969621504,1367113824969621504,2021-03-03 09:05:10 Eastern Standard Time,2021-03-03,09:05:10,-0400,104237736,bloomberg,Bloomberg LP,,"Many companies search for a purpose -- we were born with one. By dedicating our profits to @BloombergDotOrg, we're helping save and improve lives across the globe. So whether you work for or with us, know that together our work is changing the world. #ImpactInAction",en,"[{'screen_name': 'bloombergdotorg', 'name': 'bloomberg philanthropies', 'id': '370808273'}]",[],[],1,6,9,['impactinaction'],[],https://twitter.com/Bloomberg/status/1367113824969621504,False,,0,,,,,,,,[],,,,
1366770302471073801,1366770302471073801,2021-03-02 10:20:08 Eastern Standard Time,2021-03-02,10:20:08,-0400,104237736,bloomberg,Bloomberg LP,,"Despite the pandemic, sustainable debt hit another record in 2020, with $732 billion issued. #ESG  https://t.co/K7e22jxAaS",en,[],['https://bloom.bg/3rg0tQg'],[],0,4,6,['esg'],[],https://twitter.com/Bloomberg/status/1366770302471073801,False,,0,,,,,,,,[],,,,
1366453774705975298,1366453774705975298,2021-03-01 13:22:22 Eastern Standard Time,2021-03-01,13:22:22,-0400,104237736,bloomberg,Bloomberg LP,,"To create a more inclusive world, we believe you must level the playing field - and that includes within medicine. That’s why we dedicate a vast majority of our profits to @BloombergDotOrg, which is working to increase the number of Black doctors in the US. #ImpactInAction",en,"[{'screen_name': 'bloombergdotorg', 'name': 'bloomberg philanthropies', 'id': '370808273'}]",[],[],1,3,4,['impactinaction'],[],https://twitter.com/Bloomberg/status/1366453774705975298,False,,0,,,,,,,,[],,,,
1364954593424273419,1364954593424273419,2021-02-25 10:05:09 Eastern Standard Time,2021-02-25,10:05:09,-0400,104237736,bloomberg,Bloomberg LP,,The award noted our contribution to solving challenges in #ESG investing – one of which is the lack of standardized data available to investors – and improving market transparency.,en,[],[],[],0,4,9,['esg'],[],https://twitter.com/Bloomberg/status/1364954593424273419,False,,0,,,,,,,,[],,,,
1364259677442363398,1364259677442363398,2021-02-23 12:03:48 Eastern Standard Time,2021-02-23,12:03:48,-0400,104237736,bloomberg,Bloomberg LP,,This represents more than a third of the $140.5 trillion in projected total assets under management. #ESG  https://t.co/fvARcebSx9,en,[],['https://bloom.bg/3aN2X2M'],[],1,8,22,['esg'],[],https://twitter.com/Bloomberg/status/1364259677442363398,False,,0,,,,,,,,[],,,,
1362401541999755270,1362401541999755270,2021-02-18 09:00:14 Eastern Standard Time,2021-02-18,09:00:14,-0400,104237736,bloomberg,Bloomberg LP,,Financial analysts are turning to geospatial datasets to better understand how snow events might affect stock prices and financial risks. Here's how @TheTerminal data can show the connection between weather patterns and retail trends.  https://t.co/6dBrHPM7W4,en,"[{'screen_name': 'theterminal', 'name': 'bloomberg terminal', 'id': '3236381990'}]",['https://bloom.bg/2NEs0vu'],[],4,4,8,[],[],https://twitter.com/Bloomberg/status/1362401541999755270,False,,0,,,,,,,,[],,,,
1362034788077621253,1362034788077621253,2021-02-17 08:42:53 Eastern Standard Time,2021-02-17,08:42:53,-0400,104237736,bloomberg,Bloomberg LP,,"The learning and engagement program helps mentors cultivate an understanding of systemic inequities, while mobilizing lifelong advocates of educational equity and social justice. #ImpactInAction",en,[],[],[],1,3,4,['impactinaction'],[],https://twitter.com/Bloomberg/status/1362034788077621253,False,,0,,,,,,,,[],,,,
1361678887000956929,1361678887000956929,2021-02-16 09:08:40 Eastern Standard Time,2021-02-16,09:08:40,-0400,104237736,bloomberg,Bloomberg LP,,"Green and sustainable investing will be the biggest investment trend of 2021, according to a Bloomberg survey of university students across Asia and EMEA. #ESG  https://t.co/mNI3xP1075",en,[],['https://bloom.bg/3u5OQgk'],[],0,3,7,['esg'],[],https://twitter.com/Bloomberg/status/1361678887000956929,False,,0,,,,,,,,[],,,,
1358786058331295746,1358786058331295746,2021-02-08 09:33:35 Eastern Standard Time,2021-02-08,09:33:35,-0400,104237736,bloomberg,Bloomberg LP,,"The low-carbon economy's future is now, and it's on track to stunt oil demand permanently below 2019’s level. This shift has been accelerated by a perfect storm created by the pandemic and the global economic crisis.",en,[],[],[],1,6,11,[],[],https://twitter.com/Bloomberg/status/1358786058331295746,False,,0,,,,,,,,[],,,,
1356952909641048065,1356952909641048065,2021-02-03 08:09:19 Eastern Standard Time,2021-02-03,08:09:19,-0400,104237736,bloomberg,Bloomberg LP,,The pledge underscores our long-standing commitment to sustainability and climate action. #BloombergImpact,en,[],[],[],2,21,56,['bloombergimpact'],[],https://twitter.com/Bloomberg/status/1356952909641048065,False,,0,,,,,,,,[],,,,
1356640362773757953,1356640362773757953,2021-02-02 11:27:22 Eastern Standard Time,2021-02-02,11:27:22,-0400,104237736,bloomberg,Bloomberg LP,,"Mergers and acquisitions, venture capital, and private equity investments in renewables surged 30% in 2020 compared with a year earlier, reaching $32.41 billion  https://t.co/F70JRGOAdk",en,[],['https://bloom.bg/36AZP7w'],[],0,13,28,[],[],https://twitter.com/Bloomberg/status/1356640362773757953,False,,0,,,,,,,,[],,,,
1356283645514964994,1356283645514964994,2021-02-01 11:49:54 Eastern Standard Time,2021-02-01,11:49:54,-0400,104237736,bloomberg,Bloomberg LP,,"Senior female executives in the New York financial industry are welcome to apply to the #BloombergNewVoices program, which provides intensive one-on-one media training as part of our efforts to amplify voices of underrepresented experts.",en,[],[],[],1,16,18,['bloombergnewvoices'],[],https://twitter.com/Bloomberg/status/1356283645514964994,False,,0,,,,,,,,[],,,,
1355148563391635456,1355148563391635456,2021-01-29 08:39:29 Eastern Standard Time,2021-01-29,08:39:29,-0400,104237736,bloomberg,Bloomberg LP,,"Senior leaders need to be the catalyst for change in their organizations. Proud to see our Chairman, Peter Grauer, and Head of APAC Legal, Amin Kassam, recognized as top allies for the LGBT+ community in the workplace.  #OUTRoleModels20 #InclusionInAction",en,[],[],[],0,12,15,"['outrolemodels20', 'inclusioninaction']",[],https://twitter.com/Bloomberg/status/1355148563391635456,False,,0,,,,,,,,[],,,,
1354788754582630400,1354788754582630400,2021-01-28 08:49:44 Eastern Standard Time,2021-01-28,08:49:44,-0400,104237736,bloomberg,Bloomberg LP,,"To help strengthen the data ecosystem for India's development sector, we've launched a year-long series of conversations focused on five key impact areas: education &amp; employability, healthcare, gender mainstreaming, urban transformation, and NGO resilience. #D4GX",en,[],[],[],3,5,12,['d4gx'],[],https://twitter.com/Bloomberg/status/1354788754582630400,False,,0,,,,,,,,[],,,,
1354421472178171912,1354421472178171912,2021-01-27 08:30:17 Eastern Standard Time,2021-01-27,08:30:17,-0400,104237736,bloomberg,Bloomberg LP,,"The #BloombergGEI brings transparency to gender-related practices and policies at publicly-listed companies, increasing the breadth of ESG data available to investors. This year, the index includes 380 companies headquartered across 44 countries and regions. #InclusionInAction",en,[],[],[],6,31,71,"['bloomberggei', 'inclusioninaction']",[],https://twitter.com/Bloomberg/status/1354421472178171912,False,,0,,,,,,,,[],,,,
1353695781371392005,1353695781371392005,2021-01-25 08:26:39 Eastern Standard Time,2021-01-25,08:26:39,-0400,104237736,bloomberg,Bloomberg LP,,"Today, @wef launched Partnering for Racial Justice in Business, bringing together 48 organizations committed to improving racial and ethnic justice in the workplace. As a founding member, we further solidify our commitment to creating a truly inclusive workplace. #DavosAgenda",en,"[{'screen_name': 'wef', 'name': 'world economic forum', 'id': '5120691'}]",[],[],3,9,12,['davosagenda'],[],https://twitter.com/Bloomberg/status/1353695781371392005,False,,0,,,,,,,,[],,,,
1352241846022524929,1352241846022524929,2021-01-21 08:09:14 Eastern Standard Time,2021-01-21,08:09:14,-0400,104237736,bloomberg,Bloomberg LP,,The global oil industry is facing pressure to decarbonize.  https://t.co/su14hiOsSU,en,[],['https://bloom.bg/3p6MxXs'],[],1,14,15,[],[],https://twitter.com/Bloomberg/status/1352241846022524929,False,,0,,,,,,,,[],,,,
1351543806647218178,1351543806647218178,2021-01-19 09:55:28 Eastern Standard Time,2021-01-19,09:55:28,-0400,104237736,bloomberg,Bloomberg LP,,"As #machinelearning gains traction in the broader financial market, institutional investors are looking for ways to incorporate its techniques into existing financial modeling regimes.  https://t.co/j0nOLfzNQw",en,[],['https://bloom.bg/3ir67v7'],[],3,7,8,['machinelearning'],[],https://twitter.com/Bloomberg/status/1351543806647218178,False,,0,,,,,,,,[],,,,
1349419764234547203,1349419764234547203,2021-01-13 13:15:17 Eastern Standard Time,2021-01-13,13:15:17,-0400,104237736,bloomberg,Bloomberg LP,,"With the EU Taxonomy, investors can determine what investments are contributing towards European environmental objectives, and assess to what degree investment portfolios align with the Taxonomy for their own reporting. #sustainablefinance #ESG  https://t.co/pjbyKCfa7k",en,[],['https://bloom.bg/3oFvZWk'],[],2,10,11,"['sustainablefinance', 'esg']",[],https://twitter.com/Bloomberg/status/1349419764234547203,False,,0,,,,,,,,[],,,,
1348993136312414215,1348993136312414215,2021-01-12 09:00:01 Eastern Standard Time,2021-01-12,09:00:01,-0400,104237736,bloomberg,Bloomberg LP,,"The urgent need for economic recovery from #COVID19 unlocks an unprecedented amount of public resources, and the demand for sustainable investment is surging. Could these be the building blocks for a successful green recovery? (via @WBG_PPP)",en,"[{'screen_name': 'wbg_ppp', 'name': 'infrastructure finance, ppps & guarantees', 'id': '399830887'}]",[],[],4,11,14,['covid19'],[],https://twitter.com/Bloomberg/status/1348993136312414215,False,,0,,,,,,,,[],,,,
1348651083929890821,1348651083929890821,2021-01-11 10:20:49 Eastern Standard Time,2021-01-11,10:20:49,-0400,104237736,bloomberg,Bloomberg LP,,Demand for greater corporate attention on ESG is coming from across the global socio-political spectrum.  https://t.co/qMuASF4P3U,en,[],['https://bloom.bg/35sj2ry'],[],1,10,4,[],[],https://twitter.com/Bloomberg/status/1348651083929890821,False,,0,,,,,,,,[],,,,
1346818848549466112,1346818848549466112,2021-01-06 09:00:10 Eastern Standard Time,2021-01-06,09:00:10,-0400,104237736,bloomberg,Bloomberg LP,,"Many of the world’s largest corporations are pledging to eliminate or offset all of their emissions. But with no regulation or target quality, standards will be crucial to bolster trust and legitimacy of targets.  https://t.co/XZ46C5oPpc",en,[],['https://bloom.bg/3op5rsk'],[],1,9,9,[],[],https://twitter.com/Bloomberg/status/1346818848549466112,False,,0,,,,,,,,[],,,,
1346139379253862401,1346139379253862401,2021-01-04 12:00:12 Eastern Standard Time,2021-01-04,12:00:12,-0400,104237736,bloomberg,Bloomberg LP,,"New year, new opportunities. Let’s &lt;GO&gt;. #BloombergTerminal  https://t.co/3eIyaEd1WS",en,[],[],['https://pbs.twimg.com/media/Eq5yobqW4AcnqXV.jpg'],2,10,16,['bloombergterminal'],[],https://twitter.com/Bloomberg/status/1346139379253862401,False,,1,https://pbs.twimg.com/media/Eq5yobqW4AcnqXV.jpg,,,,,,,[],,,,
1344691110338244609,1344691110338244609,2020-12-31 12:05:18 Eastern Standard Time,2020-12-31,12:05:18,-0400,104237736,bloomberg,Bloomberg LP,,So long 2020 👋 Wishing everyone a happy and healthy 2021.  https://t.co/FgeMBzJyXQ,en,[],[],[],2,10,20,[],[],https://twitter.com/Bloomberg/status/1344691110338244609,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1344691086082629634/pu/img/KM1U45pY-oG3BKDu.jpg,,,,,,,[],,,,
1343959255360143363,1343959255360143363,2020-12-29 11:37:10 Eastern Standard Time,2020-12-29,11:37:10,-0400,104237736,bloomberg,Bloomberg LP,,"Second Measure’s broad coverage of thousands of companies helps users streamline their research and analytics workflow.  Investors can identify fast-growing consumer companies, gain industry insights, validate investment theses, and track company performance intra-quarter.",en,[],[],[],1,10,7,[],[],https://twitter.com/Bloomberg/status/1343959255360143363,False,,0,,,,,,,,[],,,,
