id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1398988816313110531,1398988816313110531,2021-05-30 09:05:00 Eastern Daylight Time,2021-05-30,09:05:00,-0400,19701628,bbc,BBC,,10 years of beautiful and heart-breaking stories ❤️  All 10 series of #CallTheMidwife are streaming now on @BBCiPlayer 🙌 @CallTheMidwife1  https://t.co/jApR9dZKTc,en,"[{'screen_name': 'bbciplayer', 'name': 'bbc iplayer', 'id': '17793580'}, {'screen_name': 'callthemidwife1', 'name': 'call the midwife', 'id': '1019513539'}]",[],[],9,34,238,['callthemidwife'],[],https://twitter.com/BBC/status/1398988816313110531,False,,1,https://pbs.twimg.com/amplify_video_thumb/1398970705128177666/img/CVvsVrHv_ps2lbN-.jpg,,,,,,,[],,,,
1398610073337823239,1398610073337823239,2021-05-29 08:00:01 Eastern Daylight Time,2021-05-29,08:00:01,-0400,19701628,bbc,BBC,,Have you mastered spotting the good singers from the bad? 👀  I Can See Your Voice / Streaming tonight at 6:25pm / BBC iPlayer  https://t.co/vY0probFd0,en,[],[],[],13,2,12,[],[],https://twitter.com/BBC/status/1398610073337823239,False,,1,https://pbs.twimg.com/amplify_video_thumb/1397889598722879494/img/GogalYECaUCkDcjE.jpg,,,,,,,[],,,,
1398579877020831746,1398579877020831746,2021-05-29 06:00:01 Eastern Daylight Time,2021-05-29,06:00:01,-0400,19701628,bbc,BBC,,Who are you most excited to watch at this year’s Big Weekend?  Radio 1's Big Weekend 2021 | Streaming Now | BBC iPlayer  https://t.co/16NCSYaPsZ,en,[],[],['https://pbs.twimg.com/media/E2emSuRWYAIQq1k.jpg'],2,6,32,[],[],https://twitter.com/BBC/status/1398579877020831746,False,,1,https://pbs.twimg.com/media/E2emSuRWYAIQq1k.jpg,,,,,,,[],,,,
1398534824407834625,1398534824407834625,2021-05-29 03:01:00 Eastern Daylight Time,2021-05-29,03:01:00,-0400,19701628,bbc,BBC,,"""You start hearing whispers: 'they've got this kid called Ronaldo, he's supposed to be pretty good'.""  Cristiano Ronaldo: Impossible to Ignore | The new @bbcsport documentary streaming now on @bbciplayer  https://t.co/hYusOEnCF4",en,"[{'screen_name': 'bbcsport', 'name': 'bbc sport', 'id': '265902729'}, {'screen_name': 'bbciplayer', 'name': 'bbc iplayer', 'id': '17793580'}]",[],[],2,9,25,[],[],https://twitter.com/BBC/status/1398534824407834625,False,,1,https://pbs.twimg.com/media/E2eufNFXIAMciQ-.jpg,,,,,,,[],,,,
1397914540210196484,1397914540210196484,2021-05-27 09:56:13 Eastern Daylight Time,2021-05-27,09:56:13,-0400,19701628,bbc,BBC,,"""@DoctorChrisVT reported poor sleep, heart burn, unhappy feelings, anxiety, sluggishness, piles &amp; a low libido.""  What Are We Feeding Our Kids? / Streaming from tonight at 9pm /  BBC iPlayer   https://t.co/yH2TKBqgN7",en,"[{'screen_name': 'doctorchrisvt', 'name': 'chris van tulleken 🏳️\u200d🌈', 'id': '410059729'}]",['https://www.bbc.co.uk/food/articles/van_tulleken'],[],7,10,29,[],[],https://twitter.com/BBC/status/1397914540210196484,False,,0,,,,,,,,[],,,,
1397205828348878866,1397205828348878866,2021-05-25 11:00:02 Eastern Daylight Time,2021-05-25,11:00:02,-0400,19701628,bbc,BBC,,"One year ago today, George Floyd was killed by a police officer in Minneapolis.  This is how sport joined the fight for change. @BBCSport  https://t.co/mHS63mJ2wI",en,"[{'screen_name': 'bbcsport', 'name': 'bbc sport', 'id': '265902729'}]",[],[],17,13,35,[],[],https://twitter.com/BBC/status/1397205828348878866,False,,1,https://pbs.twimg.com/media/E2Nn-7XXsAA0m9u.jpg,,,,,,,[],,,,
1396073366440669187,1396073366440669187,2021-05-22 08:00:03 Eastern Daylight Time,2021-05-22,08:00:03,-0400,19701628,bbc,BBC,,"They can't ALL be good singers, can they? 🤔  I Can See Your Voice / Streaming tonight at 7:10pm / BBC iPlayer  https://t.co/zi9657QAkw",en,[],[],[],15,4,10,[],[],https://twitter.com/BBC/status/1396073366440669187,False,,1,https://pbs.twimg.com/media/E1wmdlSXMAIDGeK.jpg,,,,,,,[],,,,
1395726076903526400,1395726076903526400,2021-05-21 09:00:02 Eastern Daylight Time,2021-05-21,09:00:02,-0400,19701628,bbc,BBC,,What does it take to survive?   Sean Bean and @stephengraham73 star as two men on the edge in this emotional and thrilling portrayal of life in a British prison.   #Time / Streaming from 6 June / @BBCiPlayer  https://t.co/NsUCLiiEsn,en,"[{'screen_name': 'stephengraham73', 'name': 'stephen graham', 'id': '3404066542'}, {'screen_name': 'bbciplayer', 'name': 'bbc iplayer', 'id': '17793580'}]",[],[],127,131,1112,['time'],[],https://twitter.com/BBC/status/1395726076903526400,False,,1,https://pbs.twimg.com/media/E16JkhJXoAMfOPZ.jpg,,,,,,,[],,,,
1395348587345707015,1395348587345707015,2021-05-20 08:00:02 Eastern Daylight Time,2021-05-20,08:00:02,-0400,19701628,bbc,BBC,,"In 1960s and 70s Britain, a large number of Black children were caught up in an extraordinary education scandal.   This is their untold story.   #Subnormal: A British Scandal / Streaming tonight at 9pm /  @BBCiPlayer  https://t.co/e9eQFBevcb",en,"[{'screen_name': 'bbciplayer', 'name': 'bbc iplayer', 'id': '17793580'}]",[],[],35,35,69,['subnormal'],[],https://twitter.com/BBC/status/1395348587345707015,False,,1,https://pbs.twimg.com/media/E1L1YOsWUAIHe-K.jpg,,,,,,,[],,,,
1394988253376401408,1394988253376401408,2021-05-19 08:08:11 Eastern Daylight Time,2021-05-19,08:08:11,-0400,19701628,bbc,BBC,,An insidious fan takes control  Inside No. 9 / Streaming now / BBC iPlayer:  https://t.co/z8V4nGaTK6  https://t.co/3U0FNee05p,en,[],['http://bbc.in/2BRlgS2'],['https://pbs.twimg.com/media/E1vfbF_WUAMVbJq.jpg'],16,8,65,[],[],https://twitter.com/BBC/status/1394988253376401408,False,,1,https://pbs.twimg.com/media/E1vfbF_WUAMVbJq.jpg,,,,,,,[],,,,
