id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1395358102845853698,1395358102845853698,2021-05-20 12:37:50 UTC,2021-05-20,12:37:50,+0000,39349894,erictrump,Eric Trump,,"Nothing to see here... but let’s harass Trump. It’s so unbelievably sad. #Priorities   7 shot, 2 killed in wild night of violence in NYC  https://t.co/eSmWHwN9nC",en,[],['https://nypost.com/2021/05/20/7-shot-2-killed-in-wild-night-of-violence-in-nyc/'],[],1008,1093,4352,['priorities'],[],https://twitter.com/EricTrump/status/1395358102845853698,False,,0,,,,,,,,[],,,,
1395144090707189760,1395144090707189760,2021-05-19 22:27:26 UTC,2021-05-19,22:27:26,+0000,39349894,erictrump,Eric Trump,,#Benghazi,und,[],[],[],1535,2640,12779,['benghazi'],[],https://twitter.com/EricTrump/status/1395144090707189760,False,https://twitter.com/HillaryClinton/status/1395129669691887617,0,,,,,,,,[],,,,
1392933443261116419,1392933443261116419,2021-05-13 20:03:06 UTC,2021-05-13,20:03:06,+0000,39349894,erictrump,Eric Trump,,I have felt more love over the past few days than I can possibly explain. People truly realize what a mess this guy is making of our great country...,en,[],[],[],3380,6183,45601,[],[],https://twitter.com/EricTrump/status/1392933443261116419,False,,0,,,,,,,,[],,,,
1392266257597177856,1392266257597177856,2021-05-11 23:51:57 UTC,2021-05-11,23:51:57,+0000,39349894,erictrump,Eric Trump,,The @SecretService is comprised of some of the most incredible men and women I have ever met - many will be friends for life. The world would be a far better place if the reporters / ownership of the @washingtonpost had 1/100th of the character of these incredible people.,en,"[{'screen_name': 'secretservice', 'name': 'u.s. secret service', 'id': '115749048'}, {'screen_name': 'washingtonpost', 'name': 'the washington post', 'id': '2467791'}]",[],[],953,1417,9507,[],[],https://twitter.com/EricTrump/status/1392266257597177856,False,,0,,,,,,,,[],,,,
1387947463198142464,1387947463198142464,2021-04-30 01:50:36 UTC,2021-04-30,01:50:36,+0000,39349894,erictrump,Eric Trump,,🙄  https://t.co/uI6Y6tI5yC,und,[],[],['https://pbs.twimg.com/media/E0L62_zVcAEdxul.jpg'],2360,3823,26807,[],[],https://twitter.com/EricTrump/status/1387947463198142464,False,,1,https://pbs.twimg.com/media/E0L62_zVcAEdxul.jpg,,,,,,,[],,,,
1385536890116444166,1385536890116444166,2021-04-23 10:11:51 UTC,2021-04-23,10:11:51,+0000,39349894,erictrump,Eric Trump,,"SpaceX launch over Mar-a-Lago!   I always loved watching the Space Shuttle fly as a child. Today, it is truly incredible watching two boosters fly back down to earth! Well done @elonmusk. #Falcon9  https://t.co/OHI0zdXEPU",en,"[{'screen_name': 'elonmusk', 'name': 'elon musk', 'id': '44196397'}]",[],['https://pbs.twimg.com/media/EzpqdSRXIAIbnro.jpg'],789,2151,16439,['falcon9'],[],https://twitter.com/EricTrump/status/1385536890116444166,False,,1,https://pbs.twimg.com/media/EzpqdSRXIAIbnro.jpg,,,,,,,[],,,,
1384973774790041600,1384973774790041600,2021-04-21 20:54:14 UTC,2021-04-21,20:54:14,+0000,39349894,erictrump,Eric Trump,,"Come visit us at Trump Winery in  Charlottesville, Virginia - we would love to have you!   https://t.co/1RhWEr281D #TrumpHotels  https://t.co/Ik5JM4gW1z",en,[],['http://www.TrumpWinery.com'],['https://pbs.twimg.com/media/EzhqTqtXsAADirq.jpg'],1388,1788,14994,['trumphotels'],[],https://twitter.com/EricTrump/status/1384973774790041600,False,,1,https://pbs.twimg.com/media/EzhqTqtXsAADirq.jpg,,,,,,,[],,,,
1384261027819245581,1384261027819245581,2021-04-19 21:42:02 UTC,2021-04-19,21:42:02,+0000,39349894,erictrump,Eric Trump,,What a clown show:  White House: Biden Calling The Border Crisis A ‘Crisis’ Does Not Reflect View Of The Administration    https://t.co/rJ51NjYhj4,en,[],['https://www.dailywire.com/news/white-house-biden-calling-the-border-crisis-a-crisis-does-not-reflect-view-of-the-administration'],[],842,645,2641,[],[],https://twitter.com/EricTrump/status/1384261027819245581,False,,0,,,,,,,,[],,,,
1382106567160500224,1382106567160500224,2021-04-13 23:00:58 UTC,2021-04-13,23:00:58,+0000,39349894,erictrump,Eric Trump,,"Lara Trump leads GOP field in North Carolina Senate race, poll shows | TheHill  https://t.co/LZAowPhqQF",en,[],['https://thehill.com/homenews/campaign/548028-lara-trump-leads-gop-field-in-north-carolina-senate-race-poll-shows'],[],1253,3909,24849,[],[],https://twitter.com/EricTrump/status/1382106567160500224,False,,0,,,,,,,,[],,,,
1379582383398264834,1379582383398264834,2021-04-06 23:50:46 UTC,2021-04-06,23:50:46,+0000,39349894,erictrump,Eric Trump,,Tune in at 11! #FoxNews,en,[],[],[],472,187,1205,['foxnews'],[],https://twitter.com/EricTrump/status/1379582383398264834,False,https://twitter.com/Gutfeldfox/status/1379562059373760512,0,,,,,,,,[],,,,
1379551938241572869,1379551938241572869,2021-04-06 21:49:47 UTC,2021-04-06,21:49:47,+0000,39349894,erictrump,Eric Trump,,.@LynnePatton is an amazing person! I couldn’t agree more!,en,"[{'screen_name': 'lynnepatton', 'name': '🇺🇸 lynne patton', 'id': '25413556'}]",[],[],191,180,878,[],[],https://twitter.com/EricTrump/status/1379551938241572869,False,https://twitter.com/RealBenCarson/status/1379548740688748548,0,,,,,,,,[],,,,
1379549829152575492,1379549829152575492,2021-04-06 21:41:24 UTC,2021-04-06,21:41:24,+0000,39349894,erictrump,Eric Trump,,This didn’t age well! The Washington Post is a joke,en,[],[],[],997,3151,14682,[],[],https://twitter.com/EricTrump/status/1379549829152575492,False,https://twitter.com/washingtonpost/status/1307079837299990536,0,,,,,,,,[],,,,
1377574632270757890,1377287129395527685,2021-04-01 10:52:41 UTC,2021-04-01,10:52:41,+0000,39349894,erictrump,Eric Trump,,@joshsteimle Exactly Josh,en,[],[],[],88,92,1440,[],[],https://twitter.com/EricTrump/status/1377574632270757890,False,,0,,,,,,,,"[{'screen_name': 'joshsteimle', 'name': 'Josh Steimle', 'id': '25384284'}]",,,,
1377095497110888452,1377095497110888452,2021-03-31 03:08:46 UTC,2021-03-31,03:08:46,+0000,39349894,erictrump,Eric Trump,,Full Interview!  The Right View with President Donald J Trump and Lara Trump  https://t.co/uudoDw1obk,en,[],['https://rumble.com/vf7jdd-the-right-view-with-president-donald-j-trump-and-lara-trump.html'],[],1519,5984,18267,[],[],https://twitter.com/EricTrump/status/1377095497110888452,False,,0,,,,,,,,[],,,,
1377079848011698180,1377079848011698180,2021-03-31 02:06:35 UTC,2021-03-31,02:06:35,+0000,39349894,erictrump,Eric Trump,,This is Facebook friends! What an absolute slap in the face to 75 Million Americans  https://t.co/UtBBhyNgaQ,en,[],[],['https://pbs.twimg.com/media/Exxe0oEWYAUTpmX.jpg'],4467,10282,31952,[],[],https://twitter.com/EricTrump/status/1377079848011698180,False,,1,https://pbs.twimg.com/media/Exxe0oEWYAUTpmX.jpg,,,,,,,[],,,,
1377059659241172994,1377059659241172994,2021-03-31 00:46:21 UTC,2021-03-31,00:46:21,+0000,39349894,erictrump,Eric Trump,,YUGE interview tonight on The Right View with @laraleatrump &amp; President Trump — watch at  https://t.co/ftsZ7guup8  https://t.co/t3OsRLVLdz,en,"[{'screen_name': 'laraleatrump', 'name': 'lara trump', 'id': '75541946'}]",['http://www.TheRightView.com'],['https://pbs.twimg.com/media/ExxMdPSW8AMH-nH.jpg'],1075,2910,14635,[],[],https://twitter.com/EricTrump/status/1377059659241172994,False,,1,https://pbs.twimg.com/media/ExxMdPSW8AMH-nH.jpg,,,,,,,[],,,,
1376179348340871171,1376179348340871171,2021-03-28 14:28:19 UTC,2021-03-28,14:28:19,+0000,39349894,erictrump,Eric Trump,,Coming up on Sunday Morning Futures  #FoxNews @MariaBartiromo  https://t.co/kiBEIlJdr6,en,"[{'screen_name': 'mariabartiromo', 'name': 'maria bartiromo', 'id': '208155240'}]",[],['https://pbs.twimg.com/media/ExkrwtSXIAYTdjl.jpg'],1020,291,3360,['foxnews'],[],https://twitter.com/EricTrump/status/1376179348340871171,False,,1,https://pbs.twimg.com/media/ExkrwtSXIAYTdjl.jpg,,,,,,,[],,,,
1372354975108583425,1372354975108583425,2021-03-18 01:11:37 UTC,2021-03-18,01:11:37,+0000,39349894,erictrump,Eric Trump,,Coming up on @seanhannity 🇺🇸🇺🇸,en,"[{'screen_name': 'seanhannity', 'name': 'sean hannity', 'id': '41634520'}]",[],[],1187,549,7036,[],[],https://twitter.com/EricTrump/status/1372354975108583425,False,,0,,,,,,,,[],,,,
1371984703104954368,1371984703104954368,2021-03-17 00:40:18 UTC,2021-03-17,00:40:18,+0000,39349894,erictrump,Eric Trump,, https://t.co/yRW6kfLauF,und,[],[],['https://pbs.twimg.com/media/EwpE0JNWUAQiUoN.jpg'],4455,12876,66661,[],[],https://twitter.com/EricTrump/status/1371984703104954368,False,,1,https://pbs.twimg.com/media/EwpE0JNWUAQiUoN.jpg,,,,,,,[],,,,
1371445393804963845,1371445393804963845,2021-03-15 12:57:16 UTC,2021-03-15,12:57:16,+0000,39349894,erictrump,Eric Trump,,"In a Pivotal Ruling, Supreme Court Removes Barrier to Protecting the First Amendment | The Heritage Foundation  https://t.co/JjoLUeL71o",en,[],['https://www.heritage.org/civil-rights/commentary/pivotal-ruling-supreme-court-removes-barrier-protecting-the-first-amendment'],[],359,732,2249,[],[],https://twitter.com/EricTrump/status/1371445393804963845,False,,0,,,,,,,,[],,,,
1370802206505635841,1370802206505635841,2021-03-13 18:21:28 UTC,2021-03-13,18:21:28,+0000,39349894,erictrump,Eric Trump,,Trump Chicago!! #TrumpHotels 🍀☘️  https://t.co/OWbhkA2oMG,en,[],[],"['https://pbs.twimg.com/media/EwYRVVqWgAgu4MJ.jpg', 'https://pbs.twimg.com/media/EwYRVVoXAAEwMNW.jpg']",1584,2847,28117,['trumphotels'],[],https://twitter.com/EricTrump/status/1370802206505635841,False,,1,https://pbs.twimg.com/media/EwYRVVqWgAgu4MJ.jpg,,,,,,,[],,,,
1369434653690576904,1369434653690576904,2021-03-09 23:47:18 UTC,2021-03-09,23:47:18,+0000,39349894,erictrump,Eric Trump,,100 years... #WheresJoe,en,[],[],[],1152,944,4876,['wheresjoe'],[],https://twitter.com/EricTrump/status/1369434653690576904,False,https://twitter.com/johnrobertsFox/status/1369340963693490178,0,,,,,,,,[],,,,
1367903423841058824,1367903423841058824,2021-03-05 18:22:45 UTC,2021-03-05,18:22:45,+0000,39349894,erictrump,Eric Trump,,Well said,en,[],[],[],1420,4509,15314,[],[],https://twitter.com/EricTrump/status/1367903423841058824,False,https://twitter.com/trish_regan/status/1367830051736190979,0,,,,,,,,[],,,,
1367258771018416128,1367258347481759745,2021-03-03 23:41:08 UTC,2021-03-03,23:41:08,+0000,39349894,erictrump,Eric Trump,,An absolute disgrace...  https://t.co/PhWcv639U5,en,[],[],['https://pbs.twimg.com/media/Evl6mpFXAAwpNAd.jpg'],1773,2112,10172,[],[],https://twitter.com/EricTrump/status/1367258771018416128,False,,1,https://pbs.twimg.com/media/Evl6mpFXAAwpNAd.jpg,,,,,,,[],,,,
1367258347481759745,1367258347481759745,2021-03-03 23:39:27 UTC,2021-03-03,23:39:27,+0000,39349894,erictrump,Eric Trump,,Gas prices are going through the roof - thanks #JoeBiden,en,[],[],[],3459,8756,47696,['joebiden'],[],https://twitter.com/EricTrump/status/1367258347481759745,False,,0,,,,,,,,[],,,,
1367124360587321349,1367124360587321349,2021-03-03 14:47:02 UTC,2021-03-03,14:47:02,+0000,39349894,erictrump,Eric Trump,,"Just listed in Palm Beach, FL!! 1125 South Ocean Blvd  https://t.co/8Cq18kc7uK",en,[],[],"['https://pbs.twimg.com/media/EvkAW92XYAUQ4mi.jpg', 'https://pbs.twimg.com/media/EvkAW2sXEAUu0ZX.jpg', 'https://pbs.twimg.com/media/EvkAW2qXIAwAzia.jpg', 'https://pbs.twimg.com/media/EvkAW7XXIAUHlOJ.jpg']",3521,1607,20165,[],[],https://twitter.com/EricTrump/status/1367124360587321349,False,,1,https://pbs.twimg.com/media/EvkAW92XYAUQ4mi.jpg,,,,,,,[],,,,
1366748011527876616,1366748011527876616,2021-03-02 13:51:33 UTC,2021-03-02,13:51:33,+0000,39349894,erictrump,Eric Trump,,"With the COVID restrictions starting to ease across the U.K, we are delighted to welcome golfers back to play on our iconic links in Aberdeenshire 🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿@TrumpScotland  https://t.co/k2eKuJ2bTv",en,"[{'screen_name': 'trumpscotland', 'name': 'trump international, scotland', 'id': '1140041857'}]",[],['https://pbs.twimg.com/media/EveqEo0XYAIQmo9.jpg'],907,894,8359,[],[],https://twitter.com/EricTrump/status/1366748011527876616,False,,1,https://pbs.twimg.com/media/EveqEo0XYAIQmo9.jpg,,,,,,,[],,,,
