created_at	id	full_text	user_name	screen_name	followers_count	verified	retweet_count	favorite_count
Fri Mar 20 15:35:29 +0000 2020	1241025578527903750	For the average American the best way to tell if you have covid-19 is to cough in a rich person’s face and wait for their test results	Harry Moroz	hrmoroz	4887	false	187425	954568
Thu Mar 19 02:36:13 +0000 2020	1240467080954228737	this is fucking bullshit https://t.co/lfLpuNg9GO	doc hudson	dochudson_	22240	false	105956	467763
Thu Mar 19 19:08:52 +0000 2020	1240716889162018816	Can y’all please just follow the government’s instructions so we can knock this COVID-19 out and be done?! I feel like a kindergartner that keeps losing more recess time because one or two kids can’t follow directions.	Merica	mrs_merica	2883	false	160323	660762
Fri Mar 20 18:02:16 +0000 2020	1241062514886090754	No offense but the corona virus disappearing before April actually sucks https://t.co/5BtaZrejD2	Kyarra Iman🍍✨	KyarraIman_	1260	false	5394	50515
Sat Mar 21 19:30:08 +0000 2020	1241447017945223169	This is the face of someone who just spent 9 hours in personal protective equipment moving critically ill Covid19 patients around London.\n\nI feel broken - and we are only at the start. I am begging people, please please do social distancing and self isolation #covid19 https://t.co/hs0RQdvsn3	Natalie Silvey (Stay at home - save lives)	silv24	27152	false	126506	445713
Sun Mar 22 08:06:20 +0000 2020	1241637320325029889	Yesterday I knocked on my Tennant's door and told him he can stay in the property rent free for 5 months. He is self employed with 4 kids. I don't need Boris to tell me what is morally correct. Landlords, if you can, do more, do something. #COVID19 #BeNice	Paul Bradshaw	bradshaaaw	3085	false	128634	715158
Sun Mar 22 00:17:50 +0000 2020	1241519420628963330	After COVID-19 is over, I better NEVER hear anyone trash \"low end\" workers again. Those people at the grocery store, the Dollar General workers, those fast food workers, the Walmart employees, those people you didn't even think deserved to have a wage to survive on?	T3rr3z	t3rr3z	2911	false	120821	487573
Mon Mar 23 17:13:35 +0000 2020	1242137430322446344	This is Dr. Usama Riaz. He spent past weeks screening and treating patients with Corona Virus in Pakistan. \n\nHe knew there was no PPE. He persisted anyways.\n\nToday he lost his own battle with coronavirus but he gave life and hope to so many more. \n\nKNOW HIS NAME 😭❤ https://t.co/flSwhLCPmx	StanceGrounded	_SJPeace_	359835	false	119536	331428
Thu Mar 19 19:09:28 +0000 2020	1240717039377022977	fun fact: its tradition for europeans to spread a potentially fatal disease to every other country not fully inhabited by white people &amp; not take accountability for the subsequent devastation &amp; lives lost https://t.co/7tRAnkBaHQ	Coochie Seasoning🐝🔥🍬	bbychakra	13251	false	12203	47044
Wed Mar 18 17:51:18 +0000 2020	1240334979701395458	When this Corona shit passes we have to promise each other that we’re going to tell our kids that we survived a zombie apocalypse in 2020	D i l l 🦦	Khydill	4189	false	181436	763800
Sat Mar 21 00:34:49 +0000 2020	1241161304771039233	So shortness of breath is a corona symptom right but you know what also gives me shortness of breath? Anxiety. And you know what has been giving me anxiety? Thinking I have corona.	sin	sineadxia	2596	false	109785	554867
Thu Mar 19 16:28:40 +0000 2020	1240676575168921600	So, the last week I have been battling COVID-19 &amp; Pneumonia. Never in my life have I been this ill. “Young people aren’t at risk, they’ll only have mild symptoms” Wrong. \n\nI want to open up about the difficulties I’ve gone through these past days, what it was like in the ICU...	Bradley	bradleyziffer	7346	false	100742	322476
Mon Mar 23 16:24:33 +0000 2020	1242125087886761987	My mum has a PhD on Corona Virus from WhatsApp University	b	brownandboujiee	3437	false	107073	401952
Thu Mar 19 22:33:57 +0000 2020	1240768501452697600	He told wealthy friends. Then cashed out a cool $1.4m in stock. Then voted AGAINST the covid-19 relief bill. He needs to go https://t.co/kYolBg3ycv	President Kamala’s Hand (STILL)	DearDean22	6560	false	7734	12816
Sat Mar 21 19:31:08 +0000 2020	1241447267502116864	future grandson: “hey grandpa want a corona?”\n\nme: https://t.co/ZJbdz22Lps	ayo wtf	YEESSSIIIRRR	3894	false	91414	383681
Sat Mar 21 12:14:08 +0000 2020	1241337295606657033	Korea finished developing the 10 minute Covid-19 diagnostic kit and is now ramping up production. They plan to export 300.000 test-kits per week - https://t.co/DpJCph9RT7	Florian Witulski	vaitor	21374	true	89425	196789
Sat Mar 21 18:18:42 +0000 2020	1241429041011478529	tw suicide, COVID-19\n\nHey, so, um, there's a big elephant in the room right now. COVID isn't the only epidemic happening right now - and it's come at a bad, bad time. Not that there's ever a good time.\n\nThere's a mental health epidemic happening, and we're gonna start seeing-	the stablative case	elliottdunstan	3516	false	88884	284776
Tue Mar 24 11:33:37 +0000 2020	1242414259407130624	Celebrities keep trying to sing the virus away like this is a Disney movie or something https://t.co/nqyHcbQ9W3	Kar	karlogan_	9446	false	951	3425
Mon Mar 23 06:21:49 +0000 2020	1241973404992802818	maybe if i develop feelings for covid-19 it will leave	frex the leo	mynameisfrex	2335	false	85596	296774
Fri Mar 20 17:44:00 +0000 2020	1241057919128526856	THREAD: I mostly talk about movies on here, but here goes. We are currently pivoting our factory to solely make surgical masks and other medical garments in short supply. We can make 2 million masks a day, and are looking to help in any way possible during this time. #COVID19 https://t.co/dOX7N3e1GJ	Jeffrey Zhang	strangeharbors	16065	false	79256	391801
Thu Mar 19 13:38:36 +0000 2020	1240633773965918210	My mans House would pop 6 Vicodin on Thursday and have that cure by Saturday morning. https://t.co/345Esgn0zb	Theós	Scoulios	689	false	2185	9983
Sat Mar 21 06:43:53 +0000 2020	1241254183979765761	I did almost everything right. Worked at home. Saw one friend in the last 10 days. Had a beer for an hour outside a pub, either side of a big table. Fresh air, no contact. Washed my hands 3 times. \n\nStill caught corona from him. \n\nDo not fuck around with this thing.	Geoff Lemon 🍋	geofflemon	9082	false	76400	315373
Sat Mar 21 20:45:14 +0000 2020	1241465915486670848	I do not understand how mcdonalds can serve two billion hamburgers every year but when I order five million at the drive thru it overwhelms the system https://t.co/f70fUIY7MF	kilgore trout, multiyear slanderer	KT_So_It_Goes	61384	false	10319	32706
Fri Mar 20 14:29:58 +0000 2020	1241009089091600392	Bro China is out here reading niggas power levels and we cant even get adequate testing 🧐 https://t.co/3P3fuxdL1v	Tech Starr 🥶	Deucedunkin	3912	false	16209	34659
Sat Mar 21 20:46:26 +0000 2020	1241466219791822849	When this corona shit is over please invite me out. I know I be flaky sometimes but my ass is going to come outside I promise lol	sad and boujee 🥺💅🏾	_GirlFromAtl	6153	false	80267	271769
Sun Mar 22 23:38:07 +0000 2020	1241871812591419392	Y’all miss your ex, I miss life without the corona virus	Anna	annamzep	290	false	83021	157590
Sun Mar 22 12:00:09 +0000 2020	1241696164782669824	\"I stopped him and said, 'Look, this isn't a movie. You are not Will Smith in I Am Legend. Go home.\"\nThis is the updated compilation of Italian Mayors losing it at people violating #Covid19 quarantine. Yes, subtitles are accurate. https://t.co/60V4Csuonb	🌈	protectheflames	7551	false	74313	167262
Sat Mar 21 08:57:46 +0000 2020	1241287878354677760	Please don't take hydroxychloroquine (Plaquenil) plus Azithromycin for #COVID19 UNLESS your doctor prescribes it. Both drugs affect the QT interval of your heart and can lead to arrhythmias and sudden death, especially if you are taking other meds or have a heart condition.	Dr. Edsel Salvana	EdselSalvana	27236	true	71567	142812
Wed Mar 18 17:55:00 +0000 2020	1240335912329977858	Day 5: We have rediscovered farming https://t.co/tTrScYz6js	Ghostwriter BLK SIREN	MakedaMorrison	2146	false	136572	470663
Mon Mar 23 01:38:05 +0000 2020	1241902001539203073	This Corona virus will pass by mid April !! Speaking it into existence	‎مهذار ✨	Gvbby_23	3865	false	66818	217083
Tue Mar 24 04:09:07 +0000 2020	1242302400762908685	Thank you everyone for your incredible messages of support and encouragement.♥️\n\nMany of you asked what it was like in the ER right now. I want to share a bit with you. Please RT:\n\nA Day in the Life of an ER Doc - A Brief Dispatch from the #COVID19 Frontline:	Craig Spencer MD MPH	Craig_A_Spencer	98639	true	70258	134503
Tue Mar 24 15:40:34 +0000 2020	1242476408896507910	My fellow citizens, \n\nTHERE IS ABSOLUTELY NO NEED TO PANIC.\n\nEssential commodities, medicines etc. would be available. Centre and various state governments will work in close coordination to ensure this.\n\nTogether, we will fight COVID-19 and create a healthier India. \n\nJai Hind!	Narendra Modi	narendramodi	55912740	true	71031	271277
Sun Mar 22 00:54:07 +0000 2020	1241528549183385601	no..\none...\n\ncleans like Gaston\nquarantines like Gaston\nno one stops spreading COVID-19 like Gaston	Kyle 🚄	KyleTrainEmoji	11303	false	60980	245134
Sat Mar 21 06:16:39 +0000 2020	1241247329572683776	This is why the beaches haven't closed in Florida, and why they've had minimal COVID-19 prevention. Absolute dysfunction. https://t.co/8x2tcQeg21	Farbod Esnaashari	Farbod_E	9281	false	61815	169099
Sat Mar 21 16:38:04 +0000 2020	1241403715036291072	My new favourite thing is Italian mayors and regional presidents LOSING IT at people violating quarantine. Here's an eng subtitled compilation. \"I hear you wanna throw graduation parties. I'm gonna send the police over. With flamethrowers.\" #Covid19 #coronavirus https://t.co/NbYuWePIVt	🌈	protectheflames	7551	false	60724	155240
Fri Mar 20 13:04:33 +0000 2020	1240987594080559105	COVID-19 \nFinally, some sensible advice from a Nurse\n\n“What I have seen a lot of are recommendations for how to try to avoid getting coronavirus in the first place -- good hand washing, personal hygiene and social distancing -- but what I have NOT seen a lot of is advice for...	Amala Tourist/Ambassador😷	Savagekizz	6513	false	55029	85056
Thu Mar 19 15:50:27 +0000 2020	1240666954958069768	Corona Virus isn't real, the government just wants everyone inside for two weeks so they can change the batteries in the birds.	Uncle G 👽🛸	Gordough_	2954	false	65580	376602
Sat Mar 21 13:42:43 +0000 2020	1241359584784044033	day 6 of quarantine: my dad gave a talk to the cats about covid-19 😭😭😭😭😭😭😭😭 https://t.co/mLdFXzcE2P	𝐬𝐨𝐟	sofiarudyy	602	false	67049	74143
Thu Mar 19 12:46:45 +0000 2020	1240620727306510342	This is Generation Z. \n\nI want to name that because folks love calling everybody 40 and under Millennials.\n\nMillennials are not at Spring Break.\n\nMillennials are at home yelling at their Boomer parents who won’t sit still because they have “faith over fear”. https://t.co/byiOhELTJR	Candice Marie Benbow	CandiceBenbow	31569	false	29398	96313
Thu Mar 19 23:22:24 +0000 2020	1240780691362570240	“hey guys happy self quarantine. The corona virus is a real thing.”\n\nwow I had no idea! thanks Kylie! https://t.co/gfPNwVFH3e	Yousef	yousefslym	12137	false	56042	347525
Fri Mar 20 17:32:18 +0000 2020	1241054976270614535	The World Health Organization warns young people: “You are not invincible.”\n \nCOVID-19 could \"put you in hospital for weeks, or even kill you. Even if you don’t get sick, the choices you make about where you go could be the difference between life and death for someone else.”	David P Gelles	gelles	18199	true	51305	129170
Fri Mar 20 03:45:54 +0000 2020	1240847006907711490	This man hospital bill bout to be so much. https://t.co/WBr1LBtKz5	Rick Rude	DomPuller	412	false	3716	9232
Sun Mar 22 12:13:21 +0000 2020	1241699484469526531	Video of a hospital in Spain. Watch it. Watch it again with the volume up. \nNow cancel that brunch. \nPostpone that coffee meet-up. \nRain check that dinner with friends. \nSucks doesn’t it? But not as hard as this 👇\n#COVIDー19 #coronavirus #StayAtHome\n\n https://t.co/LM9BnFQf3E	edleonklinger	edleonklinger	2857	false	50803	70074
Mon Mar 23 13:54:50 +0000 2020	1242087413868003333	When you’re a goalkeeper... and an only child... in self isolation... and trying to keep up with your training... 😂😂came up with this himself! I’m so impressed. #coronavirus #StayHomeStaySafe https://t.co/FFzJ1LE3N1	Sarah-Jayne Tobin	TheSJTobin	7095	false	49238	340223
Thu Mar 19 23:57:59 +0000 2020	1240789646893821953	Covid-19 might be big, but I just want to remind y’all that our God is BIGGER.✨	Dez✨	Dezzz_____	5499	false	45875	117152
Mon Mar 23 16:51:05 +0000 2020	1242131768662282243	CDC just announced that corona can be spread via Instagram story challenges :-/	Omer Gorashi	omer___go	2312	false	59435	271463
Sat Mar 21 04:48:00 +0000 2020	1241225019952263170	Katie Porter's sister, a doctor, is breaking down how staying in can save lives during the COVID-19 crisis https://t.co/9q7MpbpES8	NowThis	nowthisnews	2582651	true	45726	71877
Fri Mar 20 00:59:29 +0000 2020	1240805124143906816	Anybody else just randomly yell “Corona Virus” in Cardi’s voice ?	cholotè	certifiedCabron	867	false	44451	139394
Sun Mar 22 15:15:38 +0000 2020	1241745355957514241	These workers need protection, healthcare, and sick pay—regardless of citizenship status. Their services are ESSENTIAL and there needs to be more aggressive dialogue around this issue. WHAT WOULD LIFE LOOK LIKE WITHOUT THEM? I don’t want to know! https://t.co/W1NJPCzliQ	Lainie Marsh	lainiemarsh	233	false	10429	31050
Fri Mar 20 04:07:23 +0000 2020	1240852412203589632	me: h-\n\nmy mom with her phd in corona virus after graduating from whatsapp threads: https://t.co/msWK8DKN2G	𝘤𝘪𝘭𝘪𝘱𝘢𝘯𝘮𝘪	isaaciaga	2191	false	47696	139193
Mon Mar 23 05:00:12 +0000 2020	1241952866404687872	Check out BTS’ message of hope to overcome #COVID19 by looking after each other!\nWe invite Son Heung-min to continue the message!\n\nhttps://t.co/FYtSkDvwjs\n\n#StayConnected #StayStrong_ARMY #힘내세요_아미 #우리의응원을이어주세요 #BTSLoveMyself #ENDviolence	LOVE MYSELF	bts_love_myself	3602159	true	35984	86771
Thu Mar 19 16:54:42 +0000 2020	1240683123362406410	White People: COVID-19\n\nBlack Folks: the RONA \n\nGay People : Miss Rona \n\n😭☠️	Podcast link in bio	SoDebNair	7333	false	43816	300077
Fri Mar 20 02:43:17 +0000 2020	1240831248861474816	corona sis you leaving by may right? https://t.co/vwDdLhmAwz	✨	joshieyamaguchi	1537	false	42605	141986
Thu Mar 19 19:01:16 +0000 2020	1240714976060248064	wow...taken this morning....never seen Vegas this empty before tbh #coronavirus https://t.co/9YbvuimUX2	Cesar	_cesargamas	856	false	46718	245654
Thu Mar 19 12:36:51 +0000 2020	1240618235499819008	There was a nasty flu that went round in December / early Jan. I’m telling you, that was corona. Bare ppl were sick (including me) complaining of what we now know as the symptoms for corona.	iO	ioproducer	3350	false	49370	302708
Thu Mar 19 13:26:11 +0000 2020	1240630649192677378	So, due to COVID-19 fucking everything up, i thought 'Why dont we have a Twitter prom?' \n\nSo, without further ado, i invite you all the My twitter prom! You can ask someone to go with you as a friend or as a partner. The prom will be held on the 25th of March.\n\n Interact to join!	Bee! ‍🐝🍯	IunchcIubb	2892	false	38278	266962
Sat Mar 21 19:01:33 +0000 2020	1241439824239906817	Batman bussing tables now. Times is hard. https://t.co/di6xtmiLsV	Frio	OGSnob	325	false	912	4960
Mon Mar 23 07:12:37 +0000 2020	1241986189437087744	From this                      to this https://t.co/0zyb6LLZ0S https://t.co/DzPYqg6ile	Ahmd🗯	Ahmed_Wann	156	false	678	1567
Sat Mar 21 15:27:10 +0000 2020	1241385872001384449	Today we lost 2 colleagues,\nA young adult cardiology fellow &amp; a medical oncologist due to COVID-19 .\n\nWe pause to pray for them,\nAnd yet this war is just starting, with no end in sight!\n\nWe ask for your prayers \nWe ask our politicians to help and aggresively act for support!	doc.riz	pinoykidsdoc	3656	false	37520	149432
Thu Mar 19 17:22:06 +0000 2020	1240690021759238144	China has 24 times more people than Italy... https://t.co/UFiaQRO8jK	I’m Black and I’m not voting for Biden	rtyson82	16283	false	1286	1767
Fri Mar 20 17:16:09 +0000 2020	1241050910085840903	After this is all over, please remember in future job interviews to ask them what their company did to protect their employees with regards to the global COVID-19 situation. Can't be risking working for wayward companies.	Adi.	AdiBacelar	346	false	38541	156419
Mon Mar 23 17:11:09 +0000 2020	1242136816469389316	my flintstones gummies from 15 years ago fighting corona \n https://t.co/wHeBEN1Mos	michael💞	MikeyLLC	14619	false	35373	147136
Fri Mar 20 00:27:42 +0000 2020	1240797127539920896	But bitch y’all said— https://t.co/wN0j8ofnGQ https://t.co/QhBvs99XxI	OHG	OhGreatChoice	2786	false	2133	3790
Wed Mar 18 18:13:09 +0000 2020	1240340480342310915	Hi. \n\nYes, it originated in China, but the technical term is Covid-19 \n\nYour mom originated from the back of a Buick Skylark, but we call her Judith\n\nDon’t be mean.	Brunette Bohemian	Rae_volution	46263	false	98068	550226
Fri Mar 20 22:52:48 +0000 2020	1241135631406977031	Dominican Republic found the cure for Covid-19 😭 https://t.co/1CfA162Lq3	Vanessa '⁷'	AyeVanezita	5853	false	33928	77181
Tue Mar 24 01:03:17 +0000 2020	1242255630938845184	Y’all had the gummies? I was eating that pure ROCK we ain’t built the same https://t.co/cVhBefQK6X	🧙🏽‍♂️	mashfreak	5011	false	35373	147136
Fri Mar 20 19:52:48 +0000 2020	1241090332676194310	The epidemiologist who helped eradicate smallpox says Trump’s early handling of COVID-19 is “is the most irresponsible act of an elected official that I've ever witnessed in my lifetime.” https://t.co/4XBSIumeBL	Elamin Abdelmahmoud	elamin88	30821	true	33671	77138
Mon Mar 23 15:43:41 +0000 2020	1242114805588267008	Here’s a useful summary of the current best thinking among public health experts on how we need to approach the fight against COVID-19 in the coming weeks. https://t.co/7cy71sKLVG	Barack Obama	BarackObama	116673327	true	38869	133168
Thu Mar 19 20:54:56 +0000 2020	1240743583860195328	celebrities making singing videos as corona virus now tops over 230k cases worldwide  https://t.co/HPVjPn2fso	Cesar	itscesaryo	602	false	41743	184932
Fri Mar 20 04:35:11 +0000 2020	1240859409397547010	Every Senator that did insider trading after that COVID-19 briefing should immediately resign.\n\nYes, that applies to both parties.	Lee 🧻 Carter	carterforva	80400	false	37637	213853
Thu Mar 19 19:29:31 +0000 2020	1240722087381262337	ICE pretended to be doctors. There are no fucking words. Please donate if you can https://t.co/lE2fQHA2sB	malcriada 🇳🇮 🇸🇻	virgoferreum	1544	false	9334	11436
Thu Mar 19 20:00:42 +0000 2020	1240729932948439045	Bro idk what’s going on but I agree with them. Fuck mini coopers. Small ass cars always looking like a parking spot until you get closer. https://t.co/2864iIPgQX	gigi	gab_delg	2532	false	9347	37826
Tue Mar 24 16:50:08 +0000 2020	1242493913337913345	Our medical professionals are heroes putting their lives on the line to keep our country going. Here's a look at how an ER doctor who already fought on the front lines of one crisis makes it through a day in this one. A good reminder for us to help them out by staying home. https://t.co/ah7vva9776	Barack Obama	BarackObama	116673327	true	70258	134503
Sat Mar 21 23:50:25 +0000 2020	1241512518721376257	president of Slovakia showing up in her corona drip, hand-tailored matching fabric surgical masks..... impeccable https://t.co/PgZB1YvuDs	⌁☍	iatemuggles	80452	false	33729	168767
Wed Mar 18 17:24:37 +0000 2020	1240328267472740352	This episode of Black Mirror is too fucking long https://t.co/3T1jGRE1nq	Mattress Firm Launders Money	confuciusjones	1002	false	16209	34659
Wed Mar 18 19:03:32 +0000 2020	1240353157693177858	This is for CORONA  you big fat white nasty smelling fat bitch why you took me off the motherfuckin schedule with your trifflin dirty white racist ass you big fat bitch oompa loompa body ass bitch I'm coming up there and I'm gonna beat the fuck out of you bitch	lil tori	toriarenee_	1021	false	50505	211422
Mon Mar 23 04:55:03 +0000 2020	1241951568855019521	Bro these the only 3 songs I’m hearing on my TL 😂 lord take this corona away now! https://t.co/trrMoNBfUa	The Koolaid Connoissuer.	iamwilliewill	109114	false	28990	59808
Thu Mar 19 18:39:33 +0000 2020	1240709511226077186	Not all heroes wear capes, sometimes they just wear blanket then netflix n chill for 2 weeks https://t.co/RUFBTG7m1U	¯\\_(ツ)_/¯	Azhad_san	125	false	60093	72068
Fri Mar 20 17:21:35 +0000 2020	1241052280452833281	its always the comfortable spots hits 3G 🥺 https://t.co/2aJZnZRZsU	yuveen🦊	yuveeeeen	218	false	4525	5261
Sun Mar 22 21:16:21 +0000 2020	1241836135195828225	me to corona after finding out she infected harvey weinstein https://t.co/OQVMA6bHk7	kate	fiImsbi	3113	false	25714	137925
Fri Mar 20 07:43:41 +0000 2020	1240906846933790720	Germany is conducting 160k Covid-19 tests a week. It has a total 35k ventilators, 10k ordered to be made by the govt. It has converted a new 1k bed hospital in Berlin. \n\nIt’s death rate is tiny bcos it’s mass testing allows quarantine and bcos it has fewer non reported cases.	lewis bassett	le_bassett	2784	false	26210	123968
Fri Mar 20 04:30:11 +0000 2020	1240858151211028480	People after the covid-19 quarantine  : https://t.co/8KDVUmc9Uw	Jacquès	jacquelinees21	1283	false	31799	48018
Tue Mar 24 19:56:16 +0000 2020	1242540756209774592	Breaking: A child under the age of 18 has died of coronavirus in Los Angeles, public health officials announce, in what is believed to be the first child death from the virus in the US.\n\n“A devastating reminder that COVID-19 infects people of all ages,” LA health official says.	Jon Passantino	passantino	215767	true	23974	54362
Tue Mar 24 14:30:26 +0000 2020	1242458760364175360	Addressing the nation on battling the COVID-19 menace. #IndiaFightsCorona https://t.co/jKyFMOQO5a	Narendra Modi	narendramodi	55912743	true	26852	91724
Thu Mar 19 14:32:19 +0000 2020	1240647292543262721	Y’all dirty mfs brought corona home from Miami &amp; now it’s increased by 88% in 48HRS ....	8:04	TheLifeOfNayy	2585	false	27888	156943
Thu Mar 19 11:09:09 +0000 2020	1240596164178657280	everyone coming out of corona as barista https://t.co/2IoYq1nTg7	zarifuI	zarifulradzuan	239	false	9697	23834
