created_at	id	full_text	user_name	screen_name	followers_count	verified	retweet_count	favorite_count
Sat Mar 21 19:30:08 +0000 2020	1241447017945223169	This is the face of someone who just spent 9 hours in personal protective equipment moving critically ill Covid19 patients around London.\n\nI feel broken - and we are only at the start. I am begging people, please please do social distancing and self isolation #covid19 https://t.co/hs0RQdvsn3	Natalie Silvey (Stay at home - save lives)	silv24	27152	False	126506	445713
Sun Mar 22 08:06:20 +0000 2020	1241637320325029889	Yesterday I knocked on my Tennant's door and told him he can stay in the property rent free for 5 months. He is self employed with 4 kids. I don't need Boris to tell me what is morally correct. Landlords, if you can, do more, do something. #COVID19 #BeNice	Paul Bradshaw	bradshaaaw	3085	False	128634	715158
Mon Mar 23 17:13:35 +0000 2020	1242137430322446344	This is Dr. Usama Riaz. He spent past weeks screening and treating patients with Corona Virus in Pakistan. \n\nHe knew there was no PPE. He persisted anyways.\n\nToday he lost his own battle with coronavirus but he gave life and hope to so many more. \n\nKNOW HIS NAME 😭❤ https://t.co/flSwhLCPmx	StanceGrounded	_SJPeace_	359835	False	119536	331428
Thu Mar 19 16:28:40 +0000 2020	1240676575168921600	So, the last week I have been battling COVID-19 &amp; Pneumonia. Never in my life have I been this ill. “Young people aren’t at risk, they’ll only have mild symptoms” Wrong. \n\nI want to open up about the difficulties I’ve gone through these past days, what it was like in the ICU...	Bradley	bradleyziffer	7346	False	100742	322476
Sat Mar 21 12:14:08 +0000 2020	1241337295606657033	Korea finished developing the 10 minute Covid-19 diagnostic kit and is now ramping up production. They plan to export 300.000 test-kits per week - https://t.co/DpJCph9RT7	Florian Witulski	vaitor	21374	True	89425	196789
Sat Mar 21 18:18:42 +0000 2020	1241429041011478529	tw suicide, COVID-19\n\nHey, so, um, there's a big elephant in the room right now. COVID isn't the only epidemic happening right now - and it's come at a bad, bad time. Not that there's ever a good time.\n\nThere's a mental health epidemic happening, and we're gonna start seeing-	the stablative case	elliottdunstan	3516	False	88884	284776
Fri Mar 20 17:44:00 +0000 2020	1241057919128526856	THREAD: I mostly talk about movies on here, but here goes. We are currently pivoting our factory to solely make surgical masks and other medical garments in short supply. We can make 2 million masks a day, and are looking to help in any way possible during this time. #COVID19 https://t.co/dOX7N3e1GJ	Jeffrey Zhang	strangeharbors	16065	False	79256	391801
Sat Mar 21 06:43:53 +0000 2020	1241254183979765761	I did almost everything right. Worked at home. Saw one friend in the last 10 days. Had a beer for an hour outside a pub, either side of a big table. Fresh air, no contact. Washed my hands 3 times. \n\nStill caught corona from him. \n\nDo not fuck around with this thing.	Geoff Lemon 🍋	geofflemon	9082	False	76400	315373
Sat Mar 21 08:57:46 +0000 2020	1241287878354677760	Please don't take hydroxychloroquine (Plaquenil) plus Azithromycin for #COVID19 UNLESS your doctor prescribes it. Both drugs affect the QT interval of your heart and can lead to arrhythmias and sudden death, especially if you are taking other meds or have a heart condition.	Dr. Edsel Salvana	EdselSalvana	27236	True	71567	142812
Tue Mar 24 15:40:34 +0000 2020	1242476408896507910	My fellow citizens, \n\nTHERE IS ABSOLUTELY NO NEED TO PANIC.\n\nEssential commodities, medicines etc. would be available. Centre and various state governments will work in close coordination to ensure this.\n\nTogether, we will fight COVID-19 and create a healthier India. \n\nJai Hind!	Narendra Modi	narendramodi	55912740	True	71031	271277
Sat Mar 21 06:16:39 +0000 2020	1241247329572683776	This is why the beaches haven't closed in Florida, and why they've had minimal COVID-19 prevention. Absolute dysfunction. https://t.co/8x2tcQeg21	Farbod Esnaashari	Farbod_E	9281	False	61815	169099
Thu Mar 19 12:46:45 +0000 2020	1240620727306510342	This is Generation Z. \n\nI want to name that because folks love calling everybody 40 and under Millennials.\n\nMillennials are not at Spring Break.\n\nMillennials are at home yelling at their Boomer parents who won’t sit still because they have “faith over fear”. https://t.co/byiOhELTJR	Candice Marie Benbow	CandiceBenbow	31569	False	29398	96313
