date,replies_count,retweets_count,likes_count
2020-05-22,73,32,464
2020-05-04,21,33,486
2020-04-24,31,80,846
2020-04-16,28,73,511
2020-04-11,46,221,4294
2020-04-01,60,169,2659
2020-03-27,680,278,10713
2020-05-21,662,1336,11794
2020-05-19,2415,3348,38656
2020-05-05,1510,1893,22763
2020-05-03,793,1763,16008
2020-04-27,1304,2228,18968
2020-04-10,1175,2731,21423
2020-03-24,7858,17731,109046
2020-03-22,239,658,7418
2020-03-22,2730,12295,105526
2020-03-20,3370,12761,81577
2020-03-19,3087,14525,94616
2020-05-07,109,208,2106
2020-04-29,95,107,1569
2020-04-02,394,556,6627
2020-03-31,5,11,127
2020-03-26,31,64,602
2020-05-20,382,1980,11102
2020-05-20,575,2705,15235
2020-05-20,668,2453,13037
2020-05-17,1165,4631,36929
2020-05-14,313,1285,7803
2020-05-13,282,1984,9185
2020-05-13,593,3526,22235
2020-05-13,623,3785,22481
2020-05-12,428,2454,17394
2020-05-08,583,2495,18127
2020-05-08,789,3829,27934
2020-05-07,995,3994,26576
2020-05-06,231,1115,7153
2020-05-03,1107,2243,17547
2020-05-02,412,1537,10805
2020-05-02,811,3758,27666
2020-04-23,1725,5755,32022
2020-04-22,450,2684,16656
2020-04-22,1307,4192,27354
2020-04-22,502,2270,13735
2020-04-21,881,2724,23938
2020-04-20,1565,4129,42197
2020-04-17,1068,3349,23378
2020-04-14,456,2087,14648
2020-04-08,576,1623,8118
2020-04-08,739,2762,17955
2020-04-06,491,2338,15444
2020-04-06,288,1615,10129
2020-04-05,2086,8591,66976
2020-04-05,2782,9742,83883
2020-04-03,775,3818,25486
2020-04-03,2536,6401,42252
2020-04-02,5606,10822,67931
2020-03-29,2997,9481,64625
2020-03-28,1044,2114,13508
2020-03-28,528,1713,11963
2020-03-28,1260,3717,18600
2020-03-28,300,1609,6994
2020-03-28,2226,5942,42575
2020-03-27,629,2203,12920
2020-03-26,1007,2913,17276
2020-03-26,577,2543,14819
2020-03-26,460,2422,14152
2020-03-25,1560,5190,40026
2020-03-25,307,3047,16917
2020-03-24,1352,6105,37218
2020-03-24,2194,8990,59880
2020-03-24,189,1118,6819
2020-03-24,172,1039,5526
2020-03-24,491,2733,17744
2020-03-24,903,4321,26657
2020-03-22,693,4554,30658
2020-03-22,943,5804,43022
2020-03-21,1153,6934,42581
2020-03-21,747,3030,18222
2020-03-21,505,2822,14889
2020-03-21,431,2019,10176
2020-03-21,399,2335,11313
2020-03-19,312,1994,11175
2020-03-19,1789,8590,52364
2020-03-19,430,3713,21776
2020-03-19,271,2242,15160
2020-03-15,770,5235,37110
2020-03-04,442,2973,11614
2020-03-04,1980,8255,49109
2020-03-04,151,1326,5337
2020-03-01,217,1807,7781
2020-03-01,1178,3439,17457
2020-05-01,6295,14117,106031
2020-05-01,439,1229,13491
2020-05-01,260,1223,15775
2020-05-01,297,955,8082
2020-05-01,265,852,7682
2020-05-01,3750,6511,81892
2020-04-25,210,1480,18752
2020-04-25,111,897,8487
2020-04-25,117,1044,9840
2020-03-15,528,5921,47397
2020-03-15,391,2369,25933
2020-03-15,282,351,3269
2020-05-15,2331,4251,42373
2020-05-13,1905,3267,29560
2020-05-12,413,1948,14525
2020-05-09,958,2591,17826
2020-05-09,1844,3979,41749
2020-05-08,1309,3471,31337
2020-04-26,3353,5926,59126
2020-04-22,2303,4922,56365
2020-04-20,6139,6239,45402
2020-04-20,1271,3817,23035
2020-04-20,2837,5979,44464
2020-04-19,3420,6940,53214
2020-04-15,4347,14501,129826
2020-04-09,3141,7847,83816
2020-04-05,6811,13760,114390
2020-03-21,11665,19547,139535
2020-05-20,1807,1409,9074
2020-05-18,2838,2862,18607
2020-05-14,337,1325,13974
2020-05-12,3491,1021,8675
2020-05-01,6623,6829,23893
2020-04-30,16217,6882,29367
2020-04-23,6456,4170,17747
2020-04-15,62758,92190,368836
2020-04-12,2930,1349,8824
2020-04-03,3522,1841,11680
2020-04-02,1851,1466,5515
2020-04-02,440,388,2147
2020-04-02,679,675,2970
2020-04-02,74,225,1464
2020-04-02,45,279,1403
2020-04-02,2457,8579,30695
2020-03-30,1747,6698,18406
2020-03-29,879,2755,8712
2020-03-28,1074,3083,13843
2020-03-28,565,2029,7245
2020-03-27,544,1208,7746
2020-03-26,722,1379,7216
2020-03-26,296,456,2544
2020-03-25,443,1237,5686
2020-03-24,706,1143,6092
2020-03-19,1050,1450,7481
2020-03-18,1858,3851,26494
2020-03-10,1664,3960,21523
2020-05-08,2762,10746,77142
2020-05-17,264,2464,31888
2020-05-11,71,59,1672
2020-05-08,178,694,8794
2020-05-05,98,340,5820
2020-04-26,119,683,10597
2020-04-16,621,2002,19066
2020-04-13,181,79,2687
2020-04-09,105,115,1291
2020-04-07,115,74,1108
2020-03-18,90,577,12080
2020-03-14,107,768,10658
2020-03-13,165,1418,16252
2020-03-12,442,5381,55314
2020-03-07,259,864,11059
2020-04-12,5283,16699,297298
2020-04-04,8024,32337,346157
2020-04-01,5333,22074,301651
2020-03-30,4748,20529,239707
2020-03-20,2345,18577,119462
2020-05-14,27,278,2021
2020-05-04,30,326,2377
2020-04-23,38,325,1958
2020-04-20,372,2157,7444
2020-04-04,34,355,2257
2020-04-02,31,349,1817
2020-03-04,272,2705,12475
2020-05-23,471,453,8975
2020-05-15,1861,4452,46820
2020-05-15,94,42,1177
2020-05-14,1064,2207,22731
2020-05-14,578,1169,8483
2020-05-12,93,84,1604
2020-05-12,3383,35722,391040
2020-05-10,338,269,2507
2020-05-10,484,591,9691
2020-05-07,84,59,2488
2020-05-06,165,147,6261
2020-05-05,568,830,7818
2020-05-04,378,600,14614
2020-05-03,52,33,1072
2020-05-02,168,119,1645
2020-05-02,51,35,973
2020-04-30,7136,20593,101084
2020-04-29,1442,2156,33565
2020-04-26,136,120,1306
2020-04-26,473,1054,8360
2020-04-22,92,125,1592
2020-04-18,162,74,444
2020-04-18,104,79,656
2020-04-13,195,176,4656
2020-04-11,188,160,4154
2020-04-09,98,43,719
2020-03-30,159,92,2454
2020-03-25,74,55,727
2020-03-23,1088,2967,27467
2020-03-22,211,235,4845
2020-03-22,127,184,2241
2020-03-22,104,141,1531
2020-03-22,134,139,916
2020-03-21,357,621,13632
2020-03-19,4370,6018,57043
2020-03-19,1099,1677,16366
2020-03-17,60,56,1114
2020-03-16,1463,2128,13690
2020-03-08,331,436,4064
2020-03-08,902,2352,26957
2020-03-06,43401,298670,1584386
2020-03-01,78,128,1904
2020-05-01,488,2244,17773
2020-04-29,609,2403,17849
2020-05-01,220,581,6089
2020-04-20,239,626,5803
2020-04-04,24,30,305
2020-05-18,43351,187915,694666
2020-05-23,13797,10859,30598
2020-05-22,12489,8364,31285
2020-05-21,2114,8651,76315
2020-05-21,3277,4831,17506
2020-05-21,2934,5722,18603
2020-05-18,5522,9961,42386
2020-05-12,3527,3511,12008
2020-05-05,10188,13579,62552
2020-05-05,2141,2419,7718
2020-05-05,409,523,1775
2020-05-02,16238,18104,125874
2020-05-01,986,832,4989
2020-05-01,615,491,1805
2020-04-28,8092,7884,42768
2020-04-27,1248,1693,6641
2020-04-21,5020,12208,40349
2020-04-20,6197,8610,28264
2020-04-20,562,2061,5969
2020-04-18,1518,1628,7636
2020-04-17,1898,4255,18242
2020-04-15,20657,17095,78812
2020-04-15,2648,4004,22587
2020-04-14,3218,22699,121756
2020-04-10,1407,2727,14383
2020-04-06,2228,2695,8471
2020-04-06,23182,18154,70363
2020-04-05,5443,7487,31274
2020-04-03,2664,1825,6897
2020-04-03,32,313,1275
2020-04-03,182,914,3765
2020-04-03,97,508,1753
2020-04-02,7230,13203,48977
2020-04-01,8415,26723,63250
2020-03-27,26329,34035,191700
2020-03-26,3031,6385,18639
2020-03-21,818,1781,6662
2020-03-21,16602,24321,78666
2020-03-19,1030,4382,9966
2020-03-18,926,3090,19587
2020-03-18,41493,41354,199653
2020-03-16,4838,12964,112659
2020-03-13,6907,37790,135196
2020-03-12,43486,117989,563258
2020-03-11,1337,6386,21426
2020-03-10,5509,30225,163948
2020-03-09,471,1417,10966
2020-05-15,3373,11089,93632
2020-05-14,895,3926,20386
2020-05-14,772,3254,20931
2020-05-09,1237,4258,29369
2020-05-08,854,3580,22620
2020-05-03,6575,17772,110686
2020-05-03,1101,3956,23157
2020-04-20,213,1538,8797
2020-04-17,1635,5445,33949
2020-04-14,1755,6827,38320
2020-04-04,1023,4962,30003
2020-03-20,1502,7645,48205
2020-05-10,85,291,4321
2020-05-03,111,457,5989
2020-05-03,350,1091,17552
2020-05-02,97,370,4555
2020-04-22,137,434,5830
2020-04-20,132,584,5651
2020-04-07,193,722,7049
2020-04-03,186,1410,8654
2020-04-02,129,534,6649
2020-04-01,418,762,10575
2020-04-01,180,946,9346
2020-03-28,599,1303,22326
2020-03-27,1716,3068,30055
2020-03-26,419,1310,30208
2020-03-26,77,306,4260
2020-03-26,139,656,7713
2020-03-26,277,1333,19428
2020-03-26,196,1168,8728
2020-03-24,71,637,7304
2020-03-24,1488,5240,47064
2020-03-11,179,726,5732
2020-05-10,1563,3816,66095
2020-05-05,773,2855,62787
2020-05-02,220,985,13019
2020-04-19,393,1818,22420
2020-04-17,337,1681,22140
2020-04-02,2651,5388,125679
2020-04-01,911,3469,70235
2020-03-30,4002,8670,105587
2020-03-24,472,2953,26282
2020-03-24,1579,12490,105919
2020-03-19,213,3889,31442
2020-03-19,858,11782,89497
2020-03-13,1228,7225,93940
2020-05-21,49,181,1260
2020-05-15,89,76,931
2020-05-11,554,100,1518
2020-05-05,182,275,5834
2020-05-05,451,123,1710
2020-04-27,584,238,3380
2020-04-27,4573,326,4139
2020-04-23,208,130,3155
2020-04-20,413,433,5999
2020-04-20,6341,755,7370
2020-04-13,524,215,3374
2020-04-13,4191,252,4148
2020-04-09,368,2592,15163
2020-04-09,57,164,1468
2020-04-06,480,363,4539
2020-04-06,1120,195,3256
2020-03-31,938,430,6357
2020-03-31,5459,539,6957
2020-03-30,1857,358,6343
2020-03-23,135,167,1649
2020-03-18,451,598,8258
2020-03-18,3197,438,5986
2020-03-02,75,111,1069
2020-05-22,50,85,699
2020-05-20,45,27,250
2020-05-14,40,77,580
2020-05-13,72,110,743
2020-05-12,85,105,1071
2020-05-12,1913,14544,45486
2020-05-12,3471,5789,26397
2020-05-10,124,132,4634
2020-05-09,129,103,911
2020-05-08,287,157,1390
2020-05-08,169,90,663
2020-05-08,14812,14182,79148
2020-05-07,194,279,2325
2020-05-06,25,33,388
2020-05-06,73,276,1618
2020-04-30,47,28,413
2020-04-28,76,269,1822
2020-04-24,76,303,1494
2020-04-22,1447,4667,30940
2020-04-14,22,87,1140
2020-04-14,32,54,442
2020-04-14,33,76,852
2020-04-14,51,60,553
2020-04-13,52,340,2369
2020-04-10,77,27,247
2020-04-09,34,39,453
2020-04-09,61,67,616
2020-04-08,20,72,576
2020-04-08,78,56,700
2020-04-07,42,19,238
2020-04-06,31,117,557
2020-04-03,65,57,439
2020-04-03,41,78,574
2020-04-03,30,27,281
2020-04-01,191,2069,5192
2020-04-01,29,24,262
2020-03-31,37,27,334
2020-03-31,58,56,636
2020-03-30,83,262,2574
2020-03-30,89,781,5688
2020-03-28,205,651,9204
2020-03-28,26,18,221
2020-03-27,51,34,292
2020-03-27,56,44,553
2020-03-26,177,223,765
2020-03-26,348,620,3106
2020-03-25,48,37,324
2020-03-24,10,23,103
2020-03-23,104,150,1306
2020-03-19,106,73,536
2020-03-18,363,330,2616
2020-03-17,283,465,4020
2020-03-16,2205,48101,219826
2020-03-15,86,356,3965
2020-05-03,66,214,2444
2020-05-03,266,1110,12185
2020-04-08,488,1169,12915
2020-04-01,82,152,873
2020-03-24,197,431,3390
2020-03-10,181,579,10258
2020-04-11,116,184,1302
2020-04-05,110,364,3169
2020-05-14,197,291,1452
2020-05-04,2315,7609,44425
2020-05-01,871,6371,25581
2020-05-21,114,423,3403
2020-05-19,354,1089,11228
2020-05-15,618,2332,13733
2020-05-13,361,826,8043
2020-05-05,352,713,6756
2020-04-29,419,854,8890
2020-04-21,396,599,6599
2020-04-14,444,1000,8641
2020-04-07,446,827,7130
2020-04-05,238,542,6088
2020-03-29,296,500,4095
2020-03-23,28,155,856
2020-03-21,500,2956,13089
2020-03-19,368,609,5252
2020-03-17,306,648,6803
2020-03-16,39,145,1278
2020-03-15,126,417,3556
2020-04-24,157,213,4063
2020-03-24,189,478,8187
2020-05-22,36,114,960
2020-05-15,38,46,876
2020-05-14,39,117,1125
2020-05-08,35,57,908
2020-05-07,37,100,869
2020-04-17,61,55,1239
2020-04-14,36,65,925
2020-04-05,30,83,919
2020-04-04,106,91,1570
2020-04-02,14,26,337
2020-03-31,56,71,1518
2020-03-29,810,2768,20220
2020-03-19,30,109,1433
2020-04-30,5,0,34
2020-04-30,33,35,823
2020-04-09,66,183,5592
2020-04-07,146,225,14999
2020-04-02,72,83,1459
2020-03-24,931,3259,48915
2020-03-02,15,26,620
2020-05-22,2435,5370,110462
2020-05-21,176,424,10928
2020-04-29,361,789,21207
2020-04-25,1624,1932,63347
2020-04-24,236,161,3877
2020-04-21,168,414,2921
2020-04-15,30,38,463
2020-04-11,1890,695,22468
2020-04-10,202,264,1667
2020-04-10,167,148,2482
2020-04-09,46,149,3007
2020-04-09,76,108,1139
2020-04-08,331,231,5510
2020-04-06,529,196,3020
2020-04-03,53,61,487
2020-04-03,124,274,3887
2020-04-02,53,87,722
2020-04-01,218,121,1465
2020-03-30,357,91,1056
2020-03-30,434,439,9504
2020-03-30,560,478,10877
2020-03-29,1975,1436,49879
2020-03-28,1638,378,10941
2020-03-27,1945,215,6814
2020-03-27,882,844,12892
2020-03-25,335,214,1301
2020-03-25,543,318,3850
2020-03-25,5411,2529,66563
2020-03-23,2184,2926,45977
2020-03-23,339,91,1906
2020-03-23,516,262,4495
2020-03-18,375,660,20336
2020-03-16,8270,32741,376942
2020-05-20,384,353,8576
2020-04-26,419,3361,36832
2020-03-21,663,2342,51034
2020-03-19,590,4010,35856
2020-05-03,554,1503,48844
2020-03-17,1230,8673,97350
2020-05-05,901,1968,10907
2020-04-17,1454,3502,25330
2020-04-17,615,2588,15196
2020-04-13,2220,3984,27175
2020-04-13,601,3269,19909
2020-04-13,1344,6457,33715
2020-04-07,824,4579,19757
2020-04-02,1050,3652,20580
2020-05-17,1756,5244,40247
2020-05-13,2248,6856,52998
2020-05-03,860,3760,30325
2020-05-01,1393,5493,42950
2020-04-26,2785,9057,53495
2020-04-20,1629,6884,42432
2020-04-18,615,4511,24816
2020-04-18,997,3957,28250
2020-04-14,1350,5803,31345
2020-03-25,3805,12482,54611
2020-05-15,117,641,3825
2020-04-24,242,490,2199
2020-04-22,75,350,2016
2020-04-02,8863,19385,121128
2020-05-01,228,657,4880
2020-04-20,163,375,2242
2020-04-17,109,226,1518
2020-04-16,50,203,1279
2020-04-15,51,201,1350
2020-04-14,90,228,1464
2020-04-05,160,510,2961
2020-03-31,28,195,1039
2020-03-28,100,270,1489
2020-03-19,46,235,1558
2020-03-18,90,334,1970
2020-03-18,243,4603,35645
2020-03-15,501,11237,72569
2020-03-14,1227,66481,344959
2020-05-25,1687,4792,45420
2020-05-25,1600,6588,72022
2020-05-23,1394,4693,44596
2020-05-23,1093,5126,45977
2020-05-15,1690,4898,44152
2020-05-14,3449,10449,77730
2020-05-12,1174,6019,29208
2020-05-12,2014,8262,64522
2020-05-11,3914,7927,61153
2020-05-10,2693,7840,63981
2020-05-08,2269,6362,56485
2020-05-07,1510,5463,47165
2020-05-06,2317,6437,63926
2020-05-05,1888,4625,36356
2020-05-05,2844,8015,60000
2020-05-03,6766,17513,95798
2020-05-02,1053,3438,27503
2020-05-02,1679,5509,50440
2020-05-01,896,4561,33148
2020-05-01,2039,7636,61452
2020-04-30,1166,4739,46221
2020-04-30,843,3223,30826
2020-04-30,3195,14435,94923
2020-04-30,1461,5956,65918
2020-04-29,1135,7655,46509
2020-04-29,1498,6656,74252
2020-04-28,2742,8693,85579
2020-04-28,1016,3818,27073
2020-04-28,1883,5672,50866
2020-04-27,4134,7034,60310
2020-04-26,672,2903,17117
2020-04-26,1393,4203,25365
2020-04-26,590,2839,15400
2020-04-25,1286,4492,38929
2020-04-24,15776,24125,206475
2020-04-24,2333,6834,55134
2020-04-23,1832,6665,58958
2020-04-22,1491,8310,59806
2020-04-22,616,3676,25084
2020-04-22,783,4569,34973
2020-04-22,4907,16389,106925
2020-04-21,4402,14985,114461
2020-04-21,948,3037,22160
2020-04-20,3369,11162,95123
2020-04-20,1723,6485,48760
2020-04-20,1557,5029,49269
2020-04-19,2416,7123,48040
2020-04-18,2697,6576,50121
