retweet_count,favorite_count,user_followers_count,date
2,6,1498,2020-03-13
0,0,235,2020-03-15
3,23,2691,2020-03-12
11,12,7085,2020-03-17
0,0,1353,2020-03-09
0,1,130,2020-03-23
0,0,5035,2020-03-28
0,1,6723,2020-04-07
0,0,5035,2020-04-02
0,0,3628,2020-03-24
0,1,944,2020-03-09
1,5,870,2020-03-10
0,0,3421,2020-05-23
0,0,2529,2020-05-01
6,23,2934,2020-03-09
0,2,320,2020-03-20
8,31,360569,2020-03-11
5,9,457,2020-03-09
0,7,228,2020-03-15
0,0,747,2020-03-14
0,5,920,2020-03-24
0,0,2101,2020-03-09
0,0,7,2020-05-24
2,8,10127,2020-05-24
0,0,140,2020-03-13
0,5,80083,2020-03-16
0,0,696,2020-03-21
0,0,40,2020-04-10
2,3,1072,2020-03-19
0,2,503,2020-03-13
0,1,2183,2020-03-16
5,13,69348,2020-04-08
0,0,7,2020-05-24
0,1,1429,2020-03-16
0,0,30,2020-03-25
0,2,997,2020-03-14
7,20,12844,2020-04-03
0,0,7843,2020-03-25
0,0,1801,2020-05-22
0,0,1903,2020-03-13
1,1,2484,2020-03-23
0,0,163,2020-03-18
0,1,165,2020-03-29
0,7,839,2020-05-22
0,0,1111,2020-03-19
0,2,145,2020-03-09
0,5,25,2020-03-09
1,5,250,2020-03-29
0,2,464,2020-03-28
0,0,591,2020-03-16
0,0,3552,2020-03-14
1,0,279,2020-03-22
1,2,19398,2020-03-09
0,0,196,2020-03-09
4,4,3369,2020-03-11
0,0,470,2020-03-12
0,1,363,2020-03-11
0,1,414,2020-05-24
0,0,10,2020-05-22
0,0,1050,2020-03-09
0,0,3552,2020-03-14
0,0,897,2020-05-24
5,21,5641,2020-03-10
1,1,12094,2020-03-09
0,0,33,2020-05-22
0,0,60,2020-05-23
0,1,5035,2020-03-27
2,3,1801,2020-03-13
1,0,3017,2020-03-23
0,1,12325,2020-03-29
1,0,114,2020-03-27
0,4,2526,2020-03-15
0,0,10,2020-05-23
0,4,661,2020-03-09
3,7,11419,2020-03-20
10,66,66473,2020-03-15
1,0,25,2020-03-12
0,0,250,2020-05-25
0,0,407,2020-05-25
4,3,4193,2020-05-25
0,0,16825,2020-05-25
0,1,1399,2020-03-09
0,0,8269,2020-05-23
0,0,722,2020-05-19
0,0,130,2020-03-13
0,0,8,2020-03-15
0,0,445,2020-05-24
0,0,45,2020-03-29
0,0,7,2020-05-25
0,1,2486,2020-05-25
0,0,7,2020-05-25
4,4,25583,2020-05-06
0,2,323,2020-05-24
0,0,336,2020-04-03
0,1,405,2020-03-29
0,0,2486,2020-05-25
0,1,7,2020-05-25
0,0,1324,2020-03-16
0,0,459,2020-03-18
0,0,89,2020-03-14
0,0,2840,2020-03-16
0,0,7,2020-05-25
1,5,31354,2020-05-23
0,0,7,2020-05-25
0,0,7,2020-05-25
1,6,21074,2020-03-24
0,1,7,2020-05-25
0,0,8,2020-03-15
0,0,0,2020-05-24
93,272,66673,2020-03-20
0,1,2375,2020-05-18
4,10,142,2020-03-29
1,8,278,2020-03-12
0,1,266,2020-03-29
0,0,44,2020-03-13
0,1,120,2020-03-29
0,0,1235,2020-03-29
0,0,37,2020-04-24
0,1,7,2020-05-25
0,0,2486,2020-05-25
1,8,4522,2020-03-24
1,1,326,2020-03-24
0,0,226,2020-05-16
36,356,27373,2020-03-24
0,0,1885,2020-03-15
0,0,3240,2020-03-13
0,0,1791,2020-03-10
1,1,2828,2020-03-13
0,0,668,2020-03-13
0,21,2324,2020-03-16
0,0,284,2020-03-14
0,0,85,2020-03-17
5,3,27221,2020-03-11
0,1,4180,2020-03-15
0,0,125,2020-03-13
0,0,1607,2020-03-17
0,0,1797,2020-03-09
0,0,348,2020-03-09
0,1,146,2020-03-10
10,100,43004,2020-03-12
0,0,25,2020-03-14
0,1,3363,2020-03-13
0,0,6846,2020-03-09
0,0,1601,2020-03-15
0,3,44,2020-03-09
0,0,385,2020-03-15
