date,replies_count,retweets_count,likes_count
2020-05-25,71,225,470
2020-05-25,2,9,2
2020-05-24,135,779,1350
2020-05-24,103,634,982
2020-05-23,43,179,319
2020-05-23,139,717,1145
2020-05-23,31,131,205
2020-05-23,40,133,356
2020-05-23,51,266,527
2020-05-22,21,127,183
2020-05-22,31,109,199
2020-05-22,6,51,146
2020-05-22,68,267,423
2020-05-22,53,447,768
2020-05-22,39,194,297
2020-05-22,29,159,207
2020-05-21,6,50,93
2020-05-21,63,310,398
2020-05-21,11,95,142
2020-05-21,16,212,226
2020-05-20,61,205,241
2020-05-20,212,444,596
2020-05-20,66,643,979
2020-05-20,16,50,126
2020-05-20,18,178,251
2020-05-20,9,111,130
2020-05-19,14,91,200
2020-05-19,94,1086,1580
2020-05-19,77,255,375
2020-05-19,127,956,1230
2020-05-19,17,141,198
2020-05-19,11,89,139
2020-05-18,12,80,132
2020-05-18,13,73,175
2020-05-18,99,657,838
2020-05-18,64,339,496
2020-05-18,12,71,135
2020-05-18,12,105,174
2020-05-17,189,982,1581
2020-05-17,40,198,351
2020-05-17,208,1473,2031
2020-05-17,75,778,896
2020-05-16,50,240,311
2020-05-16,128,797,1285
2020-05-16,28,507,768
2020-05-15,70,193,441
2020-05-15,52,227,258
2020-05-15,38,259,389
2020-05-15,21,185,248
2020-05-15,18,119,190
2020-05-15,24,195,273
2020-05-15,14,51,118
2020-05-15,108,481,586
2020-05-14,279,1824,2725
2020-05-14,32,161,262
2020-05-14,39,684,873
2020-05-14,14,91,122
2020-05-13,233,537,685
2020-05-13,18,133,168
2020-05-13,24,108,315
2020-05-13,10,59,104
2020-05-13,18,179,249
2020-05-12,96,1046,1335
2020-05-12,16,82,166
2020-05-12,71,605,691
2020-05-12,21,70,139
2020-05-12,54,231,464
2020-05-12,60,517,734
2020-05-12,19,73,128
2020-05-11,15,108,136
2020-05-11,201,650,1529
2020-05-11,8,43,105
2020-05-11,25,104,145
2020-05-11,8,53,111
2020-05-11,18,203,264
2020-05-11,40,177,275
2020-05-11,16,217,262
2020-05-10,45,135,316
2020-05-09,67,352,573
2020-05-09,30,120,224
2020-05-08,64,299,556
2020-05-08,7,97,93
2020-05-08,2,18,40
2020-05-08,12,73,149
2020-05-08,58,329,667
2020-05-08,39,167,224
2020-05-08,64,435,602
2020-05-07,77,363,517
2020-05-07,25,212,313
2020-05-07,39,327,369
2020-05-07,40,77,217
2020-05-06,314,669,967
2020-05-06,11,34,67
2020-05-06,41,248,331
2020-05-06,57,427,736
2020-05-06,37,161,229
2020-05-06,111,481,1007
2020-05-05,1,2,0
2020-05-05,68,385,557
2020-05-05,22,113,191
2020-05-05,31,417,683
2020-05-05,20,216,284
2020-05-05,0,0,0
2020-05-04,38,111,232
2020-05-04,8,42,113
2020-05-04,133,1049,1364
2020-05-04,36,315,370
2020-05-04,12,68,130
2020-05-04,182,605,1687
2020-05-03,102,380,477
2020-05-03,116,624,1073
2020-05-03,161,846,1483
2020-05-03,28,145,244
2020-05-02,142,1021,1727
2020-05-02,34,80,222
2020-05-02,35,159,327
2020-05-01,54,156,288
2020-05-01,563,2347,7602
2020-05-01,87,306,479
2020-05-01,29,103,150
2020-05-01,51,175,332
2020-04-30,137,1272,1666
2020-04-30,13,123,213
2020-04-30,32,379,478
2020-04-30,158,496,1340
2020-04-30,12,60,160
2020-04-30,6,77,151
2020-04-29,301,785,1105
2020-04-29,34,362,412
2020-04-29,18,221,280
2020-04-29,57,658,979
2020-04-29,29,188,283
2020-04-28,46,441,571
2020-04-28,39,239,292
2020-04-27,20,121,177
2020-04-27,180,1770,2451
2020-04-27,37,264,300
2020-04-27,22,125,210
2020-04-27,17,161,228
2020-04-26,83,299,458
2020-04-26,59,323,457
2020-04-26,99,536,1114
2020-04-25,59,387,656
2020-04-25,164,1696,2566
2020-04-25,57,199,339
2020-04-24,420,1859,6405
2020-04-24,389,2128,6753
2020-04-24,137,398,830
2020-04-24,15,150,605
2020-04-24,227,1559,5503
2020-04-23,277,1688,5839
2020-04-23,514,2700,7637
2020-04-23,244,1337,5742
2020-04-23,482,2029,7151
2020-04-22,276,337,572
2020-04-22,486,1635,6595
2020-04-22,38,421,569
2020-04-22,7,72,116
2020-04-22,39,287,429
2020-04-22,66,637,988
2020-04-22,14,73,156
2020-04-22,520,1614,7211
2020-04-21,74,555,953
2020-04-21,94,631,879
2020-04-21,29,242,385
2020-04-21,1048,2063,8805
2020-04-21,18,162,250
2020-04-21,27,362,446
2020-04-20,16,261,323
2020-04-20,17,347,470
2020-04-20,15,120,240
2020-04-19,202,733,2056
2020-04-18,137,1024,1452
2020-04-18,22,218,347
2020-04-18,41,159,306
2020-04-18,65,271,376
2020-04-17,186,602,1660
2020-04-17,13,156,224
2020-04-17,7,54,96
2020-04-17,48,316,431
2020-04-16,23,62,124
2020-04-16,142,472,1628
2020-04-16,41,630,965
2020-04-16,7,112,203
2020-04-16,9,124,182
2020-04-16,32,239,328
2020-04-16,10,50,93
2020-04-16,31,341,337
2020-04-15,17,79,146
2020-04-15,24,166,259
2020-04-15,233,416,557
2020-04-15,79,1096,1200
2020-04-15,34,230,325
2020-04-15,25,125,242
2020-04-14,46,152,237
2020-04-14,37,216,343
2020-04-14,268,2092,4114
2020-04-14,26,195,374
2020-04-14,13,112,210
2020-04-14,14,149,204
2020-04-14,44,278,424
2020-04-13,333,2171,3788
2020-04-13,42,351,496
2020-04-13,35,294,467
2020-04-13,52,140,245
2020-04-12,98,569,996
2020-04-12,21,263,459
2020-04-12,67,394,688
2020-04-11,64,282,486
2020-04-11,44,142,279
2020-04-11,48,343,490
2020-04-11,98,460,1596
2020-04-10,76,232,325
2020-04-10,112,652,1408
2020-04-10,32,275,450
2020-04-10,29,213,302
2020-04-10,51,357,557
2020-04-10,65,1045,1380
2020-04-10,30,141,227
2020-04-10,26,256,300
2020-04-10,33,128,273
