date,replies_count,retweets_count,likes_count
2020-05-19,50,232,1130
2020-05-17,49,18,959
2020-05-17,274,135,5175
2020-05-15,128,539,1405
2020-05-09,55,91,1749
2020-04-26,46,39,372
2020-04-22,14,61,155
2020-04-15,40,350,1367
2020-04-13,114,196,1423
2020-04-10,4,1,67
2020-04-03,1,1,42
2020-04-03,26,158,553
2020-04-01,17,131,475
2020-03-31,52,488,1376
2020-03-31,32,17,365
2020-03-31,3,0,5
2020-03-25,2,1,5
2020-03-24,33,73,264
2020-03-21,91,504,1748
2020-03-19,155,2019,7898
2020-03-19,57,85,385
2020-03-19,7,7,163
2020-03-19,28,15,496
2020-03-19,107,100,1497
2020-03-16,32,127,542
2020-03-16,961,1376,21267
2020-03-15,50,571,2768
2020-03-15,26,148,728
2020-03-13,574,6093,25309
2020-03-11,20,62,449
2020-03-10,247,1423,7843
2020-03-10,52,332,1927
2020-05-25,436,1017,10292
2020-05-21,199,321,2257
2020-05-17,150,1070,5795
2020-05-17,2582,9025,64324
2020-05-14,116,348,1781
2020-05-14,19,179,849
2020-05-12,19,135,782
2020-05-11,55,213,1359
2020-05-08,21,91,624
2020-05-07,38,337,1077
2020-05-07,372,2272,13451
2020-05-06,23,160,829
2020-05-05,58,321,2182
2020-05-04,92,238,1009
2020-05-03,315,1319,10119
2020-05-03,31,146,796
2020-05-03,92,553,2286
2020-05-01,486,2966,17446
2020-05-01,383,3142,14969
2020-04-30,43,199,1493
2020-04-27,32,162,2135
2020-04-27,898,6287,20538
2020-04-24,209,1911,4227
2020-04-22,128,624,2142
2020-04-21,509,824,12224
2020-04-21,15,44,457
2020-04-21,121,651,2529
2020-04-19,207,873,7906
2020-04-18,276,1800,12991
2020-04-17,46,292,1393
2020-04-16,73,387,2281
2020-04-15,88,235,4641
2020-04-14,39,156,1269
2020-04-12,100,808,5524
2020-04-12,128,1450,12839
2020-04-11,35,286,1688
2020-04-09,85,587,3248
2020-04-09,2886,15894,70999
2020-04-09,66,298,1932
2020-04-08,118,544,3913
2020-04-07,55,490,2512
2020-04-07,46,295,1400
2020-04-07,104,735,3130
2020-04-07,11,56,304
2020-04-05,9,55,323
2020-04-04,344,1453,35045
2020-04-03,5,10,116
2020-04-02,56,387,3949
2020-04-01,349,785,3830
2020-03-31,379,2380,15623
2020-03-27,4,11,212
2020-03-27,307,1937,21425
2020-03-25,15,225,2124
2020-03-25,133,1662,6254
2020-03-24,395,765,10489
2020-03-23,4201,27968,212749
2020-03-22,442,2196,14225
2020-03-20,359,2462,12550
2020-03-20,4,38,259
2020-03-20,4,98,411
2020-03-19,3751,81201,464191
2020-03-19,188,750,9887
2020-03-16,417,3226,19282
2020-03-15,145,198,3722
2020-03-15,496,1809,16810
2020-03-15,122,445,4582
2020-03-15,120,331,4412
2020-03-15,278,1638,12073
2020-03-15,370,2204,14602
2020-03-14,2125,3654,23427
2020-03-12,188,1483,7493
2020-03-12,1073,3015,46088
2020-03-12,339,894,7653
2020-03-10,483,3913,34845
2020-03-09,262,723,8541
2020-03-07,2705,9357,64435
2020-03-07,38,61,1091
2020-03-07,86,342,3273
2020-03-06,3,17,152
2020-03-05,197,1526,9509
2020-05-23,1128,3156,27200
2020-05-19,493,4667,19679
2020-05-13,291,535,6363
2020-05-12,213,4576,13121
2020-05-12,971,3890,17848
2020-05-11,236,562,5323
2020-05-08,260,278,1381
2020-05-07,446,1934,15573
2020-05-07,2499,41663,193756
2020-05-06,3486,9882,51903
2020-05-01,241,920,5729
2020-04-30,1013,5497,27485
2020-04-28,6873,36705,194969
2020-04-28,912,5280,25111
2020-04-27,366,473,2301
