date,replies_count,retweets_count,likes_count
2020-05-25,16,21,82
2020-05-25,10,31,88
2020-05-25,60,549,3659
2020-05-25,50,60,262
2020-05-25,45,82,149
2020-05-25,14,57,126
2020-05-25,42,84,157
2020-05-25,49,162,397
2020-05-25,27,80,144
2020-05-25,13,15,49
2020-05-25,41,70,182
2020-05-25,51,68,161
2020-05-25,25,45,71
2020-05-25,18,40,68
2020-05-25,46,110,175
2020-05-25,78,250,334
2020-05-25,24,50,138
2020-05-25,152,162,302
2020-05-25,24,102,501
2020-05-25,39,108,416
2020-05-25,19,53,83
2020-05-25,32,99,213
2020-05-25,56,77,223
2020-05-25,26,166,194
2020-05-25,110,266,501
2020-05-25,43,92,326
2020-05-25,83,258,1208
2020-05-25,58,530,2672
2020-05-25,216,1061,5172
2020-05-25,9,15,22
2020-05-25,27,32,73
2020-05-25,17,117,176
2020-05-25,44,68,207
2020-05-25,114,136,300
2020-05-25,3,21,89
2020-05-25,33,32,94
2020-05-25,93,95,259
2020-05-25,13,38,53
2020-05-25,39,17,47
2020-05-25,36,44,85
2020-05-25,5,45,151
2020-05-25,11,36,102
2020-05-25,13,34,79
2020-05-25,236,176,366
2020-05-25,27,20,51
2020-05-25,18,14,52
2020-05-25,3,27,68
2020-05-25,8,24,47
2020-05-25,6,8,35
2020-05-25,53,88,184
2020-05-25,12,54,296
2020-05-25,35,108,123
2020-05-25,12,32,55
2020-05-25,189,68,200
2020-05-25,224,876,5251
2020-05-25,6,16,91
2020-05-25,46,449,2882
2020-05-25,15,67,262
2020-05-25,31,263,494
2020-05-25,68,127,202
2020-05-25,64,230,769
2020-05-25,33,114,275
2020-05-25,17,66,141
2020-05-25,7,64,269
2020-05-24,11,39,116
2020-05-24,73,86,131
2020-05-24,13,54,89
2020-05-24,14,25,88
2020-05-24,21,70,117
2020-05-24,37,103,154
2020-05-24,4,15,28
2020-05-24,2700,17847,106505
2020-05-24,13,32,80
2020-05-24,32,86,139
2020-05-24,44,36,220
2020-05-24,49,103,132
2020-05-24,25,31,117
2020-05-24,17,86,372
2020-05-24,18,34,68
2020-05-24,78,80,195
2020-05-24,149,409,550
2020-05-24,16,33,112
2020-05-24,30,130,312
2020-05-24,38,344,903
2020-05-24,19,91,118
2020-05-24,16,24,91
2020-05-24,17,26,61
2020-05-24,16,45,103
2020-05-24,13,25,63
2020-05-24,9,24,47
2020-05-24,15,35,77
2020-05-24,134,351,1604
2020-05-24,29,71,117
2020-05-24,11,65,262
2020-05-24,38,80,162
2020-05-24,26,42,100
2020-05-24,23,43,133
2020-05-24,34,85,208
2020-05-24,114,37,93
2020-05-24,39,31,76
2020-05-24,50,23,67
2020-05-24,20,19,60
2020-05-24,15,55,179
2020-05-24,51,83,153
2020-05-24,47,121,266
2020-05-24,34,71,149
2020-05-24,11,40,118
2020-05-24,18,84,270
2020-05-23,105,70,153
2020-05-23,7,27,297
2020-05-23,22,23,80
2020-05-23,9,33,100
2020-05-23,23,39,114
2020-05-23,31,65,172
2020-05-23,6,24,56
2020-05-23,27,33,125
2020-05-23,9,20,50
2020-05-23,4,19,58
2020-05-23,9,27,71
2020-05-23,20,37,83
2020-05-23,20,31,56
2020-05-23,49,462,1283
2020-05-23,45,67,223
2020-05-23,11,22,43
2020-05-23,67,72,191
2020-05-23,29,75,209
2020-05-23,20,13,48
2020-05-23,148,539,1780
2020-05-23,6,31,58
2020-05-23,18,78,376
2020-05-23,106,185,391
2020-05-23,10,64,210
2020-05-23,20,32,94
2020-05-23,44,105,175
2020-05-23,2,9,25
2020-05-23,31,329,1561
2020-05-23,29,30,96
2020-05-23,41,147,273
2020-05-23,33,71,173
2020-05-23,136,104,312
2020-05-23,18,38,133
2020-05-23,27,86,166
2020-05-22,41,37,90
2020-05-22,7,36,84
2020-05-22,100,28,129
2020-05-22,18,70,331
2020-05-22,20,34,100
2020-05-22,13,39,108
2020-05-22,205,259,833
2020-05-22,14,23,58
2020-05-22,22,37,110
2020-05-22,9,44,174
2020-05-22,14,43,74
2020-05-22,12,21,61
2020-05-22,4,20,41
2020-05-22,46,359,927
2020-05-22,14,126,360
2020-05-22,15,30,132
2020-05-22,24,53,82
2020-05-22,44,30,107
2020-05-22,18,36,79
2020-05-22,27,32,182
2020-05-22,18,21,74
2020-05-22,17,84,136
2020-05-22,7,69,92
2020-05-22,15,28,57
2020-05-22,9,25,62
2020-05-22,24,102,273
