date,replies_count,retweets_count,likes_count
2020-05-07,25,76,336
2020-05-01,79,606,3317
2020-04-21,6,15,66
2020-04-20,0,8,12
2020-04-17,6,22,64
2020-04-16,3,6,89
2020-04-15,0,5,19
2020-04-14,71,118,2124
2020-04-14,57,6,143
2020-04-09,18,78,576
2020-04-07,1,0,0
2020-04-04,4,19,53
2020-04-01,43,224,816
2020-03-26,0,6,12
2020-03-26,3,23,252
2020-03-24,3,14,89
2020-03-22,43,393,1859
2020-03-16,9,19,362
2020-03-13,24,142,1037
2020-03-09,148,205,3185
2020-05-23,7155,848,4498
2020-05-22,1872,464,2177
2020-05-21,2824,1394,15995
2020-05-21,1319,803,4889
2020-05-15,1212,895,7197
2020-05-14,3947,2687,30751
2020-05-12,926,655,3658
2020-05-10,60,151,564
2020-05-10,155,146,637
2020-05-10,50,105,539
2020-05-10,60,97,429
2020-05-10,70,107,492
2020-05-10,1922,1184,4386
2020-05-10,1572,926,4565
2020-05-10,3222,2613,10127
2020-05-10,22720,5918,21893
2020-05-08,568,454,4390
2020-05-08,1751,1991,13997
2020-05-07,1864,1730,19247
2020-05-07,2186,1432,10153
2020-05-07,2703,1481,16536
2020-05-06,1415,747,6225
2020-05-06,2804,1733,17911
2020-05-05,2827,2729,23665
2020-05-04,1307,1538,11869
2020-05-04,763,919,8557
2020-05-03,151,261,2788
2020-05-02,945,1125,9264
2020-05-01,3061,5073,42073
2020-04-30,2359,2694,32152
2020-04-28,1172,1182,8134
2020-04-28,4313,3533,38901
2020-04-27,2481,3576,24045
2020-04-12,26965,53847,245653
2020-04-06,26708,15330,165746
2020-04-05,3684,3097,29406
2020-04-05,1527,2017,14140
2020-04-05,4004,8493,62421
2020-04-03,752,1296,5373
2020-04-03,4639,6672,32710
2020-04-03,873,2610,19281
2020-04-02,3104,4060,37378
2020-04-02,1237,1459,6646
2020-04-02,2780,4528,18420
2020-04-01,5949,4274,23843
2020-04-01,3486,2565,22427
2020-03-31,472,833,7035
2020-03-31,2901,2727,20775
2020-03-30,865,1760,16042
2020-03-30,1800,1895,20111
2020-03-29,4564,5246,35623
2020-03-28,3060,3324,26632
2020-03-27,53572,118049,350695
2020-03-26,8866,20118,136234
2020-03-26,1026,1711,10577
2020-03-25,2223,2963,20703
2020-03-25,783,1160,4056
2020-03-25,412,1252,3173
2020-03-25,465,954,4449
2020-03-24,1990,4590,34958
2020-03-24,1005,970,8608
2020-03-24,1150,1415,8084
2020-03-23,7213,14351,53285
2020-03-23,824,2141,8630
2020-03-23,4637,11124,40637
2020-03-22,3580,6880,23445
2020-03-22,1926,10974,13566
2020-03-22,5800,10254,38765
2020-03-22,892,1959,6883
2020-03-21,1442,3992,16689
2020-03-21,496,1728,8918
2020-03-21,3803,5301,14032
2020-03-20,3040,11451,37537
2020-03-20,655,1844,8455
2020-03-20,725,1101,6176
2020-03-20,775,1176,6677
2020-03-19,1591,1568,10387
2020-03-19,5098,7389,76024
2020-03-19,1932,1445,9248
2020-03-18,245,524,1266
2020-03-18,2800,1830,9552
2020-03-18,1372,1136,6301
2020-03-17,1844,1485,9513
2020-03-17,397,604,1379
2020-03-17,822,720,1780
2020-03-16,1906,1710,5985
2020-03-13,2160,2457,6516
2020-03-13,6379,2512,13057
2020-03-12,1210,1623,4163
2020-03-11,563,350,1212
2020-03-11,1553,2519,6959
2020-03-02,1217,828,3512
2020-03-01,1363,1365,8065
2020-03-27,3185,2633,7244
2020-03-24,2064,2204,6987
2020-03-10,4082,2199,11787
2020-05-25,237,1616,4832
2020-05-25,1392,5412,20160
2020-05-24,204,3384,5279
2020-05-24,602,3616,16451
2020-05-24,706,7816,16533
2020-05-23,244,2431,6593
2020-05-22,141,1280,2740
2020-05-22,509,2419,7045
2020-05-22,639,4032,12732
2020-05-21,307,3039,6684
2020-05-21,576,3985,15826
2020-05-21,1042,3548,10388
2020-05-20,3370,2276,3092
2020-05-20,204,1906,3882
2020-05-19,689,8623,31527
2020-05-19,1295,13219,33535
2020-05-19,131,710,1821
2020-05-17,355,1778,6067
2020-05-17,338,2379,6650
2020-05-17,530,4388,17678
2020-05-15,2518,6076,15992
2020-05-15,299,4783,10208
2020-05-15,1605,9065,30403
2020-05-14,528,4345,21090
2020-05-14,538,1426,3772
2020-05-14,1093,8441,17384
2020-05-14,254,3333,7733
2020-05-14,2281,12782,39507
2020-05-13,222,1227,3778
2020-05-12,411,8630,19903
2020-05-12,675,7958,12797
2020-05-12,1027,4916,8169
2020-05-11,710,3666,10198
2020-05-11,356,3283,9499
2020-05-10,3038,12339,62080
2020-05-10,56,322,655
2020-05-10,502,3138,11282
2020-05-09,1693,9010,21032
2020-05-08,303,3214,6514
2020-05-07,439,3205,8164
2020-05-07,414,3516,10641
2020-05-07,320,1066,3303
2020-05-07,422,5973,13963
2020-05-07,622,4575,13724
2020-05-06,250,1318,3496
2020-05-06,180,1709,4139
2020-05-05,151,1278,3197
2020-05-05,621,1988,4983
2020-05-04,1252,9856,32914
2020-05-03,110,407,1107
2020-05-03,235,1601,6296
2020-05-03,272,2390,5282
2020-05-03,793,1415,3915
2020-05-02,204,1747,3442
2020-05-02,545,5581,15106
2020-05-01,224,3606,7747
2020-04-30,110,808,1904
2020-04-30,510,3610,12180
2020-04-30,266,2395,5056
2020-04-30,166,2438,4173
2020-04-30,137,1188,2914
