date,replies_count,retweets_count,likes_count
2020-05-25,401,67,237
2020-05-25,1009,1237,1666
2020-05-25,657,125,365
2020-05-25,83,86,285
2020-05-25,35,108,210
2020-05-25,225,641,698
2020-05-25,31,134,257
2020-05-24,165,163,159
2020-05-24,126,1221,3240
2020-05-24,426,185,245
2020-05-24,55,75,281
2020-05-24,134,59,112
2020-05-24,27,92,323
2020-05-24,242,506,553
2020-05-24,129,258,1462
2020-05-24,31,33,160
2020-05-24,108,36,163
2020-05-24,24,45,131
2020-05-23,576,248,435
2020-05-23,52,138,458
2020-05-23,43,228,670
2020-05-23,188,191,241
2020-05-23,64,90,228
2020-05-23,32,86,244
2020-05-23,188,277,998
2020-05-23,13,22,76
2020-05-22,41,46,151
2020-05-22,6,13,36
2020-05-22,19,33,66
2020-05-22,30,102,346
2020-05-22,68,307,742
2020-05-22,11,64,194
2020-05-22,102,172,317
2020-05-22,15,27,43
2020-05-22,66,50,113
2020-05-21,18,77,403
2020-05-21,19,88,331
2020-05-21,18,78,403
2020-05-21,31,37,80
2020-05-21,42,146,415
2020-05-21,35,97,161
2020-05-21,40,83,125
2020-05-21,14,67,225
2020-05-21,29,137,615
2020-05-21,37,126,188
2020-05-21,21,39,58
2020-05-20,18,34,77
2020-05-20,81,434,1255
2020-05-20,53,137,458
2020-05-20,5,16,41
2020-05-20,15,37,131
2020-05-20,85,409,1274
2020-05-20,21,72,168
2020-05-20,116,56,140
2020-05-20,54,157,235
2020-05-20,30,37,89
2020-05-20,58,91,106
2020-05-20,17,16,41
2020-05-20,22,58,216
2020-05-20,57,434,1483
2020-05-20,26,152,609
2020-05-19,93,61,145
2020-05-19,23,66,242
2020-05-19,103,340,452
2020-05-19,219,182,235
2020-05-19,36,63,176
2020-05-19,13,70,218
2020-05-19,358,360,444
2020-05-19,51,180,871
2020-05-19,41,163,553
2020-05-19,20,76,287
2020-05-18,42,121,291
2020-05-18,268,105,253
2020-05-18,13,68,338
2020-05-18,1438,240,847
2020-05-18,62,97,324
2020-05-18,9,55,163
2020-05-18,54,406,1260
2020-05-18,141,345,1341
2020-05-18,99,208,534
2020-05-18,24,74,177
2020-05-18,168,88,233
2020-05-18,24,28,104
2020-05-18,51,72,194
2020-05-18,160,28,83
2020-05-18,78,174,380
2020-05-18,24,75,177
2020-05-18,60,330,1061
2020-05-18,75,514,1489
2020-05-17,100,558,1932
2020-05-17,79,38,79
2020-05-17,26,81,128
2020-05-17,85,233,384
2020-05-17,181,400,1299
2020-05-17,129,97,337
2020-05-17,8,29,138
2020-05-17,21,104,397
2020-05-17,41,165,436
2020-05-17,59,142,535
2020-05-17,141,497,1385
2020-05-17,16,44,207
2020-05-17,105,213,294
2020-05-16,456,71,190
2020-05-16,101,151,175
2020-05-16,70,93,188
2020-05-16,130,970,2524
