id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1397288882299969541,1397288882299969541,2021-05-25 20:30:04 UTC,2021-05-25,20:30:04,+0000,146569971,cdcgov,CDC,,#COVID19 hospital admissions are declining in most age groups across the U.S. The New Hospital Admissions page on CDC’s COVID Data Tracker now shows data broken down by state or territory and age group. See COVID-19 hospital admissions in your area:  https://t.co/5sh6eaVnG3.  https://t.co/7FueMvCBrs,en,[],['https://bit.ly/CDThealthcare'],['https://pbs.twimg.com/media/E2Qq1V7XEAInYzP.jpg'],18,48,94,['covid19'],[],https://twitter.com/CDCgov/status/1397288882299969541,False,,1,https://pbs.twimg.com/media/E2Qq1V7XEAInYzP.jpg,,,,,,,[],,,,
1397275034994024455,1397275034994024455,2021-05-25 19:35:03 UTC,2021-05-25,19:35:03,+0000,146569971,cdcgov,CDC,,"When loved ones decide to get a #COVID19 vaccine, help make it happen. Offer to make the appointment, go with them, drive them, or babysit. Everyone who gets vaccinated brings us closer to moving past the COVID-19 pandemic. More:  https://t.co/tGGql5cDOC.  https://t.co/GtYpZRyy8b",en,[],['https://bit.ly/3cE25OH'],['https://pbs.twimg.com/media/E2QePE7XoAcGnHV.jpg'],55,90,204,['covid19'],[],https://twitter.com/CDCgov/status/1397275034994024455,False,,1,https://pbs.twimg.com/media/E2QePE7XoAcGnHV.jpg,,,,,,,[],,,,
1397266307637288964,1397266307637288964,2021-05-25 19:00:22 UTC,2021-05-25,19:00:22,+0000,146569971,cdcgov,CDC,,"Donating blood saves lives. If your ancestry is from Europe, Asia, Africa, or the Middle East, your blood could help someone living with thalassemia. Learn more about thalassemia types, traits, and treatments:  https://t.co/IWvC5Y3JQF.  https://t.co/iT5tZbMIQ7",en,[],['https://bit.ly/3unHTqC'],['https://pbs.twimg.com/media/E2QWTRzWUAUigqi.jpg'],14,50,106,[],[],https://twitter.com/CDCgov/status/1397266307637288964,False,,1,https://pbs.twimg.com/media/E2QWTRzWUAUigqi.jpg,,,,,,,[],,,,
1397256149058129920,1397256149058129920,2021-05-25 18:20:00 UTC,2021-05-25,18:20:00,+0000,146569971,cdcgov,CDC,,"Conversation is a powerful tool. Talking with friends, neighbors and loved ones about how you’re feeling helps you relieve stress, feel better and remind you that you are #NotAlone. Find helpful conversation starters at  https://t.co/5CAl2NZ2FS.  https://t.co/hvgB3J7oTh",en,[],['http://cdc.gov/HowRightNow/Talk'],[],19,84,158,['notalone'],[],https://twitter.com/CDCgov/status/1397256149058129920,False,,1,https://pbs.twimg.com/media/EjvD9giWsAABAnK.jpg,,,,,,,[],,,,
1397239052613656584,1397239052613656584,2021-05-25 17:12:04 UTC,2021-05-25,17:12:04,+0000,146569971,cdcgov,CDC,,#Parents: Are you looking for a #COVID19 vaccine for your 12–15-year-old?  Check w/ your child’s doctor or your local pharmacy to see if they have vaccination appointments. You can also visit  https://t.co/U6bZ3HQd3P to find vaccination providers near you:  https://t.co/p4fdYarnsK.  https://t.co/5KrhaiuMbz,en,[],"['http://Vaccines.gov', 'https://bit.ly/3uFSUUu']",['https://pbs.twimg.com/media/E2P9gy4XsAQ8p8y.jpg'],34,45,108,"['parents', 'covid19']",[],https://twitter.com/CDCgov/status/1397239052613656584,False,,1,https://pbs.twimg.com/media/E2P9gy4XsAQ8p8y.jpg,,,,,,,[],,,,
1397234769969229828,1397234769969229828,2021-05-25 16:55:03 UTC,2021-05-25,16:55:03,+0000,146569971,cdcgov,CDC,,Ways schools can protect teens’ mental health: ✔️Link students to mental health services ✔️Promote social-emotional learning ✔️Train staff &amp; support their mental health ✔️Review discipline policies to ensure equity ✔️Build a safe &amp; supportive space #MentalHealthAwarenessMonth  https://t.co/pRALnnMuvv,en,[],[],['https://pbs.twimg.com/media/E2P5nc0WYAcIa8Y.jpg'],42,67,134,['mentalhealthawarenessmonth'],[],https://twitter.com/CDCgov/status/1397234769969229828,False,,1,https://pbs.twimg.com/media/E2P5nc0WYAcIa8Y.jpg,,,,,,,[],,,,
1397224715543105537,1397224715543105537,2021-05-25 16:15:06 UTC,2021-05-25,16:15:06,+0000,146569971,cdcgov,CDC,,"CDC releases new Global Immunization Strategic Framework to guide investments over the next decade. Learn how CDC will contribute to #IA2030 goals and works to reduce vaccine-preventable disease, disability and death and improve #VaccineEquity -  https://t.co/R3vfMGk6wq. #CDCGISF  https://t.co/0bkA7zonmI",en,[],['http://bit.ly/CDCGISF'],['https://pbs.twimg.com/media/E2PweNVXsAQsuaC.jpg'],5,37,89,"['ia2030', 'vaccineequity', 'cdcgisf']",[],https://twitter.com/CDCgov/status/1397224715543105537,False,,1,https://pbs.twimg.com/media/E2PweNVXsAQsuaC.jpg,,,,,,,[],,,,
1397208351872851972,1397208351872851972,2021-05-25 15:10:04 UTC,2021-05-25,15:10:04,+0000,146569971,cdcgov,CDC,,Data published today in @CDCMMWR provide information on #COVID19 vaccine breakthrough cases reported to CDC between Jan 1 and April 30. Learn more:  https://t.co/rjs7jQkWYt.  https://t.co/X3I0DYhAlu,en,"[{'screen_name': 'cdcmmwr', 'name': 'mmwr', 'id': '111354912'}]",['http://bit.ly/MMWR52521'],['https://pbs.twimg.com/media/E2PhlplX0AApEMt.jpg'],17,36,101,['covid19'],[],https://twitter.com/CDCgov/status/1397208351872851972,False,,1,https://pbs.twimg.com/media/E2PhlplX0AApEMt.jpg,,,,,,,[],,,,
1396929670847901696,1396929670847901696,2021-05-24 20:42:41 UTC,2021-05-24,20:42:41,+0000,146569971,cdcgov,CDC,,"It takes 2 weeks after #COVID19 vaccination to be fully vaccinated.  As of May 24, 2021, more than 163 million people across the United States had received at least one dose of #COVID19 vaccine. Of those, more than 130 million are fully vaccinated.   More:  https://t.co/zYLe3H12re  https://t.co/efNXvxFusD",en,[],['http://bit.ly/CDT_vaccine'],['https://pbs.twimg.com/media/E2LkIciWQAQaUZP.png'],81,241,575,"['covid19', 'covid19']",[],https://twitter.com/CDCgov/status/1396929670847901696,False,,1,https://pbs.twimg.com/media/E2LkIciWQAQaUZP.png,,,,,,,[],,,,
1396905600102113293,1396905600102113293,2021-05-24 19:07:02 UTC,2021-05-24,19:07:02,+0000,146569971,cdcgov,CDC,,Follow CDC’s Steps for Healthy Swimming to protect yourself and those you care about from illness at the pool and at the beach this summer.  https://t.co/nA0chO6Q9E  https://t.co/AKQiIadUKm,en,[],['https://go.usa.gov/xQRNZ'],['https://pbs.twimg.com/media/E2LOPKtX0AoI2i_.jpg'],19,97,168,[],[],https://twitter.com/CDCgov/status/1396905600102113293,False,,1,https://pbs.twimg.com/media/E2LOPKtX0AoI2i_.jpg,,,,,,,[],,,,
