coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Sun Mar 08 19:51:12 +0000 2020,,,,0,1236741277904965632,,,,en,,,606,1236118335760318464,rachellegrand14,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @rachellegrand14: if you’ve had Oklahoma lake water in your mouth you’re immune to the coronavirus,https://twitter.com/kotawaine/status/1236741277904965632,Sun Jul 01 17:30:47 +0000 2012,kotawaine,false,life. earth. rebirth.,2894,790,420,1,"Galveston, TX",kota,kotawaine,1374,,,false
,Tue Feb 04 06:01:24 +0000 2020,instabtc blockchain trx ltc investing buyorders bullrun er20,,http://bit.ly/2OpstiQ,0,1224573652017958912,,,,en,,false,0,,,"<a href=""https://seattlecrypto.com"" rel=""nofollow"">Crypto Unqualified</a>","Thai Scientists may Have Found a Cure to the Coronavirus
#instabtc #blockchain #trx #ltc #investing #buyorders #bullrun #er20
https://t.co/kZ2AHWzrpg",https://twitter.com/HowUnqualified/status/1224573652017958912,Fri Jun 01 20:27:50 +0000 2018,HowUnqualified,false,Hosted by @cryptolightshow & @cryptokahuna. Bringing you unique perspectives on every thing crypto. Owners of https://t.co/S81gHf2wFz,217,67,122,3,The Great Pacific Northwest,Crypto Unqualified,HowUnqualified,15180,,http://cryptounqualified.com,false
,Sat Feb 01 14:14:01 +0000 2020,,,,0,1223610458504036352,,,,en,,,20,1223561404285882368,HaiderISF,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @HaiderISF: Corona virus vaccine has been developed but it requires at least one year for tests before it is available for use, Hong Kon…",https://twitter.com/malikibrahim0/status/1223610458504036352,Sun Dec 29 07:11:58 +0000 2019,malikibrahim0,false,,1836,1316,1581,2,,Malik Ibrahim,malikibrahim0,29829,,,false
,Sat Mar 07 04:02:00 +0000 2020,Coronavirus,,,0,1236140013286457344,,,,en,,,539,1235941125262897153,Lstedmanbryce,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @Lstedmanbryce: 🚨🚨 #Coronavirus Cure News? 

“We have started testing that vaccine in the laboratory and we’ve been VERY EXCITED BY THE…",https://twitter.com/Ry_Drifters/status/1236140013286457344,Sat Apr 28 20:49:07 +0000 2012,Ry_Drifters,false,,59809,193,1793,0,Upper Canada,Donnie boi,Ry_Drifters,4099,,,false
,Sat Jan 25 17:10:53 +0000 2020,,,https://www.dailymail.co.uk/health/article-7926243/Killer-coronavirus-SPREAD-eyes.html?ito=amp_whatsapp_share-top,0,1221118254547996672,,,,en,,false,6233,1221051871420239874,ferdiriva,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @ferdiriva: Killer coronavirus could be spread through the EYES https://t.co/zTr4XyWm8i,https://twitter.com/vendoubleii/status/1221118254547996672,Sat Jul 31 05:54:14 +0000 2010,vendoubleii,false,,2551,1272,1246,2,,🐻,vendoubleii,57466,,,false
,Wed Apr 08 07:24:48 +0000 2020,,,https://youtu.be/qYfisOCzAfM,0,1247787463461883905,,,,en,"Whitmore Village, HI",false,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Bill Gates, Coronavirus, and the Mark of the Beast https://t.co/uklkSPVjSi via @YouTube",https://twitter.com/watshawaii/status/1247787463461883905,Fri Jul 04 18:31:37 +0000 2014,watshawaii,false,Hawaii born n raise #lakers #braves #redskins #hawaii #sports #aloha 💯,10421,126,831,1,"Waipahu, HI",Washington Football ❤️💛🏈,watshawaii,3256,,,false
,Sat Mar 07 04:15:27 +0000 2020,,,,0,1236143398119145472,,,,en,,,432,1236102818378981377,VictorPopeJr,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @VictorPopeJr: Streets saying we immune because we are the original people,https://twitter.com/kingcoog1/status/1236143398119145472,Fri Jun 18 21:54:02 +0000 2010,kingcoog1,false,Never believed in magic........ Till I saw my dog turn into a snake...,21535,975,594,5,"Nashville, TN",Dirty Mike,kingcoog1,36948,,https://youtu.be/b3ZOyuHq_xY,false
,Tue Feb 04 16:01:30 +0000 2020,vaccine coronavirus,https://twitter.com/InnovationSask/status/1224724671649796098/photo/1,http://ow.ly/sfIM50ycG64,0,1224724671649796098,,,,en,,false,0,,,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",.@VIDOInterVac to start working on a #vaccine for the #coronavirus. https://t.co/Y9j9wEBSNx https://t.co/m2vUKhANOG,https://twitter.com/InnovationSask/status/1224724671649796098,Thu Jun 03 22:44:13 +0000 2010,InnovationSask,false,Implementing the technology and research innovation priorities of the Government of Saskatchewan.,2398,1537,169,16,"Saskatoon, Saskatchewan",Innovation Sask,InnovationSask,3124,,http://www.InnovationSask.ca,false
,Wed Mar 04 18:17:56 +0000 2020,,,https://www.tomshardware.com/news/folding-fight-coronavirus,1,1235268255520038918,,,,en,,false,1,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Help Cure Coronavirus with Your PC's Leftover Processing Power https://t.co/yIg65HBW4V,https://twitter.com/JavierQuesadaA/status/1235268255520038918,Wed Jun 24 06:02:36 +0000 2009,JavierQuesadaA,false,Film Sound. Golden Reel Award Winner. Bookworm. Contact @ https://t.co/wljYeIe1Lg or DM #SoundDesign #Sound #Film,9020,700,558,8,Mexico City.,"Javier Quesada, MPSE",JavierQuesadaA,2421,,http://imdb.me/javier,false
,Thu Jun 25 05:17:36 +0000 2020,COVID19,,,0,1276021703815180288,,,,en,,,3399,1275905360893751308,dockaurG,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @dockaurG: What if I was to tell you that a drug to prevent, cure &amp; treat early #COVID19 already exists?

And what if I told you it is o…",https://twitter.com/allysonlord/status/1276021703815180288,Sun Oct 20 00:23:54 +0000 2013,allysonlord,false,,16431,142,151,0,,Allyson Lord,allysonlord,11836,,,false
